10FTHF6GLUtm	Transport, mitochondrial
34DHXMANDACOX	Tyrosine metabolism
3MOPt2im	Transport, mitochondrial
ACN13ACNGALGBSIDEte	Transport, extracellular
ACN13ACNGALGBSIDEtg	Transport, golgi apparatus
ACSRTNMT	Tryptophan metabolism
AKR1C41	Bile acid synthesis
AKR1C42	Bile acid synthesis
ALOX52	Eicosanoid metabolism
ANDRSTRNtr	Transport, endoplasmic reticular
BTND1	Biotin metabolism
CHOLPtl	Transport, lysosomal
DCYTD	Pyrimidine catabolism
DM_dgtp_m_	Exchange/demand reaction
EX_6dhf[e]	Exchange/demand reaction
EX_acn13acngalgbside_hs[e]	Exchange/demand reaction
EX_hom_L[e]	Exchange/demand reaction
EX_mthgxl[e]	Exchange/demand reaction
FAS120COA	Fatty acid synthesis
HPCLx	Fatty acid oxidation
KYN	Tryptophan metabolism
LPS2e	Fatty acid oxidation
LTA4H	Eicosanoid metabolism
MMTSADm	Valine, leucine, and isoleucine metabolism
MTHGXLt	Transport, extracellular
PHETHPTOX2	Phenylalanine metabolism
PI345P3Pn	Inositol phosphate metabolism
RIBFLVt3	Transport, extracellular
RIBt2	Transport, extracellular
S4T5g	Chondroitin synthesis
S6T24g	Chondroitin synthesis
SALMCOM2	Tyrosine metabolism
SMPD3l	Sphingolipid metabolism
SPHMYLNtl	Transport, lysosomal
SPMDOX	Beta-Alanine metabolism
SRTNACT	Tryptophan metabolism
ST6GALNAC21	Sphingolipid metabolism
r0055	Pyruvate metabolism
r0236	Pyrimidine catabolism
r0637	Fatty acid oxidation
r0859	Purine catabolism
r0997	Transport, peroxisomal
r1540	Transport, extracellular
r1685	Transport, extracellular
r1742	Transport, extracellular
r1788	Transport, extracellular
r1790	Transport, extracellular
r1933	Transport, extracellular
r1959	Transport, extracellular
r2023	Transport, extracellular
r2039	Transport, extracellular
r2055	Transport, extracellular
r2071	Transport, extracellular
r2073	Transport, extracellular
r2206	Transport, extracellular
r2216	Transport, extracellular
r2217	Transport, extracellular
r2407	Transport, mitochondrial
r2465	Transport, extracellular
r2472	Transport, mitochondrial
r2473	Transport, endoplasmic reticular
r2488	Transport, extracellular
RE0958C	Starch and sucrose metabolism
RE3597X	Eicosanoid metabolism
EX_HC02195[e]	Exchange/demand reaction
EX_HC02217[e]	Exchange/demand reaction
FAOXC8C6m	Fatty acid oxidation
PHEyLATthc	Transport, extracellular
SBTle	Transport, extracellular
EX_pcollg5hlys[e]	Exchange/demand reaction
EX_peole_hs[e]	Exchange/demand reaction
EX_urcan[e]	Exchange/demand reaction
HC00319t1	Transport, extracellular
PCOLLG5HLYStd	Transport, extracellular
URCANt	Transport, extracellular
ACHOMtm	Transport, mitochondrial
ACHOMte	Transport, extracellular
EX_achom_L[e]	Exchange/demand reaction
ACHOMm	Glycine, serine, alanine, and threonine metabolism
HC02195te	Bile acid synthesis
ACRNtr	Transport, extracellular
DM_C02712[c]	Exchange/demand reaction
r2535m	Transport, mitochondrial
sink_HC02195[c]	Exchange/demand reaction
r0060	Methionine and cysteine metabolism
AGDC	Aminosugar metabolism
IZPN	Histidine metabolism
URCN	Histidine metabolism
ETHMALACc	Fatty acid oxidation
ETHMALACte	Transport, extracellular
EX_ethmalac[e]	Exchange/demand reaction
4OHBUTm	Glutamate metabolism
4OHBUTtmc	Transport, mitochondrial
4OHBUTtce	Transport, extracellular
EX_4ohbut[e]	Exchange/demand reaction
ANDRSTANDRtr	Transport, endoplasmic reticular
6HOXMELATNte	Transport, extracellular
EX_6hoxmelatn[e]	Exchange/demand reaction
GLUSIDEtl	Transport, extracellular
NEU25	Sphingolipid metabolism
ST8SIA13e	Sphingolipid metabolism
EX_cmpacna[e]	Exchange/demand reaction
HMR_1135	Transport, peroxisomal
HMR_1242	Transport, peroxisomal
HMR_1306	Transport, endoplasmic reticular
HMR_8567	Transport, extracellular
HMR_8570	Starch and sucrose metabolism
HMR_8572	Starch and sucrose metabolism
HMR_8573	Starch and sucrose metabolism
HMR_8574	Starch and sucrose metabolism
HMR_8575	Starch and sucrose metabolism
HMR_8576	Starch and sucrose metabolism
HMR_8577	Starch and sucrose metabolism
HMR_8578	Starch and sucrose metabolism
HMR_8580	Starch and sucrose metabolism
HMR_9801	Miscellaneous
HMR_9805	Glycerophospholipid metabolism
HMR_9807	Miscellaneous
EX_sbt_D[e]	Exchange/demand reaction
3DHLCAt2	Transport, extracellular
DM_hyochol[c]	Exchange/demand reaction
EX_hyochol[e]	Exchange/demand reaction
EX_M02446[e]	Exchange/demand reaction
EX_M02449[e]	Exchange/demand reaction
EX_M02451[e]	Exchange/demand reaction
