name	Subsys_iPS_BD_NR_T	Subsys_iPS_BD_NR_TP	Subsys_iPS_BD_R_T	Subsys_iPS_BD_R_TP	Subsys_iPS_BD_T	Subsys_iPS_BD_TP	Subsys_iPS_Ctrl_T	Subsys_iPS_Ctrl_TP	Subsys_Primary_T	Subsys_Primary_TP
V1	1	1	1	1	1	1	1	1	2	2
Alanine and aspartate metabolism	 8	 5	 8	 4	 8	 5	 6	 5	11	 8
Aminosugar metabolism	27	15	30	14	28	17	28	14	25	17
Androgen and estrogen synthesis and metabolism	10	 6	16	 8	16	 7	16	 6	13	 9
Arachidonic acid metabolism	22	19	20	17	21	19	21	21	21	19
Arginine and proline metabolism	26	24	28	24	26	21	28	22	23	22
Beta-Alanine metabolism	7	7	7	6	7	7	7	7	8	7
Bile acid synthesis	 92	 40	 82	 48	 90	 39	 83	 38	107	 75
Biotin metabolism	12	10	12	10	12	11	12	11	12	10
Blood group synthesis	12	 9	19	19	19	16	19	16	30	11
Butanoate metabolism	2	2	2	2	2	2	2	2	2	2
C5-branched dibasic acid metabolism	4	4	7	4	4	4	4	4	4	4
Cholesterol metabolism	235	158	235	157	235	159	235	158	239	161
Chondroitin sulfate degradation	44	36	44	36	44	35	44	35	44	34
Chondroitin synthesis	44	39	44	39	45	39	44	39	45	39
Citric acid cycle	20	19	19	19	19	19	19	18	20	19
CoA catabolism	3	2	3	1	3	1	3	1	4	1
CoA synthesis	12	11	12	10	12	10	12	10	13	10
D-alanine metabolism	1	1	1	1	1	1	1	1	1	1
Dietary fiber binding	2	0	1	1	2	0	2	0	0	1
Drug metabolism	109	 91	142	 80	149	 85	147	 86	229	 85
Eicosanoid metabolism	68	50	67	60	69	58	67	54	65	57
Exchange	16	16	13	18	11	18	13	20	26	35
Exchange/demand reaction	1176	1072	1205	1080	1225	1080	1228	1058	1255	1060
Fatty acid oxidation	911	807	926	799	925	799	911	797	925	812
Fatty acid synthesis	226	191	227	189	228	189	228	188	225	188
Folate metabolism	59	42	59	41	59	42	58	42	58	42
Fructose and mannose metabolism	23	18	22	19	23	17	22	18	21	17
Galactose metabolism	11	10	11	10	11	10	11	10	11	 9
Glutamate metabolism	14	12	14	12	14	13	14	13	15	13
Glutathione metabolism	13	13	15	12	14	13	14	12	14	12
Glycerophospholipid metabolism	138	125	138	120	140	126	140	124	142	124
Glycine, serine, alanine, and threonine metabolism	23	18	22	16	23	18	17	16	33	21
Glycolysis/gluconeogenesis	37	27	35	28	38	25	39	30	38	28
Glycosphingolipid metabolism	42	25	48	31	47	31	47	32	62	40
Glyoxylate and dicarboxylate metabolism	10	 7	10	 7	 9	 8	 9	 7	10	 8
Heme degradation	3	2	3	1	3	1	3	2	3	2
Heme synthesis	15	 9	15	 9	16	10	16	10	15	10
Heparan sulfate degradation	27	27	27	27	27	27	27	27	27	27
Histidine metabolism	8	5	7	4	8	8	7	5	7	8
Hyaluronan metabolism	5	3	5	3	5	3	5	3	5	3
Inositol phosphate metabolism	53	42	54	45	53	43	53	46	50	43
Keratan sulfate degradation	76	60	76	60	76	60	76	60	76	60
Keratan sulfate synthesis	22	22	22	22	22	22	22	22	22	22
Leukotriene metabolism	5	7	6	6	6	6	6	7	6	6
Linoleate metabolism	6	6	6	1	6	6	6	1	3	8
Lipoate metabolism	1	1	1	1	1	1	1	1	1	1
Lysine metabolism	18	17	18	18	21	17	19	17	21	18
Methionine and cysteine metabolism	34	31	35	28	35	31	35	30	34	32
Miscellaneous	128	112	127	108	130	102	131	101	130	107
N-glycan degradation	12	10	12	10	12	11	12	10	12	11
N-glycan metabolism	6	3	6	3	6	3	6	3	6	3
N-glycan synthesis	10	 4	10	 4	10	 4	10	 4	13	13
NAD metabolism	23	16	23	14	23	15	24	16	25	14
Nucleotide interconversion	158	138	156	141	158	136	159	135	155	140
Nucleotide metabolism	1	1	1	1	1	1	1	1	1	1
Nucleotide salvage pathway	4	3	4	3	4	3	4	3	4	3
Nucleotide sugar metabolism	1	1	1	1	1	1	1	1	1	1
O-glycan metabolism	11	 5	11	 5	11	 5	11	 5	 9	 5
Oxidative phosphorylation	5	7	6	6	5	6	7	6	5	4
Pentose phosphate pathway	33	31	35	30	34	28	38	30	34	26
Peptide metabolism	242	242	241	242	242	242	242	242	242	242
Phenylalanine metabolism	21	 9	24	12	21	13	23	11	20	16
Phosphatidylinositol phosphate metabolism	38	32	38	33	39	32	38	32	39	33
Propanoate metabolism	14	11	14	11	12	12	14	12	15	12
Purine catabolism	25	24	29	22	33	25	31	23	26	24
Purine synthesis	11	11	11	12	11	11	11	13	11	11
Pyrimidine catabolism	23	22	23	21	24	23	28	24	24	19
Pyrimidine synthesis	19	13	19	12	19	12	19	13	19	15
Pyruvate metabolism	26	22	26	22	27	21	27	21	27	19
R group synthesis	2	2	2	2	2	2	2	2	2	2
ROS detoxification	7	5	6	5	6	5	6	5	6	5
Sink	18	18	18	18	18	18	18	18	18	18
Sphingolipid metabolism	 96	 63	 99	 61	 96	 61	 98	 60	101	 67
Squalene and cholesterol synthesis	5	4	5	5	5	4	5	4	5	4
Starch and sucrose metabolism	24	16	23	16	24	25	23	16	35	15
Steroid metabolism	40	24	38	23	43	21	43	19	38	19
Taurine and hypotaurine metabolism	7	4	7	4	7	3	7	5	7	5
Tetrahydrobiopterin metabolism	15	 8	15	 8	15	 6	16	 9	17	 9
Thiamine metabolism	2	2	2	2	2	2	2	2	2	3
Transport, endoplasmic reticular	155	109	158	123	152	121	156	123	148	110
Transport, extracellular	1864	1363	1872	1373	1895	1383	1912	1376	1955	1384
Transport, golgi apparatus	59	49	63	51	62	49	65	48	72	52
Transport, lysosomal	83	69	81	62	80	74	82	74	82	75
Transport, mitochondrial	336	260	340	257	338	250	340	265	347	258
Transport, nuclear	54	45	56	46	52	49	54	48	55	51
Transport, peroxisomal	111	 89	116	 85	117	 87	111	 92	117	 89
