name	iPS_Ctrl_T_vs_iPS_BD_NR_T	iPS_Ctrl_T_vs_iPS_BD_R_T	iPS_Ctrl_T_vs_iPS_BD_T	iPS_Ctrl_TP_vs_iPS_BD_NR_TP	iPS_Ctrl_TP_vs_iPS_BD_R_TP	iPS_Ctrl_TP_vs_iPS_BD_TP	UnChanged_iPS_Ctrl_T_vs_Primary_T	UnChanged_iPS_Ctrl_TP_vs_Primary_TP
13_CIS_RETNte	1	1	1	1	1	1	0	0
2HBO	0	0	0	1	1	1	1	0
2MOPtm	0	0	0	0	1	1	1	0
2OBUTt	0	0	0	1	1	1	1	0
2OXOADOXm	0	1	1	0	0	1	0	1
2OXOADPt	0	1	1	0	0	1	0	1
2OXOADPTm	0	0	0	0	0	1	1	1
34DHPHAMT	0	0	0	1	1	1	0	0
34DHPHAte	0	0	0	1	1	1	0	0
34DHPHEt	0	0	0	1	1	1	1	0
34DHXMANDACOX_NADP_	0	0	0	0	0	1	1	1
3DHLCAt	0	1	0	0	0	1	0	0
3SALATAi	0	0	0	0	0	1	1	1
3SALATAim	0	0	0	0	0	1	1	1
3SPYRSP	0	0	0	0	0	1	1	1
3SPYRSPm	0	0	0	0	0	1	1	1
4HOXPACDOX_NADP_	0	0	0	0	0	1	1	1
4HPRO_LTte	0	0	1	1	1	1	0	0
4HPROLTASCT1	1	1	1	1	1	1	0	0
5HPETtd	0	0	0	1	1	1	1	0
AATAi	0	0	0	0	0	1	1	1
ACACT10m	1	1	0	1	1	1	1	1
ACACT8p	1	1	1	1	1	1	0	0
ACALDt	0	0	0	1	0	1	1	0
ACALDtm	0	0	0	1	0	1	1	0
ACER12r	0	0	0	0	0	1	1	0
ACETONEt2	1	1	1	1	0	1	0	1
ACETONEt2m	1	1	1	1	0	1	0	1
ACGALtly	0	0	0	0	0	1	0	0
ACGAM6PSi	0	0	0	0	0	1	0	0
ACOAO7p	1	1	1	1	1	1	0	0
ACRNte	0	0	1	0	0	1	1	0
ADNtm	1	1	0	1	0	1	1	0
ADPOHc	0	1	1	0	0	1	0	1
ADPOHt	0	1	1	0	0	1	0	1
ADRNCPT1	0	0	0	0	1	1	1	0
ADRNCPT2	0	0	0	0	1	1	1	0
AGPAT1	0	0	0	0	1	1	1	0
AICART	0	1	0	1	1	1	1	0
ALDD2x	0	0	0	1	0	1	1	0
ALDD2xm	0	0	0	1	0	1	1	0
ALDD2y	0	0	0	1	0	1	1	0
ARGtm	0	1	0	1	1	1	1	0
ARTFR208	0	0	0	0	0	1	1	1
ASNCYSCYSr	0	0	0	1	0	1	1	1
ASNCYSCYSt	0	0	0	1	0	1	1	1
ASPGLUPROr	0	1	1	1	1	1	0	0
ASPGLUPROt	0	1	1	1	1	1	0	0
BGAL1e	0	0	0	1	1	1	1	0
BGAL3l	0	0	0	0	0	1	0	0
BILGLCURtr	0	0	0	1	1	1	0	1
BILIRUBt2	1	1	1	1	1	1	0	1
BILIRUBtr	0	0	0	0	1	1	1	1
C02356t	0	0	0	1	1	1	1	0
C02712te	0	0	0	0	0	1	1	1
C04805td	0	0	0	1	1	1	1	0
C05957td	0	0	0	1	0	1	1	0
C06315t	1	1	1	0	0	1	0	0
C11695td	0	0	0	1	0	1	1	0
C12DCACT	0	0	0	0	0	1	1	0
C13856te	0	0	0	0	0	1	0	1
C14768td	0	0	0	1	0	1	1	0
C14769td1	0	0	0	1	0	1	1	0
C14770ATP	0	0	0	1	0	1	1	0
C14771ATP	0	0	0	1	0	1	1	0
C14STRr	1	1	1	0	0	1	1	0
C160CPT2	0	0	0	0	1	1	0	0
C161CPT1	0	0	0	0	1	1	1	1
C161CPT12	1	1	1	1	1	1	0	0
C180CPT1	0	0	0	1	0	1	1	1
C180CPT2	0	0	0	1	0	1	1	1
C204CPT1	1	1	1	0	1	1	0	0
C204CPT2	0	0	0	1	1	1	1	0
C3STDH1Pr	1	1	1	0	0	1	1	0
C3STKR2r	1	1	1	0	0	1	1	0
C40CPT1	0	0	0	1	1	1	1	0
C4DCCACT	0	0	0	1	0	1	1	0
