rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	PerturbationClass	Flux	MetabolicUnits	localization	rxnFormula
ADEt	Transport, extracellular	3177.1	153.333333333333	76.6666666666666	2	DirectMapping	L	NA	intercompartmental	ade[e]  <=> ade[c] 
ADNt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	adn[e]  <=> adn[c] 
CYTDt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	cytd[e]  <=> cytd[c] 
CYTDt2r	Transport, extracellular	64078.1	2000	1020	1.96078431372549	Cascade	L	NA	intercompartmental	h[e] + cytd[e]  <=> h[c] + cytd[c] 
DADNt4	Transport, extracellular	3177.1	80	40	2	DirectMapping	L	NA	intercompartmental	dad_2[e]  <=> dad_2[c] 
DCK1m	Nucleotide interconversion		2000	1000	2	Cascade	L	NA	[m]	atp[m] + dcyt[m]  <=> h[m] + adp[m] + dcmp[m] 
DCMPtm	Transport, mitochondrial		2000	1000	2	Cascade	L	NA	intercompartmental	dcmp[m]  <=> dcmp[c] 
DCTPtn	Transport, nuclear		2000	1000	2	Cascade	L	NA	intercompartmental	dctp[c]  <=> dctp[n] 
DCYTt	Transport, extracellular	3177.1	1000	500	2	DirectMapping	L	NA	intercompartmental	dcyt[e]  <=> dcyt[c] 
DGSNt	Transport, extracellular	3177.1	79.9999999999999	39.9999999999999	2	DirectMapping	L	NA	intercompartmental	dgsn[e]  <=> dgsn[c] 
DINt	Transport, extracellular	3177.1	80	40	2	DirectMapping	L	NA	intercompartmental	din[e]  <=> din[c] 
DURIt	Transport, extracellular	3177.1	20	10	2	DirectMapping	L	NA	intercompartmental	duri[e]  <=> duri[c] 
EX_dad_2[e]	Exchange/demand reaction		79.9999999999998	40	1.99999999999999	Cascade	L	NA	[e]	dad_2[e]  -> 
EX_dgsn[e]	Exchange/demand reaction		79.9999999999996	39.9999999999999	1.99999999999999	Cascade	L	NA	[e]	dgsn[e]  -> 
EX_din[e]	Exchange/demand reaction		80	40	2	Cascade	L	NA	[e]	din[e]  -> 
EX_duri[e]	Exchange/demand reaction		20	10	2	Cascade	L	NA	[e]	duri[e]  -> 
EX_gua[e]	Exchange/demand reaction		80	40	2	Cascade	L	NA	[e]	gua[e]  -> 
EX_hxan[e]	Exchange/demand reaction		80	39.9999999999999	2	Cascade	L	NA	[e]	hxan[e]  -> 
EX_ura[e]	Exchange/demand reaction		20	10	2	Cascade	L	NA	[e]	ura[e]  -> 
GSNt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	gsn[e]  <=> gsn[c] 
GSNt2r	Transport, extracellular	64078.1	2000	1080	1.85185185185185	Cascade	L	NA	intercompartmental	h[e] + gsn[e]  <=> h[c] + gsn[c] 
GUAt	Transport, extracellular	3177.1	80	40	2	DirectMapping	L	NA	intercompartmental	gua[e]  <=> gua[c] 
HMR_6364	Transport, extracellular	64078.1	1000	500	2	Cascade	L	NA	intercompartmental	2 na1[e] + dcyt[e]  -> 2 na1[c] + dcyt[c] 
HMR_8475	Transport, mitochondrial	2030.1 or 3177.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	dcyt[c]  <=> dcyt[m] 
HMR_8476	Transport, nuclear	2030.1 or 3177.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	dcyt[c]  <=> dcyt[n] 
HYXNt	Transport, extracellular	3177.1	79.9999999999999	39.9999999999999	2	DirectMapping	L	NA	intercompartmental	hxan[e]  <=> hxan[c] 
INSt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	ins[e]  <=> ins[c] 
PUNP6	Purine catabolism	4860.1	80	40	2	Cascade	L	purine catabolism	[c]	pi[c] + din[c]  <=> 2dr1p[c] + hxan[c] 
THMDt2r	Transport, extracellular	64078.1	1000	500	2	Cascade	L	NA	intercompartmental	h[e] + thymd[e]  <=> h[c] + thymd[c] 
THYMDt1	Transport, extracellular	3177.1 or 2030.1	1000	500	2	DirectMapping	L	NA	intercompartmental	thymd[e]  -> thymd[c] 
URAt	Transport, extracellular	3177.1	20	10	2	DirectMapping	L	NA	intercompartmental	ura[e]  <=> ura[c] 
URIt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	uri[e]  <=> uri[c] 
URIt2r	Transport, extracellular	64078.1	2000	1093.33333333333	1.82926829268293	Cascade	L	NA	intercompartmental	h[e] + uri[e]  <=> h[c] + uri[c] 
