rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	PerturbationClass	Flux	MetabolicUnits	localization	rxnFormula
ADEt	Transport, extracellular	3177.1	136.666666666667	68.3333333333334	2	DirectMapping	L	NA	intercompartmental	ade[e]  <=> ade[c] 
ADNt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	adn[e]  <=> adn[c] 
CYTDt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	cytd[e]  <=> cytd[c] 
DADNt4	Transport, extracellular	3177.1	60.0000000000001	30.0000000000001	2	DirectMapping	L	NA	intercompartmental	dad_2[e]  <=> dad_2[c] 
DCK1m	Nucleotide interconversion		1573.60970107163	786.804850535815	2	Cascade	L	NA	[m]	atp[m] + dcyt[m]  <=> h[m] + adp[m] + dcmp[m] 
DCMPtm	Transport, mitochondrial		1573.60970107163	786.804850535815	2	Cascade	L	NA	intercompartmental	dcmp[m]  <=> dcmp[c] 
DCYTDn	Nucleotide interconversion	57379.1	1000	500	2	Cascade	L	NA	[n]	h2o[n] + h[n] + dcyt[n]  -> nh4[n] + duri[n] 
DCYTt	Transport, extracellular	3177.1	1000	500	2	DirectMapping	L	NA	intercompartmental	dcyt[e]  <=> dcyt[c] 
DGSNt	Transport, extracellular	3177.1	1000	500	2	DirectMapping	L	NA	intercompartmental	dgsn[e]  <=> dgsn[c] 
DINt	Transport, extracellular	3177.1	1000	500	2	DirectMapping	L	NA	intercompartmental	din[e]  <=> din[c] 
DURIt	Transport, extracellular	3177.1	20	10	2	DirectMapping	L	NA	intercompartmental	duri[e]  <=> duri[c] 
DURItn	Transport, nuclear		1000	500	2	Cascade	L	NA	intercompartmental	duri[c]  <=> duri[n] 
EX_dad_2[e]	Exchange/demand reaction		60.0000000000002	30.0000000000001	2	Cascade	L	NA	[e]	dad_2[e]  -> 
EX_duri[e]	Exchange/demand reaction		20	10	2	Cascade	L	NA	[e]	duri[e]  -> 
EX_gua[e]	Exchange/demand reaction		60.0000000000001	30.0000000000014	1.99999999999991	Cascade	L	NA	[e]	gua[e]  -> 
EX_hxan[e]	Exchange/demand reaction		60.0000000000001	29.9999999999999	2.00000000000001	Cascade	L	NA	[e]	hxan[e]  -> 
EX_ura[e]	Exchange/demand reaction		20	10	2	Cascade	L	NA	[e]	ura[e]  -> 
GSNt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	gsn[e]  <=> gsn[c] 
GUAt	Transport, extracellular	3177.1	60.0000000000027	30.0000000000014	2	DirectMapping	L	NA	intercompartmental	gua[e]  <=> gua[c] 
HMR_6359	Transport, extracellular	64078.1	1000	500	2	Cascade	L	NA	intercompartmental	2 na1[e] + dgsn[e]  -> 2 na1[c] + dgsn[c] 
HMR_6364	Transport, extracellular	64078.1	1000	500	2	Cascade	L	NA	intercompartmental	2 na1[e] + dcyt[e]  -> 2 na1[c] + dcyt[c] 
HMR_8475	Transport, mitochondrial	2030.1 or 3177.1	1573.60970107163	786.804850535815	2	DirectMapping	L	NA	intercompartmental	dcyt[c]  <=> dcyt[m] 
HMR_8476	Transport, nuclear	2030.1 or 3177.1	1000	500	2	DirectMapping	L	NA	intercompartmental	dcyt[c]  <=> dcyt[n] 
HYXNt	Transport, extracellular	3177.1	59.9999999999999	29.9999999999999	2	DirectMapping	L	NA	intercompartmental	hxan[e]  <=> hxan[c] 
INSt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	ins[e]  <=> ins[c] 
NTD6	Nucleotide interconversion	22978.1 or 30833.1 or 93034.1 or 93034.2 or 84618.1 or 51251.1 or 4907.1	60.0000000000001	30.0000000000001	2	Cascade	L	purine catabolism, cytosol	[c]	h2o[c] + damp[c]  -> pi[c] + dad_2[c] 
THMDt2r	Transport, extracellular	64078.1	1000	500	2	Cascade	L	NA	intercompartmental	h[e] + thymd[e]  <=> h[c] + thymd[c] 
THYMDt1	Transport, extracellular	3177.1 or 2030.1	1000	500	2	DirectMapping	L	NA	intercompartmental	thymd[e]  -> thymd[c] 
URAt	Transport, extracellular	3177.1	20	10	2	DirectMapping	L	NA	intercompartmental	ura[e]  <=> ura[c] 
URIt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	uri[e]  <=> uri[c] 
URIt2r	Transport, extracellular	64078.1	2000	1135	1.76211453744493	Cascade	L	NA	intercompartmental	h[e] + uri[e]  <=> h[c] + uri[c] 
r0345	Nucleotide interconversion	204.1 or 203.1 or 122481.1 or 26289.1 or 205.1 or 100507855.1	60.0000000000001	30	2	Cascade	L	purine synthesis, cytosol	[c]	atp[c] + damp[c]  <=> adp[c] + dadp[c] 
r2449	Transport, extracellular	9153.1 or 64078.1	1000	500	2	Cascade	L	NA	intercompartmental	na1[e] + din[e]  -> na1[c] + din[c] 
