3MLDAt	Transport, extracellular
41R1H2MAE12BOOX	Tyrosine metabolism
41R2A1H12BOOX	Tyrosine metabolism
42A12BOOX	Tyrosine metabolism
5HOXINOXDA	Tryptophan metabolism
6THFtm	Transport, mitochondrial
ACNACNGALGBSIDEte	Transport, extracellular
ACNACNGALGBSIDEtg	Transport, golgi apparatus
AKR1D	Bile acid synthesis
AMCOXO	Tryptophan metabolism
ASPDxt	Transport, peroxisomal
BETALDHxm	Glycine, serine, alanine, and threonine metabolism
C4STMO2Pr	Cholesterol metabolism
CBPPer	Glycolysis/gluconeogenesis
CBPter	Transport, endoplasmic reticular
CHOLD2m	Glycine, serine, alanine, and threonine metabolism
DASPO1p	Alanine and aspartate metabolism
DGAT	Triacylglycerol synthesis
DHPR2	Tetrahydrobiopterin metabolism
DNDPt38m	Transport, mitochondrial
DOLGLCP_Lter	N-glycan synthesis
DOLGPP_Ler	N-glycan synthesis
DOLICHOL_Lter	N-glycan synthesis
DOLICHOL_Uter	N-glycan synthesis
DOLK_L	N-glycan synthesis
DOLK_U	N-glycan synthesis
DOLPGT3_Ler	N-glycan synthesis
DOLPGT3_Uer	N-glycan synthesis
ETHP	Glycerophospholipid metabolism
EX_10fthf5glu[e]	Exchange/demand reaction
EX_10fthf6glu[e]	Exchange/demand reaction
EX_3mlda[e]	Exchange/demand reaction
EX_5thf[e]	Exchange/demand reaction
EX_6thf[e]	Exchange/demand reaction
EX_acnacngalgbside_hs[e]	Exchange/demand reaction
EX_asp_D[e]	Exchange/demand reaction
EX_gdp[e]	Exchange/demand reaction
EX_gq1b_hs[e]	Exchange/demand reaction
EX_gt1a_hs[e]	Exchange/demand reaction
EX_oagt3_hs[e]	Exchange/demand reaction
EX_pchol_hs[e]	Exchange/demand reaction
EX_thmmp[e]	Exchange/demand reaction
EX_xoltri24[e]	Exchange/demand reaction
EX_xoltri27[e]	Exchange/demand reaction
FAOXC2251836x	Fatty acid oxidation
FDH	Fatty acid oxidation
GAO2	Sphingolipid metabolism
GLCter	Transport, endoplasmic reticular
GLYBtm	Transport, mitochondrial
GQ1Bte	Transport, extracellular
GQ1Btg	Transport, golgi apparatus
GT1Ate	Transport, extracellular
GT1Atg	Transport, golgi apparatus
HKYNH	Tryptophan metabolism
MACOXO	Histidine metabolism
MHISOR	Histidine metabolism
NACASPAH	Alanine and aspartate metabolism
NaKt	Transport, extracellular
NH4tp	Transport, peroxisomal
OAGT3te	Transport, extracellular
OPAHir	Glutathione metabolism
P45027A12m	Bile acid synthesis
P45027A13m	Bile acid synthesis
P45027A14m	Bile acid synthesis
P45027A15m	Bile acid synthesis
P45027A1m	Bile acid synthesis
PEAMNO	Phenylalanine metabolism
PHYCBOXL	Phenylalanine metabolism
PLA2_2e	Glycerophospholipid metabolism
PTE2x	Fatty acid oxidation
RBK_D	Pentose phosphate pathway
SPHMDAc	Sphingolipid metabolism
ST8SIA11	Sphingolipid metabolism
ST8SIA12	Sphingolipid metabolism
ST8SIA52g	Sphingolipid metabolism
ST8SIA53g	Sphingolipid metabolism
SULFOX	Methionine and cysteine metabolism
THMP	Thiamine metabolism
UDPDOLPT_L	N-glycan synthesis
XOLTRI24te	Transport, extracellular
XOLTRI27te	Transport, extracellular
r0186	Glycerophospholipid metabolism
r0283	Beta-Alanine metabolism
r0385	Miscellaneous
r0386	Miscellaneous
r0440	Fatty acid oxidation
r0465	Miscellaneous
r0466	Miscellaneous
r0561	Valine, leucine, and isoleucine metabolism
r0645	Tryptophan metabolism
r0653	Fatty acid oxidation
r0656	Miscellaneous
r0714	Fatty acid oxidation
r0716	Miscellaneous
r0741	Bile acid synthesis
r0961	Transport, extracellular
r1003	Transport, peroxisomal
r1171	Miscellaneous
r1183	Miscellaneous
r1481	Fatty acid oxidation
r1530	Transport, extracellular
r1673	Transport, extracellular
r1680	Transport, extracellular
r1682	Transport, extracellular
r1684	Transport, extracellular
r1700	Transport, extracellular
r1775	Transport, extracellular
r1776	Transport, extracellular
r1912	Transport, extracellular
r1915	Transport, extracellular
r1921	Transport, extracellular
r1934	Transport, extracellular
r1976	Transport, extracellular
r2001	Transport, extracellular
r2416	Transport, mitochondrial
RE0549C	Tryptophan metabolism
RE1810M	Bile acid synthesis
RE2625C	Bile acid synthesis
RE2814M	Bile acid synthesis
RE3079X	Fatty acid oxidation
RE3251M	Bile acid synthesis
RE3258C	Linoleate metabolism
RE3259C	Linoleate metabolism
RE3490C	Eicosanoid metabolism
EX_maltpt[e]	Exchange/demand reaction
DOCOSACT	Fatty acid oxidation
FAOXC12C10m	Fatty acid oxidation
34DHPHELAT1tc	Transport, extracellular
PECTCHLe	Dietary fiber binding
EX_pectintchol[e]	Exchange/demand reaction
CRTNtr	Transport, extracellular
3ANTHRNtr	Transport, extracellular
EX_3hanthrn[e]	Exchange/demand reaction
XOLEST205CEH	Cholesterol metabolism
XOLEST226CEH	Cholesterol metabolism
C14825td	Transport, extracellular
CE7082ATP	Transport, extracellular
EX_C14825[e]	Exchange/demand reaction
EX_CE7082[e]	Exchange/demand reaction
EX_pe226_hs[e]	Exchange/demand reaction
EX_xolest205_hs[e]	Exchange/demand reaction
EX_xolest226_hs[e]	Exchange/demand reaction
XOLEST205_HSte	Transport, extracellular
XOLEST226_HSte	Transport, extracellular
XOLEST205tl	Transport, lysosomal
TMNDNCtl	Transport, lysosomal
XOLEST226tl	Transport, lysosomal
CRVNCtl	Transport, lysosomal
S2L2N2M2Mt	Transport, extracellular
