Model_Source	Model_Source_Anno	Phenotype	Tissue	PMID	modelMets	modelRxns	modelFnTests
Çakir. (2007)	Predecessor	Hypoxia	NA	18070347	116	137	10
Lewis. (2010)	Predecessor	AD	NA	21102456	561	649	NA
DiNuzzo. (2017)	Predecessor	Energy	NA	27628293	64	59	2
Martín-Jiménez. (2017)	Predecessor	Ischemia	NA	28243200	5007	5659	2
Baloni. (2020)	Predecessor	AD	CER	33294859	3784	5942	16
Baloni. (2020)	Predecessor	AD	TC	33294859	3557	5630	16
Baloni. (2020)	Predecessor	AD	FC	33294859	3509	5650	16
Baloni. (2020)	Predecessor	AD	FP	33294859	2808	5341	16
Baloni. (2020)	Predecessor	AD	IFG	33294859	3877	6221	16
Baloni. (2020)	Predecessor	AD	STG	33294859	3926	6328	16
Baloni. (2020)	Predecessor	AD	PHG	33294859	3925	6285	16
