	FVA_BD_abs	FVA_BD_norm_t1	FVA_BD_norm_t2	MTA_BD_abs	MTA_BD_norm_t1	MTA_BD_norm_t2	Total
Fructose and mannose metabolism	1	0	0	0	0	0	1
Lysine metabolism	1	0	0	0	0	0	1
Miscellaneous	1	0	0	0	0	0	1
Valine, leucine, and isoleucine metabolism	1	0	0	0	0	0	1
Chondroitin sulfate degradation	0	0	0	1	0	0	1
Chondroitin synthesis	0	0	0	1	0	0	1
Heparan sulfate degradation	0	0	0	1	0	0	1
Sink	0	0	0	1	0	0	1
Tyrosine metabolism	0	0	0	1	0	0	1
Pyruvate metabolism	0	1	0	0	0	0	1
Drug metabolism	0	0	0	0	1	0	1
Nucleotide interconversion	0	0	0	0	1	0	1
Transport, extracellular	0	0	0	0	1	0	1
Eicosanoid metabolism	0	0	1	0	0	0	1
Nucleotide salvage pathway	0	0	1	0	0	0	1
Purine synthesis	0	0	1	0	0	0	1
Transport, lysosomal	0	0	1	0	0	0	1
Inositol phosphate metabolism	0	0	0	0	0	1	1
Phosphatidylinositol phosphate metabolism	0	0	0	0	0	1	1
Thiamine metabolism	0	0	0	0	0	1	1
Vitamin A metabolism	0	0	0	0	0	1	1
Methionine and cysteine metabolism	1	0	1	0	0	0	2
Keratan sulfate degradation	0	0	1	1	0	0	2
Fatty acid oxidation	1	1	0	1	0	1	4
