	FVA_BD_R_abs	FVA_BD_R_norm_t1	FVA_BD_R_norm_t2	MTA_BD_R_abs	MTA_BD_R_norm_t1	MTA_BD_R_norm_t2	Total
Fatty acid oxidation	1	0	0	0	0	0	1
Transport, endoplasmic reticular	1	0	0	0	0	0	1
Cholesterol metabolism	0	0	0	1	0	0	1
Fatty acid synthesis	0	0	0	1	0	0	1
Fructose and mannose metabolism	0	0	0	1	0	0	1
Starch and sucrose metabolism	0	0	0	1	0	0	1
Peptide metabolism	0	1	0	0	0	0	1
Urea cycle	0	0	0	0	1	0	1
Valine, leucine, and isoleucine metabolism	0	0	0	0	1	0	1
Eicosanoid metabolism	0	0	1	0	0	0	1
Keratan sulfate degradation	0	0	1	0	0	0	1
Methionine and cysteine metabolism	0	0	1	0	0	0	1
O-glycan metabolism	0	0	1	0	0	0	1
Transport, golgi apparatus	0	0	1	0	0	0	1
Transport, lysosomal	0	0	1	0	0	0	1
Miscellaneous	0	0	0	0	0	1	1
Vitamin A metabolism	0	0	0	0	0	1	1
ROS detoxification	0	1	0	1	0	0	2
Drug metabolism	0	0	0	0	1	1	2
Transport, extracellular	0	0	0	1	1	1	3
