name	bd_lst	bd_nr_lst	bd_r_lst
Chondroitin sulfate degradation	1	1	0
Chondroitin synthesis	1	0	0
Drug metabolism	1	0	2
Eicosanoid metabolism	1	0	1
Fatty acid oxidation	4	2	1
Fructose and mannose metabolism	1	0	1
Heparan sulfate degradation	1	2	0
Inositol phosphate metabolism	1	2	0
Keratan sulfate degradation	2	3	1
Lysine metabolism	1	0	0
Methionine and cysteine metabolism	2	1	1
Miscellaneous	1	0	1
Nucleotide interconversion	1	0	0
Nucleotide salvage pathway	1	0	0
Phosphatidylinositol phosphate metabolism	1	2	0
Purine synthesis	1	0	0
Pyruvate metabolism	1	0	0
Sink	1	0	0
Thiamine metabolism	1	0	0
Transport, extracellular	1	1	3
Transport, lysosomal	1	1	1
Tyrosine metabolism	1	2	0
Valine, leucine, and isoleucine metabolism	1	0	1
Vitamin A metabolism	1	0	1
Cholesterol metabolism	0	2	1
Fatty acid synthesis	0	1	1
O-glycan metabolism	0	0	1
Peptide metabolism	0	1	1
ROS detoxification	0	0	2
Starch and sucrose metabolism	0	0	1
Transport, endoplasmic reticular	0	1	1
Transport, golgi apparatus	0	0	1
Urea cycle	0	0	1
Aminosugar metabolism	0	1	0
Arginine and proline metabolism	0	1	0
Biotin metabolism	0	1	0
CoA synthesis	0	1	0
Glutamate metabolism	0	1	0
Glycolysis/gluconeogenesis	0	1	0
Keratan sulfate synthesis	0	1	0
N-glycan synthesis	0	2	0
Phenylalanine metabolism	0	1	0
Propanoate metabolism	0	1	0
Pyrimidine catabolism	0	1	0
Tetrahydrobiopterin metabolism	0	1	0
Transport, nuclear	0	1	0
Vitamin B6 metabolism	0	1	0
