SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_R.Veh.R1	BD_NR.Veh.R2	BD_R.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	35.8357	6.85642	26.919	15.8943	NA	NA	NA	NA
A1BG-AS1	503538	4.05246	2.63192	5.65032	3.43807	NA	NA	NA	NA
A2M	2	2.46203	31.8901	3.76151	26.8956	NA	NA	NA	NA
A2M-AS1	144571	0.338741	1.2937	0.327101	1.30838	NA	NA	NA	NA
A4GALT	53947	1.32561	0.105743	1.34156	2.79368	NA	NA	NA	NA
AAAS	8086	36.7505	40.6593	42.7341	39.9247	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	7.54847	10.4492	7.65647	10.2089	NA	NA	NA	NA
AADAT	51166	10.5272	20.3143	11.6897	18.9963	NA	NA	NA	NA
AAGAB	79719	32.7119	40.0203	35.8269	41.5369	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	10.9902	5.19845	5.80842	4.05834	NA	NA	NA	NA
AAMDC	28971	48.3753	12.9041	30.1802	19.7729	NA	NA	NA	NA
AAMP	14	67.594	41.1872	48.7084	41.5531	cerebral-cortex	glial-cells	Medium	Approved
AAR2	25980	21.6689	18.5216	19.9138	19.6346	NA	NA	NA	NA
AARD	441376	0.146658	0.168743	0.13182	0.151059	NA	NA	NA	NA
AARS2	57505	4.72172	8.63397	8.68209	8.86426	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	57.7287	31.37	37.8484	36.2015	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	5.05707	5.74916	4.75693	4.34932	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	39.0622	39.1223	38.2446	39.1351	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	11.0439	47.3679	14.5152	30.1288	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	23.372	25.0548	21.9934	23.8759	NA	NA	NA	NA
AATK	9625	1.96906	1.18421	0.970266	0.870551	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	20.0954	68.0576	11.8994	53.3427	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	0.732986	7.70012	2.40719	4.76311	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	4.63041	1.14214	2.07508	1.55291	NA	NA	NA	NA
ABCA13	154664	0.089673	0.116866	0.0998292	0.160025	NA	NA	NA	NA
ABCA17P	650655	0.105769	0.193749	0.253861	0.0679198	NA	NA	NA	NA
ABCA2	20	10.3009	13.7123	8.11824	12.4438	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	2.88612	8.71909	3.21966	7.13962	NA	NA	NA	NA
ABCA4	24	0.179554	0.0473412	0.497407	0.254405	NA	NA	NA	NA
ABCA5	23461	1.54661	25.0943	1.53748	20.0661	cerebral-cortex	glial-cells	Low	Approved
ABCA6	23460	0.337501	0.164504	0.529046	1.55778	NA	NA	NA	NA
