SYMBOL	ENTREZID	Ctrl_Fam.Veh.R1	Ctrl_Fam.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	25.8421	24.6652	NA	NA	NA	NA
A1BG-AS1	503538	5.30832	7.41617	NA	NA	NA	NA
A2M	2	187.467	198.192	NA	NA	NA	NA
A2M-AS1	144571	0.607836	0.516242	NA	NA	NA	NA
A4GALT	53947	0.670594	0.168589	NA	NA	NA	NA
AAAS	8086	34.5147	41.4389	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	7.95426	11.2342	NA	NA	NA	NA
AADAT	51166	9.567	10.8417	NA	NA	NA	NA
AAGAB	79719	35.2622	33.5821	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	5.4358	5.86914	NA	NA	NA	NA
AAMDC	28971	40.1191	46.7365	NA	NA	NA	NA
AAMP	14	51.0813	56.9982	cerebral-cortex	glial-cells	Medium	Approved
AAR2	25980	16.1604	18.0321	NA	NA	NA	NA
AARD	441376	0.394152	0.158708	NA	NA	NA	NA
AARS2	57505	5.04848	7.07755	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	27.3016	41.3076	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	5.42611	4.96787	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	53.1179	44.7238	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	18.3763	18.7429	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	23.6509	27.6152	NA	NA	NA	NA
AATK	9625	0.90067	0.460146	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	53.4527	58.5939	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	9.06829	8.76951	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	0.427561	0.211144	NA	NA	NA	NA
ABCA13	154664	0.0967989	0.022863	NA	NA	NA	NA
ABCA17P	650655	0.154651	0.0319229	NA	NA	NA	NA
ABCA2	20	16.7027	22.9068	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	16.8108	20.7501	NA	NA	NA	NA
ABCA4	24	0.337979	0.386192	NA	NA	NA	NA
ABCA5	23461	1.25757	2.69343	cerebral-cortex	glial-cells	Low	Approved
ABCA6	23460	0.0643872	0	NA	NA	NA	NA
ABCA7	10347	3.01017	3.44	NA	NA	NA	NA
ABCA8	10351	3.34737	1.9078	NA	NA	NA	NA
ABCA9	10350	0.101634	0	NA	NA	NA	NA
ABCB1	5243	1.0932	0.522719	NA	NA	NA	NA
ABCB10	23456	7.37108	6.19724	NA	NA	NA	NA
ABCB4	5244	0.17242	0.510034	NA	NA	NA	NA
ABCB6	10058	22.9326	35.8992	NA	NA	NA	NA
ABCB7	22	8.37348	11.7539	NA	NA	NA	NA
ABCB8	11194	15.0706	22.4714	cerebral-cortex	glial-cells	Low	Approved
ABCB9	23457	6.43433	6.98912	cerebral-cortex	glial-cells	Medium	Approved
ABCC1	4363	4.36907	4.45059	NA	NA	NA	NA
ABCC10	89845	9.45758	14.0554	cerebral-cortex	glial-cells	Low	Approved
ABCC11	85320	0.119513	0.13338	cerebral-cortex	glial-cells	Low	Approved
ABCC2	1244	0.233048	0.180786	NA	NA	NA	NA
ABCC3	8714	6.92936	15.9081	NA	NA	NA	NA
ABCC4	10257	7.67189	5.07805	NA	NA	NA	NA
ABCC5	10057	17.4085	17.5166	NA	NA	NA	NA
ABCC6	368	0.864324	0.825985	NA	NA	NA	NA
ABCC6P1	653190	0.33752	1.6284	NA	NA	NA	NA
ABCC6P2	730013	0.262357	1.17222	NA	NA	NA	NA
ABCC8	6833	0.0722397	0	NA	NA	NA	NA
ABCC9	10060	2.64485	4.29584	NA	NA	NA	NA
ABCD1	215	1.15304	0.505788	NA	NA	NA	NA
ABCD2	225	0.834954	1.69947	NA	NA	NA	NA
ABCD3	5825	53.2134	60.9444	cerebral-cortex	glial-cells	High	Enhanced
ABCD4	5826	51.2457	56.8749	NA	NA	NA	NA
ABCE1	6059	33.6267	27.5532	cerebral-cortex	glial-cells	Medium	Approved
ABCF2	10061	23.7633	25.9026	cerebral-cortex	glial-cells	Low	Approved
ABCF3	55324	21.0688	30.8635	cerebral-cortex	glial-cells	High	Approved
ABCG1	9619	0.0168	0.193813	NA	NA	NA	NA
ABCG4	64137	0.613958	0.592324	NA	NA	NA	NA
ABHD1	84696	0.512492	0.573184	NA	NA	NA	NA
