gene_symbol	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
DPM1	cerebral-cortex	glial-cells	Low	Approved
SCYL3	cerebral-cortex	glial-cells	Low	Approved
GCLC	cerebral-cortex	glial-cells	Medium	Approved
NFYA	cerebral-cortex	glial-cells	Medium	Enhanced
NIPAL3	cerebral-cortex	glial-cells	High	Approved
LAS1L	cerebral-cortex	glial-cells	Medium	Supported
ENPP4	cerebral-cortex	glial-cells	Medium	Approved
SEMA3F	cerebral-cortex	glial-cells	Medium	Approved
BAD	cerebral-cortex	glial-cells	Medium	Approved
HS3ST1	cerebral-cortex	glial-cells	Medium	Approved
AOC1	cerebral-cortex	glial-cells	Low	Approved
MAD1L1	cerebral-cortex	glial-cells	Medium	Supported
LASP1	cerebral-cortex	glial-cells	Low	Enhanced
TMEM176A	cerebral-cortex	glial-cells	Low	Approved
M6PR	cerebral-cortex	glial-cells	Medium	Approved
TFPI	cerebral-cortex	glial-cells	Low	Supported
RBM5	cerebral-cortex	glial-cells	High	Approved
PLXND1	cerebral-cortex	glial-cells	Medium	Approved
FKBP4	cerebral-cortex	glial-cells	Medium	Approved
KDM1A	cerebral-cortex	glial-cells	Medium	Supported
RBM6	cerebral-cortex	glial-cells	High	Enhanced
RECQL	cerebral-cortex	glial-cells	Medium	Enhanced
VPS50	cerebral-cortex	glial-cells	Medium	Approved
ARHGAP33	cerebral-cortex	glial-cells	Low	Supported
PDK4	cerebral-cortex	glial-cells	High	Approved
ST7	cerebral-cortex	glial-cells	Low	Approved
CDC27	cerebral-cortex	glial-cells	Medium	Supported
DVL2	cerebral-cortex	glial-cells	Low	Approved
UPF1	cerebral-cortex	glial-cells	Medium	Approved
SKAP2	cerebral-cortex	glial-cells	Low	Enhanced
SLC25A5	cerebral-cortex	glial-cells	Low	Approved
DHX33	cerebral-cortex	glial-cells	Medium	Supported
LIG3	cerebral-cortex	glial-cells	Low	Supported
RPAP3	cerebral-cortex	glial-cells	Low	Enhanced
SPPL2B	cerebral-cortex	glial-cells	High	Approved
FAM214B	cerebral-cortex	glial-cells	Low	Approved
PRKAR2B	cerebral-cortex	glial-cells	Low	Enhanced
CREBBP	cerebral-cortex	glial-cells	Low	Supported
TSPOAP1	cerebral-cortex	glial-cells	Low	Enhanced
ZFX	cerebral-cortex	glial-cells	Low	Supported
LAMP2	cerebral-cortex	glial-cells	Medium	Supported
TMEM132A	cerebral-cortex	glial-cells	Low	Enhanced
AP2B1	cerebral-cortex	glial-cells	Medium	Approved
ZNF263	cerebral-cortex	glial-cells	Medium	Approved
CX3CL1	cerebral-cortex	glial-cells	Low	Approved
TNFRSF12A	cerebral-cortex	glial-cells	Low	Approved
BAIAP2L1	cerebral-cortex	glial-cells	Low	Enhanced
AGK	cerebral-cortex	glial-cells	Low	Supported
FARP2	cerebral-cortex	glial-cells	Medium	Approved
GGCT	cerebral-cortex	glial-cells	Low	Approved
IFRD1	cerebral-cortex	glial-cells	Medium	Approved
COX10	cerebral-cortex	glial-cells	Medium	Supported
PAF1	cerebral-cortex	glial-cells	Medium	Approved
SCIN	cerebral-cortex	glial-cells	Low	Enhanced
ARSD	cerebral-cortex	glial-cells	High	Approved
CCDC124	cerebral-cortex	glial-cells	Medium	Supported
PAFAH1B1	cerebral-cortex	glial-cells	Medium	Approved
GAS7	cerebral-cortex	glial-cells	Medium	Enhanced
RPUSD1	cerebral-cortex	glial-cells	Low	Approved
LUC7L	cerebral-cortex	glial-cells	High	Supported
PIGQ	cerebral-cortex	glial-cells	Low	Approved
PSMB1	cerebral-cortex	glial-cells	Low	Enhanced
JARID2	cerebral-cortex	glial-cells	Medium	Approved
CDKL5	cerebral-cortex	glial-cells	Low	Supported
SPAG9	cerebral-cortex	glial-cells	Low	Enhanced
AASS	cerebral-cortex	glial-cells	Low	Enhanced
MGST1	cerebral-cortex	glial-cells	Low	Enhanced
CRY1	cerebral-cortex	glial-cells	High	Approved
NFIX	cerebral-cortex	glial-cells	Low	Supported
HEATR5B	cerebral-cortex	glial-cells	Medium	Approved
SEC62	cerebral-cortex	glial-cells	Medium	Approved
RPS20	cerebral-cortex	glial-cells	Low	Approved
CSDE1	cerebral-cortex	glial-cells	Low	Supported
UBE3C	cerebral-cortex	glial-cells	Low	Approved
BAZ1B	cerebral-cortex	glial-cells	Low	Supported
RANBP9	cerebral-cortex	glial-cells	Low	Approved
METTL13	cerebral-cortex	glial-cells	Low	Approved
ZNF207	cerebral-cortex	glial-cells	High	Enhanced
UQCRC1	cerebral-cortex	glial-cells	Medium	Enhanced
STARD3NL	cerebral-cortex	glial-cells	Medium	Enhanced
CD9	cerebral-cortex	glial-cells	Low	Supported
NCAPD2	cerebral-cortex	glial-cells	Low	Approved
STAB1	cerebral-cortex	glial-cells	Medium	Approved
IDS	cerebral-cortex	glial-cells	Low	Approved
HFE	cerebral-cortex	glial-cells	Low	Approved
ELOA	cerebral-cortex	glial-cells	Low	Approved
CLCN6	cerebral-cortex	glial-cells	Medium	Approved
NME1-NME2	cerebral-cortex	glial-cells	Medium	Approved
APBA3	cerebral-cortex	glial-cells	Low	Approved
AKAP8L	cerebral-cortex	glial-cells	High	Enhanced
UTP18	cerebral-cortex	glial-cells	Low	Approved
RNF216	cerebral-cortex	glial-cells	Low	Supported
TTC19	cerebral-cortex	glial-cells	High	Enhanced
PTBP1	cerebral-cortex	glial-cells	Medium	Supported
SYT7	cerebral-cortex	glial-cells	Low	Enhanced
LARS2	cerebral-cortex	glial-cells	Low	Approved
WIZ	cerebral-cortex	glial-cells	High	Supported
CEP68	cerebral-cortex	glial-cells	Medium	Enhanced
TYROBP	cerebral-cortex	glial-cells	Low	Enhanced
BRCA1	cerebral-cortex	glial-cells	Low	Approved
ERCC1	cerebral-cortex	glial-cells	Medium	Supported
SEMA3B	cerebral-cortex	glial-cells	High	Approved
MBTPS2	cerebral-cortex	glial-cells	Medium	Approved
EXTL3	cerebral-cortex	glial-cells	Low	Approved
ALOX5	cerebral-cortex	glial-cells	High	Enhanced
CALCOCO1	cerebral-cortex	glial-cells	Medium	Approved
UBR7	cerebral-cortex	glial-cells	Medium	Approved
PSMC4	cerebral-cortex	glial-cells	Low	Approved
CLDN11	cerebral-cortex	glial-cells	Medium	Enhanced
CLK1	cerebral-cortex	glial-cells	Medium	Approved
POLR3B	cerebral-cortex	glial-cells	Medium	Supported
RNF14	cerebral-cortex	glial-cells	Low	Approved
DNASE1L1	cerebral-cortex	glial-cells	Low	Approved
DDX11	cerebral-cortex	glial-cells	Low	Supported
HEBP1	cerebral-cortex	glial-cells	Low	Approved
CAPN1	cerebral-cortex	glial-cells	Medium	Enhanced
SLC30A9	cerebral-cortex	glial-cells	Medium	Approved
CCDC88C	cerebral-cortex	glial-cells	High	Approved
YAF2	cerebral-cortex	glial-cells	Medium	Supported
WAS	cerebral-cortex	glial-cells	Medium	Enhanced
MATR3	cerebral-cortex	glial-cells	Medium	Supported
NUDCD3	cerebral-cortex	glial-cells	Low	Enhanced
ISL1	cerebral-cortex	glial-cells	Low	Approved
CHDH	cerebral-cortex	glial-cells	Medium	Enhanced
GLT8D1	cerebral-cortex	glial-cells	Low	Approved
ATP2C1	cerebral-cortex	glial-cells	Low	Supported
RALBP1	cerebral-cortex	glial-cells	Low	Approved
WWTR1	cerebral-cortex	glial-cells	High	Enhanced
ATP1A2	cerebral-cortex	glial-cells	Low	Enhanced
TTC27	cerebral-cortex	glial-cells	High	Approved
PHLDB1	cerebral-cortex	glial-cells	Low	Approved
