	SYMBOL	ENTREZID	Ctrl_Fam.Veh.R1	Ctrl_Fam.Veh.R2
A1BG	A1BG	1	25.8421	24.6652
A1BG-AS1	A1BG-AS1	503538	5.30832	7.41617
A2M	A2M	2	187.467	198.192
A2M-AS1	A2M-AS1	144571	0.607836	0.516242
A4GALT	A4GALT	53947	0.670594	0.168589
AAAS	AAAS	8086	34.5147	41.4389
AACS	AACS	65985	7.95426	11.2342
AADAT	AADAT	51166	9.567	10.8417
AAGAB	AAGAB	79719	35.2622	33.5821
AAK1	AAK1	22848	5.4358	5.86914
AAMDC	AAMDC	28971	40.1191	46.7365
AAMP	AAMP	14	51.0813	56.9982
AAR2	AAR2	25980	16.1604	18.0321
AARD	AARD	441376	0.394152	0.158708
AARS2	AARS2	57505	5.04848	7.07755
AARSD1	AARSD1	80755	27.3016	41.3076
AASDH	AASDH	132949	5.42611	4.96787
AASDHPPT	AASDHPPT	60496	53.1179	44.7238
AASS	AASS	10157	18.3763	18.7429
AATF	AATF	26574	23.6509	27.6152
AATK	AATK	9625	0.90067	0.460146
ABAT	ABAT	18	53.4527	58.5939
ABCA1	ABCA1	19	9.06829	8.76951
ABCA10	ABCA10	10349	0.427561	0.211144
ABCA13	ABCA13	154664	0.0967989	0.022863
ABCA17P	ABCA17P	650655	0.154651	0.0319229
ABCA2	ABCA2	20	16.7027	22.9068
ABCA3	ABCA3	21	16.8108	20.7501
ABCA4	ABCA4	24	0.337979	0.386192
ABCA5	ABCA5	23461	1.25757	2.69343
ABCA6	ABCA6	23460	0.0643872	0
ABCA7	ABCA7	10347	3.01017	3.44
ABCA8	ABCA8	10351	3.34737	1.9078
ABCA9	ABCA9	10350	0.101634	0
ABCB1	ABCB1	5243	1.0932	0.522719
ABCB10	ABCB10	23456	7.37108	6.19724
ABCB4	ABCB4	5244	0.17242	0.510034
ABCB6	ABCB6	10058	22.9326	35.8992
ABCB7	ABCB7	22	8.37348	11.7539
ABCB8	ABCB8	11194	15.0706	22.4714
ABCB9	ABCB9	23457	6.43433	6.98912
ABCC1	ABCC1	4363	4.36907	4.45059
ABCC10	ABCC10	89845	9.45758	14.0554
ABCC11	ABCC11	85320	0.119513	0.13338
ABCC2	ABCC2	1244	0.233048	0.180786
ABCC3	ABCC3	8714	6.92936	15.9081
ABCC4	ABCC4	10257	7.67189	5.07805
ABCC5	ABCC5	10057	17.4085	17.5166
