	SYMBOL	ENTREZID	Ctrl_NIH1.Veh.R1	Ctrl_NIH1.Veh.R2
A1BG	A1BG	1	13.0867	27.4968
A1BG-AS1	A1BG-AS1	503538	5.04591	5.04822
A2M	A2M	2	8.52777	48.3677
A2M-AS1	A2M-AS1	144571	0.297436	0.0750659
A4GALT	A4GALT	53947	0.085539	0.333497
AAAS	AAAS	8086	39.5063	39.7331
AACS	AACS	65985	8.62379	8.05948
AADAT	AADAT	51166	14.106	12.5347
AAGAB	AAGAB	79719	33.1591	40.446
AAK1	AAK1	22848	8.74763	4.49269
AAMDC	AAMDC	28971	25.9727	40.1001
AAMP	AAMP	14	41.1394	43.2904
AAR2	AAR2	25980	16.6825	16.8905
AARD	AARD	441376	0.280887	0.404946
AARS2	AARS2	57505	6.70396	6.59954
AARSD1	AARSD1	80755	32.0686	42.1139
AASDH	AASDH	132949	6.16485	6.52843
AASDHPPT	AASDHPPT	60496	32.8552	35.9116
AASS	AASS	10157	23.1099	16.5908
AATF	AATF	26574	19.5025	20.3735
AATK	AATK	9625	1.40577	2.0055
ABAT	ABAT	18	53.9952	59.2902
ABCA1	ABCA1	19	3.24877	4.49053
ABCA10	ABCA10	10349	0.741205	0.429251
ABCA13	ABCA13	154664	0.637583	0.830261
ABCA17P	ABCA17P	650655	0.455865	0.539501
ABCA2	ABCA2	20	16.0169	16.4092
ABCA3	ABCA3	21	12.6722	13.2204
ABCA4	ABCA4	24	0.0191848	0.13284
ABCA5	ABCA5	23461	12.1996	10.4274
ABCA6	ABCA6	23460	0.15996	0.111387
ABCA7	ABCA7	10347	5.00576	8.77922
ABCA8	ABCA8	10351	1.42379	1.01873
ABCA9	ABCA9	10350	0.209964	0.0205498
ABCB1	ABCB1	5243	0.162453	0.0705922
ABCB10	ABCB10	23456	10.6828	9.391
ABCB4	ABCB4	5244	0.413729	0.0926221
ABCB6	ABCB6	10058	10.7745	25.3967
ABCB7	ABCB7	22	11.6761	11.9502
ABCB8	ABCB8	11194	14.7819	16.9254
ABCB9	ABCB9	23457	4.85494	6.82708
ABCC1	ABCC1	4363	3.37571	4.00037
ABCC10	ABCC10	89845	8.53553	11.1319
ABCC11	ABCC11	85320	0.122535	0.199292
ABCC2	ABCC2	1244	0.311137	0.475699
ABCC3	ABCC3	8714	0.294633	1.4464
ABCC4	ABCC4	10257	2.61916	2.16147
ABCC5	ABCC5	10057	14.9517	16.0496
ABCC6	ABCC6	368	0.329379	1.37511
ABCC6P1	ABCC6P1	653190	0.475151	1.45887
ABCC6P2	ABCC6P2	730013	0.694527	0.62198
ABCC8	ABCC8	6833	1.07442	1.6507
ABCC9	ABCC9	10060	4.15964	1.67289
ABCD1	ABCD1	215	0.0985047	0.366653
ABCD2	ABCD2	225	0.624816	0.711618
ABCD3	ABCD3	5825	33.1282	31.7962
ABCD4	ABCD4	5826	53.5077	54.0537
ABCE1	ABCE1	6059	32.6391	24.6973
ABCF2	ABCF2	10061	17.7984	20.1652
ABCF3	ABCF3	55324	26.1379	28.3674
ABCG1	ABCG1	9619	1.53114	2.21122
ABCG4	ABCG4	64137	0.349984	0.643892
ABHD1	ABHD1	84696	0.62454	0.681916
ABHD10	ABHD10	55347	28.9347	25.667
ABHD11	ABHD11	83451	1.73194	0.795049
ABHD12	ABHD12	26090	29.6572	27.4616
ABHD12B	ABHD12B	145447	0.16598	0.2323
ABHD13	ABHD13	84945	4.87343	4.95381
ABHD14A	ABHD14A	25864	12.8269	15.0136
ABHD14A-ACY1	ABHD14A-ACY1	100526760	0.413866	0.174952
ABHD14B	ABHD14B	84836	3.96892	4.93196
ABHD15	ABHD15	116236	2.89177	4.26858
ABHD16B	ABHD16B	140701	3.33435	2.56629
ABHD17A	ABHD17A	81926	22.2999	25.0733
ABHD17AP3	ABHD17AP3	648359	0.192792	0.258451
ABHD17AP6	ABHD17AP6	644988	0.320785	0.28677
ABHD17B	ABHD17B	51104	19.1299	16.4156
ABHD17C	ABHD17C	58489	78.2983	59.9664
ABHD2	ABHD2	11057	17.0931	10.1602
ABHD3	ABHD3	171586	11.8513	13.0098
ABHD4	ABHD4	63874	19.8141	34.5945
ABHD5	ABHD5	51099	6.62713	6.9831
ABHD6	ABHD6	57406	2.03651	3.05475
ABHD8	ABHD8	79575	3.47822	4.57268
ABI1	ABI1	10006	24.124	21.7679
ABI2	ABI2	10152	93.6941	66.5543
ABI3BP	ABI3BP	25890	0.369444	0.334703
ABL1	ABL1	25	41.4215	35.3818
ABL2	ABL2	27	6.12034	3.46076
ABLIM1	ABLIM1	3983	15.4724	8.00995
ABLIM2	ABLIM2	84448	4.03998	5.8413
ABLIM3	ABLIM3	22885	0.0467597	0.0689381
ABR	ABR	29	20.3595	20.5623
ABRACL	ABRACL	58527	18.6306	23.9116
ABT1	ABT1	29777	0.0882707	0.0787802
ABTB1	ABTB1	80325	3.02011	4.89934
ABTB2	ABTB2	25841	49.2658	52.1202
ACAA1	ACAA1	30	22.6997	31.6734
ACAA2	ACAA2	10449	46.3838	54.3225
ACACA	ACACA	31	33.3942	27.1683
ACACB	ACACB	32	4.4788	2.75994
ACAD10	ACAD10	80724	17.5944	15.0276
ACAD11	ACAD11	84129	5.24239	7.81746
ACAD8	ACAD8	27034	20.8443	21.7209
ACAD9	ACAD9	28976	21.2147	19.6635
ACADL	ACADL	33	0.811898	0.5087
ACADM	ACADM	34	46.215	43.1469
ACADS	ACADS	35	1.15115	2.59403
ACADSB	ACADSB	36	5.55495	4.53462
ACADVL	ACADVL	37	145.509	157.826
ACAN	ACAN	176	0.0999319	0.023466
ACAP1	ACAP1	9744	0.966426	1.59047
ACAP2	ACAP2	23527	17.9475	12.3843
ACAP2-IT1	ACAP2-IT1	100874306	2.01365	0.901878
ACAP3	ACAP3	116983	55.2075	38.2556
ACAT1	ACAT1	38	29.5191	40.1013
ACAT2	ACAT2	39	121.576	113.199
ACBD3	ACBD3	64746	14.657	15.8998
ACBD4	ACBD4	79777	1.98881	4.21665
ACBD5	ACBD5	91452	15.7884	16.2555
ACBD6	ACBD6	84320	34.6001	44.0158
ACBD7	ACBD7	414149	10.8008	6.19071
ACCS	ACCS	84680	3.05738	2.94057
ACD	ACD	65057	12.7431	14.0071
ACE2	ACE2	59272	0.170784	0.0634266
ACER2	ACER2	340485	1.79156	0.893652
ACER3	ACER3	55331	6.19216	3.26848
ACHE	ACHE	43	1.24133	3.35021
ACIN1	ACIN1	22985	137.493	83.5152
ACKR2	ACKR2	1238	0.065955	0.0906774
ACKR3	ACKR3	57007	4.00868	9.81744
ACLY	ACLY	47	0.755905	0.834606
ACMSD	ACMSD	130013	0.13053	0
ACO1	ACO1	48	17.6875	16.9397
ACO2	ACO2	50	35.7713	40.8493
ACOT1	ACOT1	641371	0.26942	0.454378
ACOT11	ACOT11	26027	0.127335	0.0908279
ACOT12	ACOT12	134526	0.4195	0.171643
ACOT13	ACOT13	55856	11.957	19.012
