SYMBOL,ENTREZID,Control 1a C1A_NA,Control 1b C1B_NA,Control 2a C2A_NA,Control 2b C2B_NA,Control 3a C3a_NA,Control 3b C3b_NA,Control 4a C4a_NA,Tissue (HPA),Cell type (HPA),Level (HPA),Reliability (HPA)
A1BG,1,19.2454,19.4418,26.0044,23.0515,49.9055,49.5534,55.3719,NA,NA,NA,NA
A1BG-AS1,503538,9.21144,6.30681,7.08631,5.72171,10.6612,13.341,17.8936,NA,NA,NA,NA
A2M,2,10.2291,13.557,0.986965,1.28724,2.04536,0.760507,10.5001,NA,NA,NA,NA
A4GALT,53947,3.70647,4.47296,0,0.0610692,1.67355,1.11645,2.77824,NA,NA,NA,NA
AAAS,8086,40.8868,37.8289,34.1574,31.8726,35.9728,37.9928,42.8564,cerebral-cortex,glial-cells,Low,Approved
AACS,65985,15.2885,13.5714,18.1662,19.587,19.1333,23.3526,18.5182,NA,NA,NA,NA
AADAC,13,1.82298,2.61922,0.0664915,0.0244976,0.1498,0.382531,0.396992,NA,NA,NA,NA
AADAT,51166,7.28157,7.02069,6.81074,8.70286,7.28192,6.2188,2.43912,NA,NA,NA,NA
AAGAB,79719,29.9732,32.5172,28.3458,31.1727,35.2695,29.3078,38.0359,cerebral-cortex,glial-cells,Medium,Supported
AAK1,22848,9.92716,9.8474,10.3651,9.81983,9.34283,8.59096,8.14666,NA,NA,NA,NA
AAMDC,28971,44.34,38.8049,26.9232,29.1668,45.4448,49.8277,64.5266,NA,NA,NA,NA
AAMP,14,65.5248,59.7989,80.1833,61.923,71.468,86.2316,105.882,cerebral-cortex,glial-cells,Medium,Approved
AANAT,15,0.0552522,0.175645,0.358325,0.127155,0.058156,0.249812,0.293818,NA,NA,NA,NA
AAR2,25980,18.261,17.2395,20.3464,20.5087,20.9331,20.5838,29.7141,NA,NA,NA,NA
AARS2,57505,4.94078,4.44282,4.90333,4.26424,3.25399,3.43419,3.17132,cerebral-cortex,glial-cells,Low,Approved
AARSD1,80755,43.3715,55.2155,59.1559,47.7714,61.3361,65.8795,76.1002,cerebral-cortex,glial-cells,Low,Supported
AASDH,132949,3.65089,4.06274,5.05954,4.67381,2.76839,2.88346,1.90648,cerebral-cortex,glial-cells,Low,Approved
AASDHPPT,60496,21.5379,20.0122,23.3045,26.3536,21.4131,18.1222,13.1119,cerebral-cortex,glial-cells,Medium,Approved
AASS,10157,3.42997,3.68879,3.76517,3.8304,3.83628,2.99477,1.42123,cerebral-cortex,glial-cells,Low,Enhanced
AATF,26574,31.1004,31.3887,37.7702,37.3322,32.7399,33.9153,39.0033,NA,NA,NA,NA
AATK,9625,0.209219,0.111884,0.0817327,0.133478,0.164978,0.207799,0.0223366,cerebral-cortex,glial-cells,Medium,Enhanced
ABAT,18,1.73366,1.46522,1.39682,1.254,3.28276,2.70142,4.53514,cerebral-cortex,glial-cells,Medium,Enhanced
ABCA1,19,1.87063,2.76883,2.45861,2.85813,3.08093,5.17586,3.41222,cerebral-cortex,glial-cells,Low,Approved
ABCA10,10349,2.20853,2.80917,0.104231,0.0534149,0.311443,0.648691,0.628716,NA,NA,NA,NA
ABCA13,154664,0,0,0.0333857,0.0561742,0.87709,0.255168,0.609038,NA,NA,NA,NA
ABCA2,20,21.7808,16.1612,15.6735,13.5185,27.6898,36.0327,20.9266,cerebral-cortex,glial-cells,Medium,Approved
ABCA3,21,0.742992,0.723384,0.112116,0.197518,0.190263,0.726746,0.866057,NA,NA,NA,NA
ABCA4,24,0.145503,1.10492,0.0654103,0.112244,0.231489,0.172062,1.37695,NA,NA,NA,NA
ABCA5,23461,3.95538,3.28025,1.40549,1.33502,1.75749,0.942015,0.539963,cerebral-cortex,glial-cells,Low,Approved
ABCA6,23460,0.323077,0.417548,0.169286,0.0407928,0.061776,0.090885,0.20866,NA,NA,NA,NA
ABCA7,10347,2.76891,1.53868,1.3604,0.873547,2.86742,5.27504,3.94774,NA,NA,NA,NA
ABCA8,10351,2.87532,2.68563,0.942703,1.06815,0.248647,0.530126,0.374098,NA,NA,NA,NA
ABCA9,10350,0.856479,0.978277,0.0280543,0.00596359,0.0756833,0.157991,0.0360169,NA,NA,NA,NA
ABCB1,5243,1.58054,2.30091,0,0.0238292,6.19449,3.85539,1.00833,NA,NA,NA,NA
ABCB10,23456,6.71313,4.98722,4.51281,5.34702,6.17608,6.85818,3.10312,NA,NA,NA,NA
ABCB4,5244,0.0188166,0.038063,0.163653,0.115756,0.465435,0.909197,0.750489,NA,NA,NA,NA
ABCB6,10058,14.8064,16.9532,12.2642,13.4051,17.5238,20.1279,8.90534,NA,NA,NA,NA
