SYMBOL	ENTREZID	Bipolar disorder 1a BD1a_NA	Bipolar disorder 1b BD1b_NA	Bipolar disorder 5a BD5a_NA	Bipolar disorder 5b BD5b_NA	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	17.8381	19.9171	24.2937	19.195	NA	NA	NA	NA
A1BG-AS1	503538	5.87523	6.53721	7.90349	6.00404	NA	NA	NA	NA
A2M	2	1.41933	1.30748	0.157137	0.568877	NA	NA	NA	NA
A4GALT	53947	1.83111	1.48797	1.95477	1.73533	NA	NA	NA	NA
AAAS	8086	30.5294	36.1808	41.177	32.6601	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	12.1162	14.1355	16.5535	12.5205	NA	NA	NA	NA
AADAC	13	0	0.130057	0.1032	0.0697313	NA	NA	NA	NA
AADAT	51166	8.56884	7.11747	6.3141	6.48677	NA	NA	NA	NA
AAGAB	79719	31.9599	30.1071	33.1058	30.5314	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	9.09849	11.2403	11.8299	11.0774	NA	NA	NA	NA
AAMDC	28971	43.6805	41.424	46.1307	44.6861	NA	NA	NA	NA
AAMP	14	63.7774	65.9687	74.0499	67.9269	cerebral-cortex	glial-cells	Medium	Approved
AANAT	15	0.11466	0.323293	0.0624045	0.120652	NA	NA	NA	NA
AAR2	25980	22.0239	22.8675	24.2394	21.9985	NA	NA	NA	NA
AARS2	57505	2.8004	3.40746	3.00917	2.6697	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	50.5263	54.7941	64.3616	51.3136	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	3.70009	3.90607	3.06909	4.6596	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	25.1993	21.7966	21.9	27.9712	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	3.28059	3.46421	2.36248	3.89383	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	26.1027	28.2455	36.8727	33.0541	NA	NA	NA	NA
AATK	9625	0.0555001	0.1593	0.184675	0.120955	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	2.21491	2.42172	3.3326	3.71833	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	2.23077	2.46231	6.5345	6.66361	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	0.338908	0.19828	0.804703	0.541778	NA	NA	NA	NA
ABCA13	154664	0.0295851	0.275076	0.0182504	0.0312314	NA	NA	NA	NA
ABCA2	20	16.9617	15.605	22.5449	23.3752	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	0.859722	0.821698	1.30956	1.61099	NA	NA	NA	NA
ABCA4	24	1.37132	1.65165	1.6715	1.34463	NA	NA	NA	NA
ABCA5	23461	1.35929	1.6651	1.10422	2.02922	cerebral-cortex	glial-cells	Low	Approved
ABCA6	23460	0.145492	0.0360718	0.166979	0.161637	NA	NA	NA	NA
