SYMBOL	ENTREZID	Ctrl.1	Ctrl.2	Ctrl.3	Ctrl.4	Ctrl.5	Ctrl.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	23.5024	16.217	16.6648	18.7215	24.9334	24.7022	NA	NA	NA	NA
A1BG-AS1	503538	8.06161	8.23657	7.60992	8.36748	7.60593	6.23148	NA	NA	NA	NA
A2M	2	876.282	462.285	390.608	395.095	420.701	301.334	NA	NA	NA	NA
A2M-AS1	144571	0.82803	1.16531	0.605699	0.807914	0.521414	0.375126	NA	NA	NA	NA
A2ML1	144568	0.179707	0.0755442	1.87273	1.24491	0.335086	0.315992	NA	NA	NA	NA
A4GALT	53947	0.115267	0.0803714	0.0846859	0.59197	0.427998	0.111256	NA	NA	NA	NA
AAAS	8086	38.2302	34.5566	32.4275	29.2794	30.6056	31.0094	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	9.9401	7.23686	8.21996	10.223	7.62975	5.0739	NA	NA	NA	NA
AADAT	51166	6.43544	13.2014	13.5135	12.4061	9.05106	5.97545	NA	NA	NA	NA
AAGAB	79719	37.9363	33.8127	32.3015	34.4625	41.8076	36.1813	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	5.31307	4.42595	5.72736	9.73505	4.90428	7.70255	NA	NA	NA	NA
AAMDC	28971	28.7327	23.845	19.3701	17.3088	29.5252	22.0853	NA	NA	NA	NA
AAMP	14	112.357	100.749	88.2664	87.0373	101.85	93.1763	cerebral-cortex	glial-cells	Medium	Approved
AAR2	25980	9.74933	10.1084	9.77601	10.1588	11.4703	10.829	NA	NA	NA	NA
AARD	441376	0.222648	0.116435	0.603676	0.0515357	0.0990894	0.202304	NA	NA	NA	NA
AARS2	57505	8.58082	8.15599	5.38228	4.8828	7.25111	8.28253	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	17.4777	21.0433	21.1447	20.5352	20.9104	24.4028	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	22.8049	22.2395	17.6956	21.4349	13.6418	24.6366	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	42.2743	45.1266	35.4112	37.2253	42.0512	48.0791	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	31.5467	41.7516	32.2446	38.0287	29.9977	27.6352	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	26.9718	26.6494	27.6693	17.7607	24.6678	29.2355	NA	NA	NA	NA
AATK	9625	1.07731	1.0361	2.38018	3.72022	2.13728	0.967435	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	60.0916	56.2364	77.7859	72.3846	78.1355	44.8981	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	29.8279	17.5264	33.5959	21.9633	25.8928	44.2831	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	0	0.0351594	0.0952979	0.209065	0.0733617	0.34126	NA	NA	NA	NA
ABCA12	26154	0.0588119	0.0512068	0.171383	0.189903	0.115422	0.287272	NA	NA	NA	NA
ABCA13	154664	0.081302	0.130673	0.184984	1.96704	0.275448	0.0729555	NA	NA	NA	NA
