SYMBOL	ENTREZID	ST.1	ST.4	ST.5	ST.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
A1BG	1	14.8346	18.1451	17.615	17.2223	NA	NA	NA	NA
A1BG-AS1	503538	8.16248	8.257	8.15915	8.21068	NA	NA	NA	NA
A2M	2	490.356	485.953	353.104	453.364	NA	NA	NA	NA
A2M-AS1	144571	0.448744	0.639931	0.5547	0.859657	NA	NA	NA	NA
A2ML1	144568	0.458858	0.583443	0.976929	0.215645	NA	NA	NA	NA
A4GALT	53947	0.0559581	0.144805	0.0951572	0	NA	NA	NA	NA
AAAS	8086	34.2306	31.044	28.1592	35.9688	cerebral-cortex	glial-cells	Low	Approved
AACS	65985	7.33501	10.7484	10.4414	6.736	NA	NA	NA	NA
AADAT	51166	9.98606	13.0933	14.3728	10.6838	NA	NA	NA	NA
AAGAB	79719	39.5075	27.7192	31.5604	41.0415	cerebral-cortex	glial-cells	Medium	Supported
AAK1	22848	9.39049	7.98123	9.42611	6.53235	NA	NA	NA	NA
AAMDC	28971	23.7935	18.9721	15.6242	16.7318	NA	NA	NA	NA
AAMP	14	97.3915	83.8496	91.818	91.4632	cerebral-cortex	glial-cells	Medium	Approved
AAR2	25980	10.4367	11.1593	9.36449	10.5778	NA	NA	NA	NA
AARD	441376	0.254392	0.143621	0	0.0133928	NA	NA	NA	NA
AARS2	57505	7.62665	7.56036	5.71403	6.7012	cerebral-cortex	glial-cells	Low	Approved
AARSD1	80755	19.765	20.7101	19.9808	24.6691	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	15.9383	16.5699	17.2718	18.8592	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	32.6521	32.1354	35.637	43.3159	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	27.9081	32.8068	43.345	31.8138	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	22.9186	27.7342	25.8316	24.0509	NA	NA	NA	NA
AATK	9625	1.56132	1.95241	2.92883	1.36167	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	68.7709	78.4716	65.4145	59.3274	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	58.1191	23.1781	24.6663	73.0661	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	0.458464	0.288781	0	0.277281	NA	NA	NA	NA
ABCA12	26154	0.181727	0.129789	0.056623	0.296323	NA	NA	NA	NA
ABCA13	154664	0.18506	0.140541	0.404828	0.116079	NA	NA	NA	NA
ABCA17P	650655	0.309489	0.176337	0.844319	0.178851	NA	NA	NA	NA
ABCA2	20	18.2304	22.5837	20.1246	21.1721	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	24.5095	22.0684	18.9336	16.0614	NA	NA	NA	NA
ABCA4	24	0.0385571	0.345383	0.190706	0.0421095	NA	NA	NA	NA
ABCA5	23461	6.13395	3.72355	1.81605	1.86797	cerebral-cortex	glial-cells	Low	Approved
ABCA7	10347	4.82576	3.99869	5.35353	2.95179	NA	NA	NA	NA
ABCA8	10351	25.8053	4.89562	4.08549	13.0469	NA	NA	NA	NA
ABCB1	5243	0.136242	2.82989	2.06356	2.87938	NA	NA	NA	NA
ABCB10	23456	3.22169	4.31235	4.93728	3.08482	NA	NA	NA	NA
ABCB4	5244	0.0889866	0.527845	0.668077	0.500612	NA	NA	NA	NA
ABCB5	340273	0.0726703	0.616866	0.118046	0.13942	NA	NA	NA	NA
ABCB6	10058	31.998	19.7785	23.8793	23.6033	NA	NA	NA	NA
ABCB7	22	19.2386	14.5599	16.9713	19.0457	NA	NA	NA	NA
ABCB8	11194	15.274	13.178	15.8464	11.6244	cerebral-cortex	glial-cells	Low	Approved
ABCB9	23457	1.48045	5.39033	3.41786	1.3607	cerebral-cortex	glial-cells	Medium	Approved
ABCC1	4363	3.46787	3.46436	2.91928	3.56672	NA	NA	NA	NA
ABCC10	89845	10.5052	10.1894	8.34331	7.11333	cerebral-cortex	glial-cells	Low	Approved
ABCC11	85320	0.126923	0.332169	0.341327	0.208225	cerebral-cortex	glial-cells	Low	Approved
ABCC2	1244	0.149231	0.0687781	0.0728126	0.238772	NA	NA	NA	NA
ABCC3	8714	1.76496	1.65465	0.551494	2.41676	NA	NA	NA	NA
ABCC4	10257	15.0575	12.434	7.27825	14.0644	NA	NA	NA	NA
ABCC5	10057	10.1426	14.2078	25.5648	19.3378	NA	NA	NA	NA
ABCC6	368	1.40203	0.378441	1.06827	1.32344	NA	NA	NA	NA
ABCC6P1	653190	3.63296	1.93851	5.96299	2.81047	NA	NA	NA	NA
ABCC6P2	730013	0.282137	0.486703	0.639678	1.14372	NA	NA	NA	NA
ABCC8	6833	0.0764148	0.0847425	0.359073	0.430779	NA	NA	NA	NA
ABCC9	10060	19.2437	13.9804	24.8094	12.4597	NA	NA	NA	NA
ABCD2	225	3.3031	4.96604	3.8356	2.26193	NA	NA	NA	NA
ABCD3	5825	46.1363	33.2889	46.1346	49.8866	cerebral-cortex	glial-cells	High	Enhanced
ABCD4	5826	29.839	35.9268	36.6872	39.4524	NA	NA	NA	NA
ABCE1	6059	34.9773	39.5262	40.8945	48.6849	cerebral-cortex	glial-cells	Medium	Approved
ABCF2	10061	35.9131	37.7418	31.7917	38.4258	cerebral-cortex	glial-cells	Low	Approved
ABCF2P1	344653	0.203866	0.0602883	0.198093	0.505977	NA	NA	NA	NA
ABCF3	55324	42.9071	36.3576	35.1434	32.8318	cerebral-cortex	glial-cells	High	Approved
ABCG1	9619	1.24542	1.23084	0.724919	0.781007	NA	NA	NA	NA
ABCG4	64137	0.571665	0.460107	0.63863	0.522576	NA	NA	NA	NA
ABCG5	64240	0.137059	0.088663	0.203786	0.145129	NA	NA	NA	NA
ABHD1	84696	1.17218	2.94643	2.11033	2.05262	NA	NA	NA	NA
ABHD10	55347	42.3545	27.8718	28.5139	34.2015	cerebral-cortex	glial-cells	Low	Supported
ABHD11	83451	0.116798	0.0897577	0	0.153599	cerebral-cortex	glial-cells	Low	Approved
ABHD12	26090	31.6994	21.736	28.4225	42.9788	NA	NA	NA	NA
ABHD12B	145447	0.388271	0.333247	0.273533	0.311057	NA	NA	NA	NA
ABHD13	84945	4.59017	4.32087	4.44337	4.85153	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A	25864	12.342	15.2095	12.9438	11.5169	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A-ACY1	100526760	0	0.332622	0.0997322	0	NA	NA	NA	NA
ABHD14B	84836	1.45468	1.08355	2.05585	1.65678	cerebral-cortex	glial-cells	Low	Supported
ABHD15	116236	3.253	2.15795	1.32186	1.50184	cerebral-cortex	glial-cells	Low	Approved
ABHD16B	140701	2.01431	2.39145	2.12563	0.88387	NA	NA	NA	NA
ABHD17A	81926	11.1582	10.4197	9.37128	9.0934	NA	NA	NA	NA
ABHD17AP3	648359	0.414724	0.912167	0.352608	0.0600429	NA	NA	NA	NA
ABHD17B	51104	8.28918	9.76943	9.54126	7.6392	NA	NA	NA	NA
ABHD17C	58489	26.935	7.42568	11.5537	21.8208	NA	NA	NA	NA
ABHD2	11057	37.9924	40.2818	41.0688	35.6507	cerebral-cortex	glial-cells	Low	Approved
ABHD3	171586	4.94209	9.90884	14.1225	11.6582	cerebral-cortex	glial-cells	Low	Approved
ABHD4	63874	28.9053	20.0677	35.7983	28.81	NA	NA	NA	NA
ABHD5	51099	13.4016	10.4307	14.8309	16.378	NA	NA	NA	NA
ABHD6	57406	12.9556	10.5055	17.4454	16.2217	NA	NA	NA	NA
ABHD8	79575	7.52626	8.88251	8.31488	6.21233	NA	NA	NA	NA
ABI1	10006	44.2655	42.3548	45.2431	56.1926	NA	NA	NA	NA
ABI2	10152	127.46	124.555	127.208	107.512	NA	NA	NA	NA
ABI3BP	25890	0.503017	1.05822	0.877327	0.58462	NA	NA	NA	NA
ABL1	25	26.0364	31.1589	28.9019	23.8565	cerebral-cortex	glial-cells	Low	Supported
ABL2	27	3.32787	5.63492	4.9874	4.38161	NA	NA	NA	NA
