name	Literature_Model_Input	Literature_Model_v8_Output	Mouse_Microarray_v8_Input	Mouse_Microarray_v8_Output	Rat_Microarray_v8_Input	Rat_Microarray_v8_Output	Rat_RNA_Seq_v8_Input	Rat_RNA_Seq_v8_Output
'1A25DHVITD3te'	0	0	0	0	0	0	1	0
'2HBO'	0	0	0	0	0	0	0	1
'2MB2COAc'	0	0	0	0	0	0	0	1
'2OBUTt'	0	0	0	0	0	0	0	1
'2OXOADOXm'	0	0	0	0	0	0	1	0
'3DSPHR'	0	0	0	0	0	1	0	0
'3HBCDm'	0	0	0	0	0	0	0	1
'3HBCOAHLm'	0	0	0	0	0	0	0	1
'3HBCOARc'	0	0	0	0	0	0	0	1
'4AABUTNt'	0	0	0	1	0	0	0	0
'A_MANASEly'	0	0	0	0	0	0	1	0
'ACACT10m'	0	0	0	0	0	0	0	1
'ACACT4p'	0	0	0	1	0	1	0	0
'ACACT5p'	0	0	0	1	0	1	0	0
'ACACT6p'	0	0	0	1	0	1	0	0
'ACACT7p'	0	0	0	1	0	1	0	0
'ACACT8p'	0	0	0	1	0	1	0	0
'ACACT9p'	0	0	0	1	0	0	0	0
'ACOAD10m'	0	0	0	0	1	0	0	1
'ACOAD1fm'	0	0	0	0	1	0	0	0
'ACOAD8m'	0	0	0	0	0	0	0	1
'ACOAD9m'	0	0	0	0	1	0	0	1
'ACOAO7p'	0	0	0	1	0	0	0	1
'ACOX22x'	0	0	0	1	0	0	0	1
'ADNCYC'	1	0	0	0	1	0	0	0
'ADRNCPT1'	0	0	0	0	0	0	1	0
'ADSL1'	0	0	0	0	1	0	0	0
'ADSL2'	0	0	0	0	1	0	0	0
'ADSS'	0	0	0	0	0	1	0	0
'AGTix'	0	0	0	1	0	0	0	0
'AHC'	0	0	0	0	1	0	0	0
'AICART'	0	0	0	0	0	1	0	0
'AICARte'	0	0	0	0	0	1	0	0
'AIRCr'	0	0	0	0	0	1	0	0
'AKGDm'	0	0	0	0	0	0	1	0
'AMPDA'	0	0	0	0	0	1	0	0
'APRTO2'	0	0	0	1	0	0	0	0
'ARACHCOAtx'	0	0	0	1	0	0	0	0
'ARACHCPT1'	0	0	0	0	0	0	1	0
'ARACHCPT2'	0	0	0	0	0	0	0	1
'ARTPLM3m'	0	0	0	0	0	0	0	1
'ASPDt6'	0	0	0	0	0	0	1	0
'ASPDTDe'	0	0	0	0	0	0	0	1
'ASPt6'	0	0	0	0	0	0	1	0
'ASPte'	0	0	0	0	0	0	0	1
'ATPH1e'	0	0	0	0	0	0	1	0
'ATPH2e'	0	0	0	0	0	0	1	0
'ATPS4mi'	0	0	0	1	0	0	0	0
'BCRNe'	0	0	0	0	0	0	0	1
'BETALDHxm'	0	0	0	0	0	1	0	1
'BHMT'	0	0	0	0	0	1	0	1
'BPNT'	1	0	0	0	0	0	0	0
'C02356t'	0	0	0	0	0	0	0	1
'C100CPT1'	0	0	0	0	0	0	1	0
'C101CPT1'	0	0	0	0	0	0	1	0
'C101CRNe'	0	0	0	0	0	0	0	1
'C102CPT1'	0	0	0	0	0	0	1	0
'C10CRNe'	0	0	0	0	0	0	0	1
'C10DCc'	0	0	0	0	0	0	1	0
'C10OHc'	0	0	0	0	0	0	1	0
'C120CPT1'	0	0	0	0	0	0	1	0
'C121CPT1'	0	0	0	0	0	0	1	0
'C12DCACOT'	0	0	0	0	0	0	0	1
'C12DCACT'	0	0	0	0	0	0	0	1
'C12DCTD'	0	0	0	0	0	0	0	1
'C12OHc'	0	0	0	0	0	0	1	0
'C140CPT1'	0	0	0	0	0	0	1	0
'C141ACBP'	0	0	0	0	0	0	0	1
'C141CPT1'	0	0	0	0	0	0	1	0
'C141OHc'	0	0	0	0	0	0	1	0
'C141OHe'	0	0	0	0	0	0	0	1
'C142ACBP'	0	0	0	0	0	0	0	1
'C142CPT1'	0	0	0	0	0	0	1	0
'C142OHc'	0	0	0	0	0	0	1	0
'C142OHe'	0	0	0	0	0	0	0	1
'C14OHc'	0	0	0	0	0	0	1	0
'C14STRr'	0	0	0	1	0	0	0	0
'C160CPT1'	0	0	0	0	0	0	1	0
'C160CPT2'	0	0	0	0	0	1	0	1
'C161CPT1'	0	0	0	0	0	0	1	0
'C161CPT12'	0	0	0	1	0	1	1	0
'C161CPT22'	0	0	0	0	0	1	0	1
'C161OHc'	0	0	0	0	0	0	1	0
'C162ACBP'	0	0	0	0	0	0	0	1
'C162OHc'	0	0	0	0	0	0	1	0
'C162OHe'	0	0	0	0	0	0	0	1
'C16DCc'	0	0	0	0	0	0	1	0
'C16OHc'	0	0	0	0	0	0	1	0
'C180CPT1'	0	0	0	0	0	1	1	0
'C180CPT2'	0	0	0	0	0	1	0	1
'C181CPT1'	0	0	0	0	0	0	1	0
'C181OHc'	0	0	0	0	0	0	1	0
'C182OHc'	0	0	0	0	0	0	1	0
'C18OHc'	0	0	0	0	0	0	1	0
'C204CPT1'	0	0	0	0	0	0	1	0
'C204CPT2'	0	0	0	0	0	1	0	0
'C226CPT1'	0	0	0	0	0	1	1	0
'C226CPT2'	0	0	0	0	0	1	0	1
'C30CPT1'	0	0	0	0	0	0	1	0
'C3DCe'	0	0	0	0	0	0	0	1
'C3STDH1Pr'	0	0	0	1	0	0	0	0
'C3STDH1r'	0	0	0	1	0	0	0	0
'C3STKR2r'	0	0	0	1	0	0	0	0
'C40CPT1'	0	0	0	0	0	0	1	0
'C4OHc'	0	0	0	0	0	0	1	0
'C4STMO2Pr'	0	0	0	1	0	0	0	0
'C4STMO2r'	0	0	0	1	0	0	0	0
'C4tcx'	0	0	0	0	0	1	0	0
'C4x'	0	0	0	0	0	1	0	0
'C50CPT1'	0	0	0	0	0	0	1	0
'C51CPT1'	0	0	0	0	0	0	1	0
'C5DCe'	0	0	0	0	0	0	0	1
'C60CPT1'	0	0	0	0	0	0	1	0
'C6COAt'	0	0	0	0	0	0	0	1
'C6CRNtcx'	0	0	0	0	0	0	0	1
'C6DCc'	0	0	0	0	0	0	1	0
'C80CPT1'	0	0	0	1	0	1	1	0
'C81CPT1'	0	0	0	0	0	0	1	0
'C81CRNe'	0	0	0	0	0	0	0	1
'C8DCc'	0	0	0	0	0	0	1	0
'CAATPS'	0	0	0	0	0	0	1	0
'CAPROICc'	0	0	0	0	0	1	0	0
'CHLPCTD'	0	0	0	0	0	1	0	0
'CHLtm'	0	0	0	0	0	1	0	1
'CHOLD2m'	0	0	0	0	0	1	1	0
'CHOLPtr'	0	0	0	0	0	1	0	0
'CLOXAtex2'	0	0	0	1	0	0	0	0
'CLPNDCPT1'	0	0	0	0	0	1	1	0
'CLPNDCPT2'	0	0	0	0	0	1	0	1
'CO2ter'	0	0	0	1	0	0	0	0
'CRMte'	0	1	0	0	0	0	0	0
'CRVSM1hr'	0	0	0	0	1	0	0	0
'CRVSM23hr'	0	0	0	0	1	0	0	0
'CSm'	0	0	0	0	0	0	1	0
'CSNAT2m'	0	0	0	0	0	0	0	1
'CYOOm3i'	0	0	0	1	0	0	0	0
'CYOR_u10mi'	0	0	0	1	0	0	1	0
'DADNt4'	0	0	0	0	0	1	0	0
'DCIm'	0	0	0	0	0	1	0	0
'DCSPTN1COAtx'	0	0	0	0	0	1	0	0
'DCSPTN1CPT1'	0	0	0	0	0	1	1	0
'DCSPTN1CPT2'	0	0	0	0	0	1	0	0
'DDCAte'	0	0	0	0	0	1	0	1
'DDCRNe'	0	0	0	0	0	0	0	1
'DDECCRNe'	0	0	0	0	0	0	0	1
'DDECE1CRNe'	0	0	0	0	0	0	0	1
'DECCRNe'	0	0	0	0	0	0	0	1
'DECDICRNe'	0	0	0	0	0	0	0	1
'DESAT14_9'	0	0	0	1	0	0	0	1
'DESAT18_10'	0	0	0	0	0	0	0	1
'DESAT18_4'	0	0	0	1	0	1	0	0
'DESAT18_6'	0	0	0	0	0	1	0	0
'DESAT18_7'	0	0	0	1	0	1	0	0
'DESAT18_8'	0	0	0	1	0	1	0	0
'DESAT18_9'	0	0	0	0	0	1	0	1
'DESAT20_1'	0	0	0	0	0	0	0	1
'DGSNt'	0	0	0	0	0	1	0	0
'DHCR71r'	0	0	0	1	0	0	0	0
'DINt'	0	0	0	0	0	1	0	0
'DLNLCGCPT1'	0	0	0	0	0	1	1	0
'DLNLCGCPT2'	0	0	0	0	0	1	0	1
'DM_for[c]'	0	0	0	1	0	0	0	0
'DMATT'	0	0	0	1	0	0	0	0
