name	Akkouh_et_al_Rat	GSE132397_Mouse	GSE66276_Rat	Literature	Rat_Microarray_v8_Output
'2HBO'	1	0	0	0	0
'2MB2COAc'	1	0	0	0	0
'2OBUTt'	1	0	0	0	0
'3DSPHR'	0	0	1	0	1
'3HBCDm'	1	0	0	0	0
'3HBCOAHLm'	1	0	0	0	0
'3HBCOARc'	1	0	0	0	0
'4AABUTNt'	0	1	0	0	0
'ACACT10m'	1	0	0	0	0
'ACACT4p'	0	1	1	0	1
'ACACT5p'	0	1	1	0	1
'ACACT6p'	0	1	1	0	1
'ACACT7p'	0	1	1	0	1
'ACACT8p'	0	1	1	0	1
'ACACT9p'	0	1	0	0	0
'ACOAD10m'	1	0	0	0	0
'ACOAD8m'	1	0	0	0	0
'ACOAD9m'	1	0	0	0	0
'ACOAO7p'	1	1	0	0	0
'ACOX22x'	1	1	0	0	0
'ADSS'	0	0	1	0	1
'AGTix'	0	1	0	0	0
'AICART'	0	0	1	0	1
'AICARte'	0	0	1	0	1
'AIRCr'	0	0	1	0	1
'AMPDA'	0	0	1	0	1
'APRTO2'	0	1	0	0	0
'ARACHCOAtx'	0	1	0	0	0
'ARACHCPT2'	1	0	0	0	0
'ARTPLM3m'	1	0	0	0	0
'ASPDTDe'	1	0	0	0	0
'ASPte'	1	0	0	0	0
'ATPS4mi'	0	1	0	0	0
'BCRNe'	1	0	0	0	0
'BETALDHxm'	1	0	1	0	1
'BHMT'	1	0	1	0	1
'C02356t'	1	0	0	0	0
'C101CRNe'	1	0	0	0	0
'C10CRNe'	1	0	0	0	0
'C12DCACOT'	1	0	0	0	0
'C12DCACT'	1	0	0	0	0
'C12DCTD'	1	0	0	0	0
'C141ACBP'	1	0	0	0	0
'C141OHe'	1	0	0	0	0
'C142ACBP'	1	0	0	0	0
'C142OHe'	1	0	0	0	0
'C14STRr'	0	1	0	0	0
'C160CPT2'	1	0	1	0	1
'C161CPT12'	0	1	1	0	1
'C161CPT22'	1	0	1	0	1
'C162ACBP'	1	0	0	0	0
'C162OHe'	1	0	0	0	0
'C180CPT1'	0	0	1	0	1
'C180CPT2'	1	0	1	0	1
'C204CPT2'	0	0	1	0	1
'C226CPT1'	0	0	1	0	1
'C226CPT2'	1	0	1	0	1
'C3DCe'	1	0	0	0	0
'C3STDH1Pr'	0	1	0	0	0
'C3STDH1r'	0	1	0	0	0
'C3STKR2r'	0	1	0	0	0
'C4STMO2Pr'	0	1	0	0	0
'C4STMO2r'	0	1	0	0	0
'C4tcx'	0	0	1	0	1
'C4x'	0	0	1	0	1
'C5DCe'	1	0	0	0	0
'C6COAt'	1	0	0	0	0
'C6CRNtcx'	1	0	0	0	0
'C80CPT1'	0	1	1	0	1
'C81CRNe'	1	0	0	0	0
'CAPROICc'	0	0	1	0	1
'CHLPCTD'	0	0	1	0	1
'CHLtm'	1	0	1	0	1
'CHOLD2m'	0	0	1	0	1
'CHOLPtr'	0	0	1	0	1
'CLOXAtex2'	0	1	0	0	0
'CLPNDCPT1'	0	0	1	0	1
'CLPNDCPT2'	1	0	1	0	1
'CO2ter'	0	1	0	0	0
'CRMte'	0	0	0	1	0
'CSNAT2m'	1	0	0	0	0
'CYOOm3i'	0	1	0	0	0
'CYOR_u10mi'	0	1	0	0	0
'DADNt4'	0	0	1	0	1
'DCIm'	0	0	1	0	1
'DCSPTN1COAtx'	0	0	1	0	1
'DCSPTN1CPT1'	0	0	1	0	1
'DCSPTN1CPT2'	0	0	1	0	1
