Objective,FSR_SKO_1,FSR_SKO_2,FSR_SKO_3,FSR_SKO_4,FSR_SKO_5,FSR_SKO_6,FSR_SKO_7,FSR_SKO_8,FSR_SKO_9,FSR_SKO_10,FSR_SKO_11,FSR_SKO_12,FSR_SKO_13,FSR_SKO_14,FSR_DKO_1_2,FSR_DKO_3_4,FSR_DKO_X_Y,FSR_CKO_ALL
'MI1PP',1,1.00657634985193,1,1.03658131559227,1,1,1,1,1,1.00099050564841,1.03658131559227,1,1,1,1.00657634985193,1.03658131559227,1,2.05216298225631
'MI3PP',1,1.00759493670886,0.999999999999999,2.07848101265823,0.999999999999999,1,1,0.999999999999999,1,1,2.07848101265823,1,0.999999999999999,0.999999999999999,1.00759493670886,2.07848101265823,0.999999999999999,Inf
'HMR_6572',1,1.00759493670886,0.999999999999999,2.07848101265823,0.999999999999999,1,1,0.999999999999999,1,1,2.07848101265823,1,0.999999999999999,0.999999999999999,1.00759493670886,2.07848101265823,0.999999999999999,Inf
'MI1PS',1,1.00746268656716,1,2.05970149253731,1,1,1,1,1,1,2.05970149253731,1,1,1,1.00746268656716,2.05970149253731,1,Inf
'R_group_phosphotase_3',1,1.00576784703396,1,1.47576669614317,0.999999999999989,0.999999999999989,1,1,1,1.00336146170025,1.47576669614317,1,1,1,1.00576784703396,1.47576669614317,0.999999999999989,2.68424496394024
'ARTPLM3m',1,1.00576784703396,1,1.47576669614317,0.999999999999989,0.999999999999989,1,1,1,1.00336146170025,1.47576669614317,1,1,1,1.00576784703396,1.47576669614317,0.999999999999989,2.68424496394024
'BHMT',1.33333333333333,1,1,Inf,1,1,1,1,1,6.66666666666667,Inf,1,1,1,1.33333333333333,Inf,1,Inf
'LPS',1.33333333333333,1,1,Inf,1,1,1,1,1,6.66666666666667,Inf,1,1,1,1.33333333333333,Inf,1,Inf
'RTOTAL3CRNCPT1',1,1,1,1,1,1,1,1,1,1.00014576450009,1,1,1,1,1,1,1,2.55174622609494
'RTOTAL3CRNCPT2',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,1.00750469043152,1.71517532224795,1,2.02709839344953
'RTOTAL3CRNt',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,1.00750469043152,1.71517532224795,1,2.02709839344953
'sink_tag_hs[c]',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,1.00750469043152,1.71517532224795,1,2.02709839344953
'HMR_4696',1,1.00759493670886,0.999999999999999,2.07848101265823,0.999999999999999,1,1,0.999999999999999,1,1,2.07848101265823,1,0.999999999999999,0.999999999999999,1.00759493670886,2.07848101265823,0.999999999999999,Inf
