Objective,FSR_SKO_1,FSR_SKO_2,FSR_SKO_3,FSR_SKO_4,FSR_SKO_5,FSR_SKO_6,FSR_SKO_7,FSR_SKO_8,FSR_SKO_9,FSR_SKO_10,FSR_SKO_11,FSR_SKO_12,FSR_SKO_13,FSR_SKO_14,FSR_CKO_ALL
'2HIVc',1,1.0006232160474,1,Inf,1,1,1,1,1,1.01113974293373,Inf,1,1,1,Inf
'2HIVte',1,1.0006232160474,1,Inf,1,1,1,1,1,1.01113974293373,Inf,1,1,1,Inf
'3DSPHR',1,1.00657634985193,1,1.03658131559227,1,1,1,1,1,1.00099050564841,1.03658131559227,1,1,1,2.05216298225631
'7DHCHSTEROLtr',1,1,1,1,1,1,1,1,1,1.00892857142859,1,1,1,1,Inf
'AGPAT1',1,1,1,1,1,1,1,1,1,1.17647058823529,1,1,1,1,Inf
'AMETt2m',1,1.00061935608777,1,Inf,1,1,1,1,1,1.0128127016054,Inf,1,1,1,Inf
'ARTPLM3m',1,1.00759493670886,0.999999999999999,2.07848101265823,0.999999999999999,1,1,0.999999999999999,1,1,2.07848101265823,1,0.999999999999999,0.999999999999999,Inf
'ASAH1',1,1.00368175287356,1,1.50215517241379,1,1,1,0.999999999999999,1,1.01104525862069,1.50215517241379,1,1,1,Inf
'BETALDHxm',1,1.00061935608777,1,Inf,1,1,1,1,1,1.01281270160536,Inf,1,1,1,Inf
'BGAL1l',1,1.00233405442332,1,1.28560856199476,1,1,1,1,1,1.00700216326995,1.28560856199476,1,1,1,Inf
'BGAL2l',0.999999999999999,1.00368175287356,1,1.50215517241379,0.999999999999999,1,1,0.999999999999999,1,1.01104525862069,1.50215517241379,1,0.999999999999996,0.999999999999996,Inf
'BHMT',1,1.00746268656716,1,2.05970149253731,1,1,1,1,1,1,2.05970149253731,1,1,1,Inf
'C14768td',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'C14STRr',1,0.999999999999999,1,1,1,1,1,1,1,1.00887824126268,1,1,1,1,Inf
'C160CPT1',1,1.00576784703396,1,1.47576669614317,0.999999999999989,0.999999999999989,1,1,1,1.00336146170025,1.47576669614317,1,1,1,2.68424496394024
'C160CPT2',1,1.00576784703396,1,1.47576669614317,0.999999999999989,0.999999999999989,1,1,1,1.00336146170025,1.47576669614317,1,1,1,2.68424496394024
'C16OHc',1,1.00719424460431,1,1.739581308936,1,1,1,1,1,1,1.739581308936,1,1,1,2.04597741674207
'C3STDH1Pr',1,1,1,1,1,1,1,1,1,1.00887824126268,1,1,1,1,Inf
'C3STDH1r',1,1,1,1,1,1,1,1,1,1.00887824126268,1,1,1,1,Inf
'C3STKR2r',1,0.999999999999999,1,1,1,1,1,0.999999999999999,1,1.00887824126268,1,1,0.999999999999999,0.999999999999999,Inf
'C4STMO1r',1,0.999999999999999,1,1,1,1,1,1,1,1.00887824126268,1,1,1,1,Inf
'C4STMO2Pr',1,1,1,1,1,1,1,1,1,1.00887824126268,1,1,1,1,Inf
'C4STMO2r',1,1,1,0.999999999999999,0.999999999999999,1,1,1,1,1.00887824126268,1,1,1,1,Inf
'CDIPTr',1.33333333333333,1,1,Inf,1,1,1,1,1,6.66666666666667,Inf,1,1,1,Inf
'CDS',1.33333333333333,1,1,Inf,1,1,1,1,1,6.66666666666667,Inf,1,1,1,Inf
'CDSm',1,1.00061935608777,1,Inf,1,1,1,1,1,1.01281270160536,Inf,1,1,1,Inf
'CEPTE',1,1,1,1,1,1,1,1,1,1.17647058823529,1,1,1,1,Inf
'CERT1gt',1,1.00062321604753,1,Inf,1,1,1,1,1,1.01113974293371,Inf,1,1,1,Inf
'CHLPCTD',1,1,1,1,1,1,0.999999999999999,1,1,1.17647058823529,1,0.999999999999997,1,1,Inf
'CHOLD2m',1,1.00061935608777,1,Inf,1,1,1,1,1,1.01281270160536,Inf,1,1,1,Inf
'CHSTEROLt',1,1,1,1,1,1,1,1,1,1.02777777777778,1,0.999999999999999,1,1,Inf
'CO2ter',1,1,1,0.999999999999981,0.999999999999981,0.999999999999981,1,1,0.999999999999981,1.00887824126267,1,1,1,1,Inf
'CO2tp',1,1,1,1,1,1,1,1,1,1.00014576450009,1,1,1,1,2.55174622609494
'CYTK1m',1,1.00061935608777,1,Inf,1,1,1,1,1,1.01281270160545,Inf,1,1,1,Inf
'CYTK1n',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,2.02709839344953
'CYTK8n',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,2.02709839344953
'DAGK_hs',1.26984126984127,1,1,6.66666666666666,1,1,1,1,1,Inf,6.66666666666666,1,1,1,Inf
'DAG_HStg',1,1.0006232160474,1,Inf,1,1,1,1,1,1.01113974293374,Inf,1,1,1,Inf
'DHCR71r',1,1,1,1,1,1,1,1,1,1.00887824126268,1,1,1,1,Inf
'DHCR72r',0.999999999999999,0.999999999999999,1,0.999999999999999,1,1,0.999999999999999,0.999999999999999,0.999999999999999,1.00892857142857,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,Inf
'DIDECAETH',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'DMATT',1,1,1,1,1,0.999999999999998,1,1,1,1.02777777777778,1,1,1,1,Inf
'DM_sphs1p[n]',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,2.02709839344955
'DPMVDc',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'DPMVDx',1,0.999999999999999,1,1,1,1,1,1,1,1.0001457645001,1,1,1,1,Inf
'DSREDUCr',1,1,1,1,1,1,1,1,1,1.00887824126268,1,1,1,1,Inf
'DTDPtn',1,1.00750469043152,1,1.71517532224795,1,1,1,1,1,1,1.71517532224795,1,1,1,2.02709839344953
'EBP1r',1,1,1,1,1,1,1,1,1,1.00887824126268,1,1,1,1,Inf
'EX_2hiv[e]',1,1.0006232160474,1,Inf,1,1,1,1,1,1.01113974293373,Inf,1,1,1,Inf
'EX_3hexdcrn[e]',1,1.00719424460431,1,1.739581308936,1,1,1,1,1,1,1.739581308936,1,1,1,2.04597741674213
'EX_C14768[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_didecaeth[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_ga1_hs[e]',1,1.00368175287359,1,1.50215517241381,1,1,1,1,1,1.01104525862071,1.50215517241381,1,1,1,Inf
'EX_inost[e]',1,Inf,1,1.125,1,1,1.11610603007286,1,1,1.08173076923077,1.125,1.11610603007286,1.11610603007286,1.11610603007286,Inf
'EX_lineth[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_mag_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_oleth[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_pa_hs[e]',1,1,1,1,1,1,1,1,1,1.01181102362205,1,1,1,1,Inf
'EX_pailar_hs[e]',1,1.0078125,1,Inf,1,1,1,1,1,1,Inf,1,1,1,Inf
'EX_pailpalm_hs[e]',1,1.0078125,1,Inf,1,1,1,1,1,1,Inf,1,1,1,Inf
'EX_pchol2linl_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pchol2ole_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pchol2palm_hs[e]',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'EX_pchol2ste_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pchol_hs[e]',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'EX_pcholar_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholdoc_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholeic_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholet_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholhep_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pchollinl_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholmyr_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn15_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn1836_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn183_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn19_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn201_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn203_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn204_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn205_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn224_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
'EX_pcholn2254_hs[e]',1,1,1,1,1,1,1,1,1,1.02752293577982,1,1,1,1,Inf
