subSystem	n.x	n.y	p.val	p.val.fdr
Aminosugar metabolism	1	15	0.849599512440082	1
CoA synthesis	1	11	0.750622238423426	1
Eicosanoid metabolism	1	50	0.998225090017581	1
Glycosphingolipid metabolism	1	25	0.957580705874013	1
Pentose phosphate pathway	1	31	0.980171257789566	1
Pyrimidine synthesis	1	13	0.806325498918546	1
Pyruvate metabolism	1	22	0.937974682267281	1
Sink	1	18	0.897093389384107	1
Folate metabolism	2	42	0.96716735908684	1
Peptide metabolism	3	242	0.999999999982411	1
Bile acid synthesis	4	40	0.714512687821127	1
Sphingolipid metabolism	5	63	0.882446881681883	1
Transport, peroxisomal	6	89	0.961333386947614	1
Transport, endoplasmic reticular	8	109	0.955232213284902	1
Glycerophospholipid metabolism	12	125	0.821899613136348	1
Transport, mitochondrial	21	260	0.982448043906167	1
Exchange/demand reaction	37	1072	1	1
Transport, extracellular	120	1363	0.999979885620745	1
Transport, golgi apparatus	6	49	0.531807365038884	0.850891784062214
Heme degradation	1	2	0.222996733950288	0.369098042400477
Urea cycle	5	27	0.209450238001422	0.35905755085958
Glutathione metabolism	3	13	0.193229917221396	0.343519852838037
Citric acid cycle	4	19	0.180575739431309	0.333370595873187
Valine, leucine, and isoleucine metabolism	6	32	0.171071613100573	0.3284574971531
Fructose and mannose metabolism	4	18	0.156305366595441	0.313664937309264
Transport, nuclear	8	45	0.156832468654632	0.313664937309264
Nucleotide metabolism	1	1	0.118512530315278	0.258572793415152
Miscellaneous	18	112	0.109059023491751	0.249277767981144
Phosphatidylinositol phosphate metabolism	7	32	0.0765624824080112	0.183749957779227
Vitamin B2 metabolism	2	4	0.0714892418893244	0.180604400562504
Transport, lysosomal	13	69	0.0592052553803158	0.157880681014175
Glyoxylate and dicarboxylate metabolism	3	7	0.0402094220706055	0.113532485846415
NAD metabolism	5	16	0.0330013532152366	0.0999767575936775
Starch and sucrose metabolism	5	16	0.0330013532152366	0.0999767575936775
Nucleotide interconversion	24	138	0.0333255858645592	0.0999767575936775
Methionine and cysteine metabolism	8	31	0.024624317976711	0.0909205586832406
Fatty acid oxidation	114	807	0.0200614206414582	0.0802456825658329
Purine catabolism	7	24	0.018035634522156	0.0787009506421355
Glycine, serine, alanine, and threonine metabolism	6	18	0.014354969469284	0.0689038534525632
Pyrimidine catabolism	8	22	0.00261169500016666	0.0139290400008889
Glutamate metabolism	6	12	0.00133368201604064	0.00800209209624385
Vitamin B6 metabolism	6	10	0.000374052076048218	0.00256492852147349
Glycolysis/gluconeogenesis	12	27	2.24333780619681e-05	0.000179467024495745
Propanoate metabolism	8	11	4.46234891091245e-06	4.28385495447595e-05
Biotin metabolism	10	10	5.17638018541958e-10	6.21165622250349e-09
Inositol phosphate metabolism	26	42	1.42396505402242e-14	2.27834408643588e-13
Fatty acid synthesis	92	191	8.55373177566291e-37	2.0528956261591e-35
Cholesterol metabolism	89	158	8.215055578875e-43	3.94322667786e-41
