subSystem	n.x	n.y	p.val	p.val.fdr
Exchange/demand reaction	6	1080	0.991561851630037	0.999529082540828
Transport, extracellular	6	1373	0.999529082540828	0.999529082540828
Transport, mitochondrial	2	258	0.809100785627729	0.910238383831195
Eicosanoid metabolism	1	60	0.506134795206552	0.607361754247863
Tyrosine metabolism	1	37	0.35224071682045	0.461531909080743
Miscellaneous	2	108	0.358969262618355	0.461531909080743
Steroid metabolism	1	24	0.245249514866061	0.390070747728904
Transport, peroxisomal	2	85	0.260047165152602	0.390070747728904
Nucleotide interconversion	3	141	0.225419153322901	0.390070747728904
Exchange	1	18	0.19016349639445	0.3803269927889
Pyrimidine synthesis	1	12	0.131116815451216	0.295012834765237
Beta-Alanine metabolism	1	6	0.0678289951826192	0.174417416183878
Phosphatidylinositol phosphate metabolism	2	33	0.0559013154420434	0.16770394632613
Purine catabolism	2	22	0.0265335877983964	0.095520916074227
Vitamin A metabolism	2	19	0.0200860197014031	0.090387088656314
Transport, nuclear	3	46	0.0160296321752876	0.090387088656314
Transport, endoplasmic reticular	6	123	0.00292149910445619	0.0262934919401057
Fatty acid oxidation	30	799	9.68145302332086e-10	1.74266154419776e-08
