name	Ctrl_vs_BD	Ctrl_vs_BD_NR	Ctrl_vs_BD_R	Ctrl_vs_Primary_Unchanged
13_CIS_RETNte	1	1	1	0
2HBO	1	1	1	0
2MOPtm	1	0	1	0
2OBUTt	1	1	1	0
2OXOADOXm	1	0	0	1
2OXOADPt	1	0	0	1
2OXOADPTm	1	0	0	1
34DHPHAMT	1	1	1	0
34DHPHAte	1	1	1	0
34DHPHEt	1	1	1	0
34DHXMANDACOX_NADP_	1	0	0	1
3DHLCAt	1	0	0	0
3SALATAi	1	0	0	1
3SALATAim	1	0	0	1
3SPYRSP	1	0	0	1
3SPYRSPm	1	0	0	1
4HOXPACDOX_NADP_	1	0	0	1
4HPRO_LTte	1	1	1	0
4HPROLTASCT1	1	1	1	0
5HPETtd	1	1	1	0
AATAi	1	0	0	1
ACACT10m	1	1	1	1
ACACT8p	1	1	1	0
ACALDt	1	1	0	0
ACALDtm	1	1	0	0
ACER12r	1	0	0	0
ACETONEt2	1	1	0	1
ACETONEt2m	1	1	0	1
ACGALtly	1	0	0	0
ACGAM6PSi	1	0	0	0
ACOAO7p	1	1	1	0
ACRNte	1	0	0	0
ADNtm	1	1	0	0
ADPOHc	1	0	0	1
ADPOHt	1	0	0	1
ADRNCPT1	1	0	1	0
ADRNCPT2	1	0	1	0
AGPAT1	1	0	1	0
AICART	1	1	1	0
ALDD2x	1	1	0	0
ALDD2xm	1	1	0	0
ALDD2y	1	1	0	0
ARGtm	1	1	1	0
ARTFR208	1	0	0	1
ASNCYSCYSr	1	1	0	1
ASNCYSCYSt	1	1	0	1
ASPGLUPROr	1	1	1	0
ASPGLUPROt	1	1	1	0
BGAL1e	1	1	1	0
BGAL3l	1	0	0	0
BILGLCURtr	1	1	1	1
BILIRUBt2	1	1	1	1
BILIRUBtr	1	0	1	1
C02356t	1	1	1	0
C02712te	1	0	0	1
C04805td	1	1	1	0
C05957td	1	1	0	0
C06315t	1	0	0	0
C11695td	1	1	0	0
C12DCACT	1	0	0	0
C13856te	1	0	0	1
C14768td	1	1	0	0
C14769td1	1	1	0	0
C14770ATP	1	1	0	0
C14771ATP	1	1	0	0
C14STRr	1	0	0	0
C160CPT2	1	0	1	0
C161CPT1	1	0	1	1
C161CPT12	1	1	1	0
C180CPT1	1	1	0	1
C180CPT2	1	1	0	1
C204CPT1	1	0	1	0
C204CPT2	1	1	1	0
C3STDH1Pr	1	0	0	0
C3STKR2r	1	0	0	0
C40CPT1	1	1	1	0
C4DCCACT	1	1	0	0
C4STMO1r	1	0	0	0
C4STMO2r	1	0	0	0
C60CPT1	1	1	1	0
C6COAt	1	1	1	0
C6CRNtcx	1	1	1	0
C80CPT1	1	1	0	0
CE1261t	1	1	1	0
CE1617te	1	1	1	0
CE2445t	1	1	1	0
CE2510ABCt	1	1	0	0
CE4890te	1	0	0	1
CE5026t	1	1	1	0
CE6247t	1	1	1	0
CE7081tr	1	0	0	0
CE7090te	1	0	0	1
CERT1gt	1	0	1	0
CERT1rt	1	1	1	0
CHSTEROLtrc	1	0	1	0
CITtbm	1	1	1	0
CLPNDCPT1	1	0	0	1
CLPNDCPT2	1	0	0	1
CO2t	1	0	0	1
CO2ter	1	0	0	0
CYSCYSr	1	1	0	1
CYSCYSt	1	1	0	1
CYSO	1	0	0	1
CYSTA	1	1	0	1
DACGST	1	1	1	0
DAG_HStg	1	0	1	0
DAGt	1	0	0	1
DCIm	1	0	1	0
DCT	1	1	1	0
DCYTt	1	1	1	1
DDPGAm	1	0	0	0
DESAT18_3	1	0	1	0
DESAT18_4	1	0	1	0
DESAT18_8	1	0	1	0
DESAT20_1	1	1	0	0
DESAT20_2	1	1	1	0
DGK1	1	1	0	0
DGK2m	1	1	1	0
DGSNt	1	1	1	0
DHCR71r	1	0	0	0
DHCRMter	1	0	0	0
DHPR	1	1	1	0
DINt	1	1	1	0
DLNLCGCPT2	1	1	0	0
DM_4glu56dihdind[c]	1	1	1	0
DM_melanin_c_	1	1	1	0
DMATT	1	1	0	0
DNADtn	1	1	0	1
DOPAQNISO1	1	1	1	0
DPMVDc	1	1	0	0
DPMVDx	1	1	0	0
DTMPK	1	1	1	0
DTMPKm	1	1	1	0
DURAD	1	0	0	0
DXTRNt	1	1	0	1
ECOAH1m	1	1	0	0
ECOAH1x	1	0	1	0
EHGLAT2m	1	0	0	0
EHGLATm	1	0	0	0
EICOSTETCPT1	1	1	1	0
EICOSTETCPT2	1	1	1	0
ELAIDCPT1	1	0	0	1
ELAIDCRNtd	1	0	0	1
EX_13_cis_retn[e]	1	1	1	0
EX_2hb[e]	1	1	1	0
EX_2obut[e]	1	1	1	0
EX_2oxoadp[e]	1	0	0	1
EX_34dhpha[e]	1	1	1	0
EX_34dhphe[e]	1	1	1	0
EX_4hpro[e]	1	0	0	0
EX_5cysgly34dhphe[e]	1	1	1	0
EX_5HPET[e]	1	1	1	0
EX_ac[e]	1	1	0	1
EX_acald[e]	1	1	0	0
EX_adpoh[e]	1	0	0	1
EX_adrn[e]	1	0	1	0
EX_arach[e]	1	1	1	0
EX_arachd[e]	1	1	0	0
EX_asncyscys[e]	1	1	0	1
EX_aspglupro[e]	1	1	1	0
EX_C02356[e]	1	1	1	0
EX_C02712[e]	1	0	0	1
EX_C04805[e]	1	1	1	0
EX_C06315[e]	1	0	0	0
EX_C11695[e]	1	1	0	0
EX_C13856[e]	1	0	0	1
EX_C14768[e]	1	1	0	0
EX_C14769[e]	1	1	0	0
EX_C14770[e]	1	1	0	0
EX_C14771[e]	1	1	0	0
EX_caproic[e]	1	0	1	0
EX_CE1261[e]	1	1	1	0
EX_CE1617[e]	1	1	1	0
EX_CE2445[e]	1	1	1	0
EX_CE5026[e]	1	1	1	0
EX_CE6247[e]	1	1	1	0
EX_CE7090[e]	1	0	0	1
EX_cgly[e]	1	1	0	1
EX_clpnd[e]	1	0	0	1
EX_crm_hs[e]	1	0	1	0
EX_cys_L[e]	1	1	0	1
EX_cyscys[e]	1	1	0	1
EX_dha[e]	1	1	1	0
EX_dlnlcg[e]	1	1	0	0
EX_dxtrn[e]	1	1	0	1
EX_eicostet[e]	1	1	1	0
EX_elaid[e]	1	0	1	0
EX_fmn[e]	1	1	1	0
EX_galgluside_hs[e]	1	0	1	0
EX_glc_D[e]	1	1	0	1
EX_glnproglu[e]	1	1	1	0
EX_gluala[e]	1	1	0	1
EX_gluside_hs[e]	1	0	1	0
EX_glyald[e]	1	1	0	1
EX_glyc_R[e]	1	0	0	1
EX_glyc[e]	1	0	0	1
EX_glypro[e]	1	1	1	0
EX_gthrd[e]	1	1	0	1
EX_HC00229[e]	1	1	0	1
EX_HC00250[e]	1	1	0	1
EX_HC00900[e]	1	1	1	0
EX_HC01444[e]	1	0	0	1
EX_HC02202[e]	1	1	0	0
EX_HC02204[e]	1	1	0	0
EX_hiscyscys[e]	1	1	0	1
EX_homoval[e]	1	1	1	0
EX_L2aadp[e]	1	0	0	1
EX_leuktrB4[e]	1	0	1	0
EX_leuleu[e]	1	0	0	0
EX_lthstrl[e]	1	0	0	0
EX_M00017[e]	1	0	1	0
EX_M01235[e]	1	0	1	0
EX_M02745[e]	1	0	1	0
EX_mag_hs[e]	1	0	0	1
EX_mercplaccys[e]	1	1	0	1
EX_ocdca[e]	1	1	1	0
EX_oxa[e]	1	0	0	0
EX_pro_L[e]	1	1	1	0
EX_proglnpro[e]	1	1	1	0
EX_prolyspro[e]	1	1	1	0
EX_proproarg[e]	1	1	1	0
EX_propropro[e]	1	1	1	0
EX_prostge1[e]	1	1	0	0
EX_retinal[e]	1	1	1	0
EX_retn[e]	1	1	1	0
EX_sfcys[e]	1	1	0	1
EX_so4[e]	1	0	0	1
EX_sphmyln_hs[e]	1	0	0	0
EX_sphmyln180241_hs[e]	1	0	1	0
