rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization	RxnFormula
ACACT10m	Valine, leucine, and isoleucine metabolism	38.1 or 3032.1 or 10449.1	406.29058461463	20	20.3145292307315	L	isoleucine metabolism	[m]	coa[m] + 2maacoa[m]  <=> accoa[m] + ppcoa[m] 
BILGLCURtr	Transport, endoplasmic reticular		1147.28426395939	0	Inf	L	NA	intercompartmental	bilglcur[c]  <=> bilglcur[r] 
BILIRUBt2	Transport, extracellular	10599.1	2000	0	Inf	L	NA	intercompartmental	hco3[c] + bilirub[e]  <=> hco3[e] + bilirub[c] 
DCYTt	Transport, extracellular	3177.1	1000	20	50	L	NA	intercompartmental	dcyt[e]  <=> dcyt[c] 
FAOXC102C103m	Fatty acid oxidation	34.1	40	20	2	L	betaoxidation	[m]	fad[m] + dec47dicoa[m]  -> fadh2[m] + dectricoa[m] 
FAOXC102C81m	Fatty acid oxidation	1892.1 and 3033.1 and 10449.1	40	20	2	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2decdicoa[m]  -> h[m] + nadh[m] + accoa[m] + octe5coa[m] 
FAOXC102m	Fatty acid oxidation	1632.1	40	20	2	L	betaoxidation	[m]	3decdicoa[m]  -> 2decdicoa[m] 
FAOXC103C102m	Fatty acid oxidation	1666.1	40	20	2	L	betaoxidation	[m]	h[m] + nadph[m] + dectricoa[m]  -> nadp[m] + 3decdicoa[m] 
FAOXC123C102m	Fatty acid oxidation	1892.1 and 3033.1 and 10449.1	40	20	2	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2dodtricoa[m]  -> h[m] + nadh[m] + accoa[m] + dec47dicoa[m] 
FAOXC123m	Fatty acid oxidation	1632.1	40	20	2	L	betaoxidation	[m]	3dodtricoa[m]  -> 2dodtricoa[m] 
FAOXC143C123m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	40	20	2	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + 5tedtricoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + 3dodtricoa[m] 
FAOXC61m	Fatty acid oxidation	1632.1	40	20	2	L	betaoxidation	[m]	hexe3coa[m]  -> hx2coa[m] 
FAOXC81C61m	Fatty acid oxidation	34.1 and 1892.1 and 3033.1 and 10449.1	40	20	2	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + octe5coa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + hexe3coa[m] 
FBA2	Fructose and mannose metabolism	226.2 or 226.1 or 226.3 or 229.1 or 230.1	319.345741680767	0	Inf	L	fructose metabolism, cytosol	[c]	f1p[c]  <=> dhap[c] + glyald[c] 
HACD9m	Valine, leucine, and isoleucine metabolism	3028.1 or 1962.1 or 3033.1	406.29058461463	20	20.3145292307315	L	isoleucine metabolism	[m]	nad[m] + 3hmbcoa[m]  <=> h[m] + nadh[m] + 2maacoa[m] 
HMR_0362	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	404.018612521152	10	40.4018612521152	L	NA	[c]	h2o[c] + tmndnccoa[c]  -> h[c] + coa[c] + tmndnc[c] 
HMR_6515	Methionine and cysteine metabolism	4357.1 or 7263.1	10	20	0.5	H	NA	[c]	so3[c] + mercppyr[c]  -> pyr[c] + tsul[c] 
KHK	Fructose and mannose metabolism	3795.1 or 3795.2	319.345741680767	0	Inf	L	fructose metabolism, cytosol	[c]	atp[c] + fru[c]  -> h[c] + adp[c] + f1p[c] 
NDP7er	Nucleotide interconversion	124583.1 or 957.1 or 9583.1	758.26565143824	216.567963902989	3.50128263558825	L	pyrimidine degradation	[r]	h2o[r] + udp[r]  -> h[r] + pi[r] + ump[r] 
NDPK6m	Nucleotide interconversion	4833.1 or 10201.1	1363.42228668117	324.851945854484	4.19705747211964	L	NA	[m]	atp[m] + dudp[m]  <=> adp[m] + dutp[m] 
PPItm	Transport, mitochondrial		1439.34678065723	689.637323002939	2.08710684971308	L	NA	intercompartmental	ppi[c]  <=> ppi[m] 
PRISTCOAtcx	Transport, peroxisomal	5825.1	758.265651438241	0	Inf	L	NA	intercompartmental	h2o[c] + atp[c] + pristcoa[c]  -> h[c] + adp[c] + pi[c] + pristcoa[x] 
RE0691C	Urea cycle		0	70	0	H	NA	[c]	4abutn[c]  <=> h2o[c] + CE1944[c] 
RE1897C	Urea cycle		0	70	0	H	NA	[c]	nad[c] + spmd[c]  <=> h[c] + nadh[c] + CE5586[c] 
RE1898C	Urea cycle		0	70	0	H	NA	[c]	CE5586[c]  <=> 13dampp[c] + CE1944[c] 
TMNDNCCPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	419.01861252115	10	41.901861252115	L	carnitine shuttle	[c]	crn[c] + tmndnccoa[c]  <=> coa[c] + tmndnccrn[c] 
UGT1A10r	Steroid metabolism	54576.1	1147.28426395939	0	Inf	L	heme degradation	[r]	bilirub[r] + udpglcur[r]  <=> bilglcur[r] + udp[r] 
