rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization	RxnFormula
2M3HVACc	Propanoate metabolism		251.359766097589	154.987008018833	1.62181184933285	L	NA	[c]	h[c] + nadh[c] + 2m3ovac[c]  <=> nad[c] + 2m3hvac[c] 
2M3HVACte	Transport, extracellular		251.359766097589	154.987008018834	1.62181184933285	L	NA	intercompartmental	2m3hvac[c]  -> 2m3hvac[e] 
2M3OVACm	Propanoate metabolism		251.359766097589	154.987008018834	1.62181184933285	L	NA	[m]	h2o[m] + 2m3ovcoa[m]  -> h[m] + coa[m] + 2m3ovac[m] 
2M3OVACtm	Transport, mitochondrial		251.359766097589	154.987008018834	1.62181184933285	L	NA	intercompartmental	2m3ovac[m]  -> 2m3ovac[c] 
2M3OVCOAm	Propanoate metabolism	38.1	251.359766097589	154.987008018833	1.62181184933285	L	NA	[m]	2 ppcoa[m]  <=> coa[m] + 2m3ovcoa[m] 
3HPPt	Transport, extracellular		516.535869350245	308.131496253324	1.67634881740744	L	NA	intercompartmental	3hpp[c]  <=> 3hpp[e] 
3HPPtm	Transport, mitochondrial		516.535869350245	308.131496253324	1.67634881740744	L	NA	intercompartmental	3hpp[c]  <=> 3hpp[m] 
4ABUTtm	Transport, mitochondrial		837.416968817984	213.180772816741	3.92820120573379	L	NA	intercompartmental	4abut[c]  <=> 4abut[m] 
ABTArm	Glutamate metabolism	18.1 or 18.2	837.416968817984	213.180772816741	3.92820120573379	L	GABA aminotransferase	[m]	akg[m] + 4abut[m]  <=> glu_L[m] + sucsal[m] 
ACACT5p	Fatty acid oxidation	30.1	23.3333333333333	12.5	1.86666666666667	L	betaoxidation	[x]	coa[x] + 3oddcoa[x]  -> accoa[x] + dcacoa[x] 
ACACT6p	Fatty acid oxidation	30.1	23.3333333333333	12.5	1.86666666666667	L	betaoxidation	[x]	coa[x] + 3otdcoa[x]  -> accoa[x] + ddcacoa[x] 
ACACT7p	Fatty acid oxidation	30.1	23.3333333333333	12.5	1.86666666666667	L	betaoxidation	[x]	coa[x] + 3ohdcoa[x]  -> accoa[x] + tdcoa[x] 
ACACtx	Transport, peroxisomal		849.098984771578	517.77546531303	1.63989806712499	L	NA	intercompartmental	acac[c]  <=> acac[x] 
ACCOAL	Propanoate metabolism	55902.1 or 55902.2	758.26565143824	487.593744882921	1.55511767613079	L	fatty acid activation, cytosol	[c]	atp[c] + coa[c] + ppa[c]  -> adp[c] + pi[c] + ppcoa[c] 
ACITL	Citric acid cycle	47.1 or 47.2	757.170655064056	487.593744882921	1.55287196156683	L	ATP-citrate lyase, cytosol	[c]	atp[c] + coa[c] + cit[c]  -> adp[c] + pi[c] + accoa[c] + oaa[c] 
ACNAMtn	Transport, nuclear		389.01861252115	251.028971152655	1.54969607983845	L	NA	intercompartmental	acnam[c]  -> acnam[n] 
ACP1_FMN_	Vitamin B2 metabolism	52.1 or 52.3 or 52.2 or 55.1 or 51205.1 or 54.1	758.26565143824	487.593744882922	1.55511767613079	L	vitamin b2 metabolism	[c]	h2o[c] + fmn[c]  -> pi[c] + ribflv[c] 
ACS	Glycolysis/gluconeogenesis	65985.1 or 55902.2 or 55902.1	389.018612521151	251.028971152656	1.54969607983846	L	NA	[c]	atp[c] + coa[c] + ac[c]  -> accoa[c] + amp[c] + ppi[c] 
ACS2	Propanoate metabolism	55902.1 or 65985.1 or 55902.2	389.018612521151	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]	atp[c] + coa[c] + ppa[c]  -> amp[c] + ppi[c] + ppcoa[c] 
ACYP	Glycolysis/gluconeogenesis	112611.1 or 98.1 or 97.2 or 97.1	758.26565143824	487.593744882921	1.55511767613079	L	glycolysis	[c]	h2o[c] + 13dpg[c]  -> h[c] + pi[c] + 3pg[c] 
ACt2m	Transport, mitochondrial		807.234505423291	443.692146909525	1.81935720757279	L	NA	intercompartmental	h[c] + ac[c]  <=> h[m] + ac[m] 
ADNCYC	Nucleotide interconversion	112.1 or 55811.1 or 109.1 or 112.2 or 114.1 or 108.1 or 113.1 or 107.1 or 196883.1 or 115.1 or 111.1	389.018612521151	251.028971152656	1.54969607983845	L	purine synthesis, cytosol	[c]	atp[c]  -> ppi[c] + camp[c] 
