subSystem	n.x	n.y	p.val	p.val.fdr
Drug metabolism	1	95	0.962647872367318	0.999597128199982
Peptide metabolism	2	242	0.997981561244264	0.999597128199982
Exchange/demand reaction	19	937	0.997047050742411	0.999597128199982
Transport, extracellular	24	1219	0.999597128199982	0.999597128199982
Eicosanoid metabolism	1	53	0.839065061441776	0.943948194121998
Transport, golgi apparatus	1	40	0.747665940207093	0.868257220885656
Transport, nuclear	1	37	0.720112649393833	0.8641351792726
Transport, mitochondrial	7	234	0.682271599226985	0.846957847316257
Nucleotide interconversion	4	131	0.650697823049498	0.836611486777927
Valine, leucine, and isoleucine metabolism	1	24	0.561749018667689	0.748998691556918
Arginine and proline metabolism	1	18	0.461181009181686	0.734530735539442
Exchange	1	21	0.514045633611548	0.734530735539442
Glycine, serine, alanine, and threonine metabolism	1	16	0.422798852020206	0.734530735539442
Purine catabolism	1	21	0.514045633611548	0.734530735539442
Tryptophan metabolism	1	22	0.530494420111819	0.734530735539442
Sphingolipid metabolism	2	49	0.496203011003647	0.734530735539442
Transport, peroxisomal	3	79	0.501421798894046	0.734530735539442
Fatty acid oxidation	25	691	0.384029985908889	0.727635762774736
Pyrimidine synthesis	1	11	0.314529051573661	0.629058103147322
Inositol phosphate metabolism	2	32	0.293784160348383	0.629058103147322
Tyrosine metabolism	2	33	0.306386797669162	0.629058103147322
Oxidative phosphorylation	1	5	0.157652480587088	0.404690681054036
Taurine and hypotaurine metabolism	1	5	0.157652480587088	0.404690681054036
Pyruvate metabolism	2	22	0.168621117105848	0.404690681054036
Vitamin C metabolism	1	4	0.128236662866083	0.384709988598249
Fatty acid synthesis	10	180	0.0817111598163785	0.267418341217239
Phenylalanine metabolism	2	11	0.0509164352683387	0.200606835814275
Transport, endoplasmic reticular	7	102	0.0557241210595208	0.200606835814275
Steroid metabolism	3	23	0.0406837570826703	0.183076906872016
Glycerophospholipid metabolism	5	53	0.0320564862326075	0.164861929196267
Fructose and mannose metabolism	3	15	0.0127214510912168	0.08986942919608
Transport, lysosomal	6	60	0.0149782381993467	0.08986942919608
Aminosugar metabolism	4	18	0.00264097190877468	0.0237687471789721
N-glycan synthesis	3	4	0.000147173912994046	0.00176608695592855
Keratan sulfate degradation	18	60	3.72035395219591e-13	6.69663711395264e-12
Phosphatidylinositol phosphate metabolism	17	33	3.28020401093625e-17	1.18087344393705e-15
