rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization	RxnFormula
15KPROSTGF2c	Eicosanoid metabolism	3248.1	20	28.3333333333335	0.705882352941173	H	NA	[c]	nad[c] + prostgf2[c]  <=> h[c] + nadh[c] + 15kprostgf2[c] 
34DHPHEt	Transport, extracellular	117247.1	0	20	0	H	NA	intercompartmental	34dhphe[e]  <=> 34dhphe[c] 
C12DCACT	Fatty acid oxidation		0	258.333333333333	0	H	fatty acid activation, cytosol	[c]	atp[c] + coa[c] + dodecanac[c]  -> amp[c] + ppi[c] + c12dccoa[c] 
C30CPT1	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	2000	1000	2	L	carnitine shuttle	[c]	ppcoa[c] + crn[c]  <=> coa[c] + pcrn[c] 
C40CPT1	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	2000	65.7352941176464	30.4250559284119	L	carnitine shuttle	[c]	crn[c] + btcoa[c]  <=> coa[c] + c4crn[c] 
CE1261t	Transport, extracellular		0	20	0	H	NA	intercompartmental	CE1261[c]  <=> CE1261[e] 
CE5026t	Transport, extracellular	10928.1 or 4363.1	0	20	0	H	NA	intercompartmental	h2o[c] + atp[c] + CE5026[c]  -> h[c] + adp[c] + pi[c] + CE5026[e] 
CHAT	Glycerophospholipid metabolism	1103.4 or 1103.2 or 1103.3 or 1103.1	2000	36.6666666666667	54.5454545454544	L	choline acetyltransferase	[c]	accoa[c] + chol[c]  <=> coa[c] + ach[c] 
CSNATp	Fatty acid oxidation	1384.2	2000	1000	2	L	NA	[x]	accoa[x] + crn[x]  <=> coa[x] + acrn[x] 
CYTDt2r	Transport, extracellular	64078.1	1000	20	50	L	NA	intercompartmental	h[e] + cytd[e]  <=> h[c] + cytd[c] 
DCT	Tyrosine metabolism	1638.1	0	20	0	H	NA	[c]	L_dpchrm[c]  <=> 56dihindlcrbxlt[c] 
DHPR	Tetrahydrobiopterin metabolism	5860.1	0	20	0	H	NA	[c]	h[c] + nadh[c] + dhbpt[c]  -> nad[c] + thbpt[c] 
DM_melanin_c_	Exchange/demand reaction		0	20	0	H	NA	[c]	melanin[c]  -> 
DOPAQNISO1	Tyrosine metabolism		0	20	0	H	NA	[c]	dopaqn[c]  <=> h[c] + 2c23dh56dhoxin[c] 
EX_34dhphe[e]	Exchange/demand reaction		0	20	0	H	NA	[e]	34dhphe[e]  -> 
EX_5cysgly34dhphe[e]	Miscellaneous		0	20	0	H	NA	[e]	5cysgly34dhphe[e]  -> 
EX_CE1261[e]	Miscellaneous		0	20	0	H	NA	[e]	CE1261[e]  -> 
EX_CE5026[e]	Miscellaneous		0	20	0	H	NA	[e]	CE5026[e]  -> 
EX_M01207[e]	Exchange/demand reaction		0	32.5	0	H	NA	[e]	M01207[e]  -> 
EX_M01235[e]	Exchange/demand reaction		0	27.5	0	H	NA	[e]	M01235[e]  -> 
EX_prgstrn[e]	Exchange		10	25	0.4	H	NA	[e]	prgstrn[e]  <=> 
FAOXC12DCTc	Fatty acid oxidation	788.1	0	258.333333333333	0	H	NA	intercompartmental	c12dc[x]  <=> c12dc[c] 
FAOXC12DCc	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	0	258.333333333333	0	H	carnitine shuttle	[c]	crn[c] + c12dccoa[c]  <=> coa[c] + c12dc[c] 
