rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization	RxnFormula
C161CPT2	Fatty acid oxidation	1376.1	2000	418.333333333333	4.78087649402391	L	carnitine shuttle	[m]	coa[m] + hdcecrn[m]  <=> crn[m] + hdcoa[m] 
DCSPTN1CPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	0	10	0	H	carnitine shuttle	[c]	crn[c] + dcsptn1coa[c]  <=> coa[c] + dcsptn1crn[c] 
DCSPTN1CPT2	Fatty acid oxidation	1376.1	0	10	0	H	carnitine shuttle	[m]	coa[m] + dcsptn1crn[m]  <=> crn[m] + dcsptn1coa[m] 
FAOXC122x	Fatty acid oxidation	1962.1 or 10455.1	0	10	0	H	betaoxidation	[x]	3ddecdicoa[x]  -> 2ddecdicoa[x] 
FAOXC142C122x	Fatty acid oxidation	51.1 and 1962.1 and 3295.1 and 30.1	0	10	0	H	betaoxidation	[x]	nad[x] + coa[x] + o2[x] + h2o[x] + tetdecdicoa[x]  -> h[x] + nadh[x] + accoa[x] + h2o2[x] + 3ddecdicoa[x] 
FAOXC163C142x	Fatty acid oxidation	1962.1 and 3295.1 and 30.1	0	10	0	H	betaoxidation	[x]	nad[x] + coa[x] + h2o[x] + 2hexdtricoa[x]  -> h[x] + nadh[x] + accoa[x] + tetdecdicoa[x] 
FAOXC163C164x	Fatty acid oxidation	51.1	0	10	0	H	betaoxidation	[x]	o2[x] + 4hexdtricoa[x]  -> h2o2[x] + hexdectecoa[x] 
FAOXC163x	Fatty acid oxidation	1962.1 or 10455.1	0	10	0	H	betaoxidation	[x]	3hexdtricoa[x]  -> 2hexdtricoa[x] 
FAOXC164C163x	Fatty acid oxidation	26063.1	0	10	0	H	betaoxidation	[x]	h[x] + nadph[x] + hexdectecoa[x]  -> nadp[x] + 3hexdtricoa[x] 
FAOXC184C163m	Fatty acid oxidation	3030.1 and 3032.1	0	10	0	H	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2octdectecoa[m]  -> h[m] + nadh[m] + accoa[m] + 4hexdtricoa[m] 
FAOXC184C163x	Fatty acid oxidation	1962.1 and 3295.1 and 30.1	0	10	0	H	betaoxidation	[x]	nad[x] + coa[x] + h2o[x] + 2octdectecoa[x]  -> h[x] + nadh[x] + accoa[x] + 4hexdtricoa[x] 
FAOXC184m	Fatty acid oxidation	1632.1	0	10	0	H	betaoxidation	[m]	3octdectecoa[m]  -> 2octdectecoa[m] 
FAOXC184x	Fatty acid oxidation	1962.1 or 10455.1	0	10	0	H	betaoxidation	[x]	3octdectecoa[x]  -> 2octdectecoa[x] 
FAOXC204C184m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	0	10	0	H	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + eitetcoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + 3octdectecoa[m] 
FAOXC204C205x	Fatty acid oxidation	51.1	0	10	0	H	betaoxidation	[x]	o2[x] + eitetcoa[x]  -> h2o2[x] + eipencoa[x] 
FAOXC205C184x	Fatty acid oxidation	1962.1 and 3295.1 and 30.1	0	10	0	H	betaoxidation	[x]	nad[x] + coa[x] + h2o[x] + eipencoa[x]  -> h[x] + nadh[x] + accoa[x] + 3octdectecoa[x] 
FAOXC2251836m	Fatty acid oxidation	34.1 or 35.1	0	10	0	H	betaoxidation	[m]	2 h2o[m] + 2 nad[m] + 2 coa[m] + dcsptn1coa[m]  -> 2 h[m] + 2 nadh[m] + 2 accoa[m] + lnlncgcoa[m] 
FAOXC2252053m	Fatty acid oxidation	35.1 or 34.1	0	10	0	H	betaoxidation	[m]	h2o[m] + o2[m] + nad[m] + coa[m] + dcsptn1coa[m]  -> h[m] + nadh[m] + accoa[m] + h2o2[m] + tmndnccoa[m] 
FAOXC225C204m	Fatty acid oxidation	3030.1 and 3032.1	0	10	0	H	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2docopencoa[m]  -> h[m] + nadh[m] + accoa[m] + eitetcoa[m] 
FAOXC225C204x	Fatty acid oxidation	1962.1 and 3295.1 and 30.1	0	10	0	H	betaoxidation	[x]	nad[x] + coa[x] + h2o[x] + 2docopencoa[x]  -> h[x] + nadh[x] + accoa[x] + eitetcoa[x] 
FAOXC225C226m	Fatty acid oxidation	37.1	0	10	0	H	betaoxidation	[m]	fad[m] + dcsptn1coa[m]  -> fadh2[m] + docohexcoa[m] 
FAOXC225C226x	Fatty acid oxidation	51.1	0	10	0	H	betaoxidation	[x]	o2[x] + dcsptn1coa[x]  -> h2o2[x] + docohexcoa[x] 
FAOXC225m	Fatty acid oxidation	1632.1	0	10	0	H	betaoxidation	[m]	3docopencoa[m]  -> 2docopencoa[m] 
FAOXC225x	Fatty acid oxidation	1962.1 or 10455.1	0	10	0	H	betaoxidation	[x]	3docopencoa[x]  -> 2docopencoa[x] 
FAOXC226C225m	Fatty acid oxidation	1666.1	0	10	0	H	betaoxidation	[m]	h[m] + nadph[m] + docohexcoa[m]  -> nadp[m] + 3docopencoa[m] 
FAOXC226C225x	Fatty acid oxidation	26063.1	0	10	0	H	betaoxidation	[x]	h[x] + nadph[x] + docohexcoa[x]  -> nadp[x] + 3docopencoa[x] 
FOAXC122C101x	Fatty acid oxidation	1962.1 and 3295.1 and 30.1	0	10	0	H	betaoxidation	[x]	nad[x] + coa[x] + h2o[x] + 2ddecdicoa[x]  -> h[x] + nadh[x] + accoa[x] + dece4coa[x] 
HMR_3422	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	0	10	0	H	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 5 fad[m] + dcsptn1coa[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 5 fadh2[m] 
HMR_7949	Transport, endoplasmic reticular		22.5	2000	0.01125	H	NA	intercompartmental	chsterols[c]  <=> chsterols[r] 
HMR_9634	Transport, endoplasmic reticular		0	200	0	H	NA	intercompartmental	ethamp[r]  <=> ethamp[c] 
PROSTGE2t2r	Transport, endoplasmic reticular		1000	2000	0.5	H	NA	intercompartmental	prostge2[r]  <=> prostge2[c] 
BILIRUBtr	Transport, endoplasmic reticular		2000	0	Inf	L	NA	intercompartmental	bilirub[c]  <=> bilirub[r] 
C161CPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	2000	418.333333333333	4.78087649402391	L	carnitine shuttle	[c]	crn[c] + hdcoa[c]  <=> coa[c] + hdcecrn[c] 
HMR_2865	Transport, endoplasmic reticular	6584.1	390.685279187818	18	21.7047377326565	L	NA	intercompartmental	crn[r] + tmndnccrn[c]  <=> crn[c] + tmndnccrn[r] 
HMR_2866	Transport, endoplasmic reticular	1384.1	390.685279187818	18	21.7047377326565	L	NA	[r]	crn[r] + tmndnccoa[r]  <=> coa[r] + tmndnccrn[r] 
HMR_3428	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	40	20	2	L	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 4 fad[m] + tmndnccoa[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 4 fadh2[m] 
