rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization	RxnFormula
ACACT4p	Fatty acid oxidation	30.1	42	25	1.68	L	betaoxidation	[x]	coa[x] + 3odcoa[x]  -> accoa[x] + occoa[x] 
FAOXC101x	Fatty acid oxidation	1962.1 or 10455.1	42	21.4285714285714	1.96	L	betaoxidation	[x]	dece3coa[x]  -> dc2coa[x] 
HMR_3322	Fatty acid oxidation	1666.1 or 26063.1	42	21.4285714285714	1.96	L	NA	[x]	h[x] + nadh[x] + dec24dicoa[x]  -> nad[x] + dece3coa[x] 
RE1518X	Fatty acid oxidation	51.1 or 8310.1	42	21.4285714285714	1.96	L	betaoxidation	[x]	fad[x] + CE0785[x]  -> fadh2[x] + CE2432[x] 
RE1520X	Fatty acid oxidation	1962.1	42	21.4285714285714	1.96	L	betaoxidation	[x]	h2o[x] + C05279[x]  <=> CE2420[x] 
RE1521X	Fatty acid oxidation	1962.1	42	21.4285714285714	1.96	L	betaoxidation	[x]	h2o[x] + CE2432[x]  <=> CE2417[x] 
RE1522X	Fatty acid oxidation	1962.1	42	21.4285714285714	1.96	L	betaoxidation	[x]	h2o[x] + CE2433[x]  <=> CE2418[x] 
RE1525X	Fatty acid oxidation	3295.1 or 1962.1	42	21.4285714285714	1.96	L	betaoxidation	[x]	nad[x] + CE2418[x]  <=> h[x] + nadh[x] + CE2422[x] 
RE1526X	Fatty acid oxidation	3295.1 or 1962.1	42	21.4285714285714	1.96	L	betaoxidation	[x]	nad[x] + CE2417[x]  <=> h[x] + nadh[x] + CE2424[x] 
RE1527X	Fatty acid oxidation	3295.1 or 1962.1	42	21.4285714285714	1.96	L	betaoxidation	[x]	nad[x] + CE2420[x]  <=> h[x] + nadh[x] + CE0693[x] 
RE1532X	Fatty acid oxidation	30.1	42	21.4285714285714	1.96	L	betaoxidation	[x]	coa[x] + CE2422[x]  <=> accoa[x] + CE0785[x] 
RE1533X	Fatty acid oxidation	30.1	42	21.4285714285714	1.96	L	betaoxidation	[x]	coa[x] + CE2424[x]  <=> accoa[x] + C05280[x] 
RE1534X	Fatty acid oxidation	30.1	42	21.4285714285714	1.96	L	betaoxidation	[x]	coa[x] + CE0693[x]  <=> accoa[x] + dece4coa[x] 
RE1573X	Fatty acid oxidation	10455.1 or 1962.1	42	21.4285714285714	1.96	L	betaoxidation	[x]	C05280[x]  <=> C05279[x] 
r0444	Fatty acid oxidation	1374.1 and 1376.1	0	238.020833333334	0	H	carnitine shuttle	[r]	crn[r] + hdcoa[r]  -> coa[r] + hdcecrn[r] 
r0660	Fatty acid oxidation	3030.1 and 1962.1 and 1892.1	764.394573643411	337.269162210339	2.26642296210495	L	betaoxidation	[m]	3hddcoa[m]  <=> h2o[m] + dd2coa[m] 
r0727	Fatty acid oxidation	3030.1 and 1962.1 and 3033.1	42	25	1.68	L	betaoxidation	[x]	nad[x] + 3hdcoa[x]  -> h[x] + nadh[x] + 3odcoa[x] 
r0729	Fatty acid oxidation	3030.1 and 1962.1 and 1892.1	42	25	1.68	L	betaoxidation	[x]	h2o[x] + dc2coa[x]  -> 3hdcoa[x] 
r0791	Fatty acid oxidation	55825.1 or 51102.1 	20	39.382160171898	0.507844158692733	H	fatty acid synthesis & elongation	[m]	h[m] + nadph[m] + hx2coa[m]  <=> nadp[m] + hxcoa[m] 
r1262	Fatty acid oxidation	2182.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	338.5	37.5	9.02666666666667	L	NA	[r]	arachd[r] + atp[r] + coa[r]  -> amp[r] + ppi[r] + arachdcoa[r] 
r1487	Fatty acid oxidation	2182.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	0	238.020833333334	0	H	NA	[r]	atp[r] + coa[r] + hdcea[r]  -> amp[r] + ppi[r] + hdcoa[r] 
ACCOAC	Fatty acid oxidation	31.5 or 31.4 or (31.2 and 32.1) or (31.4 and 32.1) or 31.2 or (32.1 and 31.3) or (31.1 and 32.1) or 31.1 or (31.5 and 32.1) or 31.3	419.303370786517	242.236559139785	1.73096650759704	L	fatty acid synthesis & elongation	[c]	atp[c] + hco3[c] + accoa[c]  -> h[c] + adp[c] + pi[c] + malcoa[c] 
HMR_2774	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	0	30.1110155398819	0	H	NA	[c]	crn[c] + CE4847[c]  <=> coa[c] + M00263[c] 
HMR_3229	Fatty acid oxidation	3030.1 or 3032.1 or 10449.1	30	40	0.75	H	NA	[m]	coa[m] + HC10858[m]  -> accoa[m] + M01191[m] 
HMR_3230	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	30	40	0.75	H	NA	[m]	fad[m] + M01191[m]  -> fadh2[m] + M03019[m] 
HMR_3231	Fatty acid oxidation	3030.1 or 1892.1	30	40	0.75	H	NA	[m]	h2o[m] + M03019[m]  -> M00172[m] 
HMR_3232	Fatty acid oxidation	3028.1 or 3030.1 or 3033.1	30	40	0.75	H	NA	[m]	nad[m] + M00172[m]  -> h[m] + nadh[m] + M00849[m] 
HMR_3233	Fatty acid oxidation	3030.1 or 3032.1 or 10449.1	30	40	0.75	H	NA	[m]	coa[m] + M00849[m]  -> accoa[m] + M01141[m] 
HMR_3425	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	0	30.1110155398819	0	H	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 7 fad[m] + CE4847[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 7 fadh2[m] 
r1472	Fatty acid oxidation	33.1	30	40	0.75	H	betaoxidation	[m]	fad[m] + odecoa[m]  -> fadh2[m] + HC10856[m] 
r1474	Fatty acid oxidation	3030.1 and 1962.1 and 1892.1	30	40	0.75	H	betaoxidation	[m]	h2o[m] + HC10856[m]  -> HC10857[m] 
r1477	Fatty acid oxidation	(3028.1 and 1962.1 and 3295.1) or (3033.1 and 1962.1 and 3295.1)	30	40	0.75	H	betaoxidation	[m]	nad[m] + HC10857[m]  -> h[m] + nadh[m] + HC10858[m] 
FAOXC102C103m	Fatty acid oxidation	34.1	20	39.3821601718981	0.507844158692732	H	betaoxidation	[m]	fad[m] + dec47dicoa[m]  -> fadh2[m] + dectricoa[m] 
FAOXC102C81m	Fatty acid oxidation	1892.1 and 3033.1 and 10449.1	20	39.3821601718981	0.507844158692732	H	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2decdicoa[m]  -> h[m] + nadh[m] + accoa[m] + octe5coa[m] 
FAOXC102m	Fatty acid oxidation	1632.1	20	39.3821601718981	0.507844158692732	H	betaoxidation	[m]	3decdicoa[m]  -> 2decdicoa[m] 
FAOXC103C102m	Fatty acid oxidation	1666.1	20	39.3821601718981	0.507844158692732	H	betaoxidation	[m]	h[m] + nadph[m] + dectricoa[m]  -> nadp[m] + 3decdicoa[m] 
FAOXC123C102m	Fatty acid oxidation	1892.1 and 3033.1 and 10449.1	20	39.3821601718981	0.507844158692732	H	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2dodtricoa[m]  -> h[m] + nadh[m] + accoa[m] + dec47dicoa[m] 
FAOXC123m	Fatty acid oxidation	1632.1	20	39.3821601718981	0.507844158692732	H	betaoxidation	[m]	3dodtricoa[m]  -> 2dodtricoa[m] 
FAOXC143C123m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	20	39.3821601718981	0.507844158692732	H	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + 5tedtricoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + 3dodtricoa[m] 
FAOXC164C143m	Fatty acid oxidation	3030.1 and 3032.1	20	37.1820370790278	0.537894143817119	H	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2hexdtetcoa[m]  -> h[m] + nadh[m] + accoa[m] + 5tedtricoa[m] 
FAOXC164C165m	Fatty acid oxidation	37.1	20	37.1820370790278	0.537894143817119	H	betaoxidation	[m]	fad[m] + 4hexdtetcoa[m]  -> fadh2[m] + hexdpencoa[m] 
FAOXC164m	Fatty acid oxidation	1632.1	20	37.1820370790278	0.537894143817119	H	betaoxidation	[m]	3hexdtetcoa[m]  -> 2hexdtetcoa[m] 
FAOXC165C164m	Fatty acid oxidation	1666.1	20	37.1820370790278	0.537894143817119	H	betaoxidation	[m]	h[m] + nadph[m] + hexdpencoa[m]  -> nadp[m] + 3hexdtetcoa[m] 
FAOXC61m	Fatty acid oxidation	1632.1	20	39.3821601718981	0.507844158692732	H	betaoxidation	[m]	hexe3coa[m]  -> hx2coa[m] 
FAOXC81C61m	Fatty acid oxidation	34.1 and 1892.1 and 3033.1 and 10449.1	20	39.3821601718981	0.507844158692732	H	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + octe5coa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + hexe3coa[m] 
LGTHL	Pyruvate metabolism	2739.1	1000	242.948717948718	4.11609498680738	L	NA	[c]	mthgxl[c] + gthrd[c]  -> lgt_S[c] 
r0652	Fatty acid oxidation	55825.1 or 51102.1 	499.285140562249	327.189189189189	1.52598300023156	L	fatty acid synthesis & elongation	[m]	nadp[m] + tdcoa[m]  <=> h[m] + nadph[m] + HC01412[m] 
HMR_2608	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	2000	65	30.7692307692308	L	NA	[c]	coa[c] + M02973[c]  <=> crn[c] + tdcoa[c] 
HMR_3070	Fatty acid oxidation	8310.1 or 51.1	0	90	0	H	NA	[x]	o2[x] + arachcoa[x]  -> h2o2[x] + CE2243[x] 
HMR_3071	Fatty acid oxidation	1962.1	0	90	0	H	NA	[x]	h2o[x] + CE2243[x]  -> CE2247[x] 
HMR_3072	Fatty acid oxidation	1962.1 or 3295.1	0	90	0	H	NA	[x]	nad[x] + CE2247[x]  -> h[x] + nadh[x] + CE2251[x] 
HMR_3073	Fatty acid oxidation	30.1 or 4645.1	0	90	0	H	NA	[x]	coa[x] + CE2251[x]  -> accoa[x] + stcoa[x] 
HMR_3121	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	463.045045045045	287.274952919021	1.6118531752943	L	NA	[m]	fad[m] + pmtcoa[m]  -> fadh2[m] + hdd2coa[m] 
HMR_3128	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	463.045045045045	287.274952919021	1.6118531752943	L	NA	[m]	fad[m] + tdcoa[m]  -> fadh2[m] + HC01412[m] 
