rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization	RxnFormula
ARGTYRVALr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + argtyrval[c]  <=> arg_L[c] + tyr_L[c] + val_L[c] 
ARGVALCYSr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + argvalcys[c]  <=> cys_L[c] + arg_L[c] + val_L[c] 
ARGVALTRPr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + argvaltrp[c]  <=> arg_L[c] + trp_L[c] + val_L[c] 
ASPVALASNr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + aspvalasn[c]  <=> asp_L[c] + asn_L[c] + val_L[c] 
GLYVALHISr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + glyvalhis[c]  <=> gly[c] + his_L[c] + val_L[c] 
HISLYSVALr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + hislysval[c]  <=> lys_L[c] + his_L[c] + val_L[c] 
LEUVALr	Peptide metabolism		20	10	2	L	NA	[c]	h2o[c] + leuval[c]  <=> leu_L[c] + val_L[c] 
LYSVALPHEr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + lysvalphe[c]  <=> lys_L[c] + phe_L[c] + val_L[c] 
LYSVALTRPr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + lysvaltrp[c]  <=> lys_L[c] + trp_L[c] + val_L[c] 
PROCYSr	Peptide metabolism		20	40	0.5	H	NA	[c]	h2o[c] + procys[c]  <=> cys_L[c] + pro_L[c] 
PROVALGLNr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + provalgln[c]  <=> gln_L[c] + pro_L[c] + val_L[c] 
SPODM	ROS detoxification	6647.1	0	0.0837520938023451	0	H	superoxide dismutase, cytosol	[c]	2 h[c] + 2 o2s[c]  -> o2[c] + h2o2[c] 
SPODMm	ROS detoxification	6648.1	0	0.0837520938023451	0	H	NA	[m]	2 h[m] + 2 o2s[m]  -> o2[m] + h2o2[m] 
SPODMn	ROS detoxification	6647.1	0	0.0837520938023451	0	H	NA	[n]	2 h[n] + 2 o2s[n]  -> h2o2[n] + o2[n] 
SPODMx	ROS detoxification	6647.1	0	0.0837520938023451	0	H	NA	[x]	2 h[x] + 2 o2s[x]  -> o2[x] + h2o2[x] 
TRPGLYVALr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + trpglyval[c]  <=> gly[c] + trp_L[c] + val_L[c] 
TRPLEUVALr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + trpleuval[c]  <=> leu_L[c] + trp_L[c] + val_L[c] 
TRPMETVALr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + trpmetval[c]  <=> met_L[c] + trp_L[c] + val_L[c] 
TRPPROVALr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + trpproval[c]  <=> trp_L[c] + pro_L[c] + val_L[c] 
TRPVALASPr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + trpvalasp[c]  <=> asp_L[c] + trp_L[c] + val_L[c] 
TYRVALMETr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + tyrvalmet[c]  <=> met_L[c] + tyr_L[c] + val_L[c] 
VALARGGLYr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + valarggly[c]  <=> gly[c] + arg_L[c] + val_L[c] 
VALHISASNr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + valhisasn[c]  <=> asn_L[c] + his_L[c] + val_L[c] 
VALLEUPHEr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + valleuphe[c]  <=> leu_L[c] + phe_L[c] + val_L[c] 
VALLYSTYRr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + vallystyr[c]  <=> lys_L[c] + tyr_L[c] + val_L[c] 
VALPHEARGr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + valphearg[c]  <=> arg_L[c] + phe_L[c] + val_L[c] 
VALPROTRPr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + valprotrp[c]  <=> trp_L[c] + pro_L[c] + val_L[c] 
VALSERARGr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + valserarg[c]  <=> ser_L[c] + arg_L[c] + val_L[c] 
VALTRPPHEr	Peptide metabolism		20	10	2	L	NA	[c]	2 h2o[c] + valtrpphe[c]  <=> trp_L[c] + phe_L[c] + val_L[c] 
VALTRPVALr	Peptide metabolism		10	5	2	L	NA	[c]	2 h2o[c] + valtrpval[c]  <=> trp_L[c] + 2 val_L[c] 
VALVALr	Peptide metabolism		10	5	2	L	NA	[c]	h2o[c] + valval[c]  <=> 2 val_L[c] 
