del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.078004480862305	0.00243677836514097	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.078004480862305	0.00243677836514097	Transport, lysosomal		NA	intercompartmental
10FTHFtm	-0.00065761481622757	-0.257224306486706	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.131781245472948	0.00286880656475537	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	0.11697822678295	0.00278744141179666	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.0122657339675764	-0.0906878029692667	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.0118659719813126	-0.00802621121294243	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.121597054378015	0.00281307138449241	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.0277118917360881	0.000594110948680684	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.13176195979191	0.0028693145447723	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.13176195979191	0.0028693145447723	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.0543817982434456	0.00247135353032123	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.131761959794276	0.00286931454442926	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.0157981590174082	-0.294061939350793	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.0153785331944758	-0.311250546518857	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.13176195979191	0.0028693145447723	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.0468025398631463	0.00201878261217952	Ubiquinone synthesis		NA	[m]
3AIBTm	0.0329524119318884	0.00111879754534755	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	0.0329524119318884	0.00111879754534755	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
3DSPHR	0.125913612512917	0.00283323702905163	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.13176195979101	0.00286931454442529	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.0999494828317292	0.00268104601116122	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOX4HOXPGALDOX	0.0153474270901004	-0.239129300329196	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	0.0153474270901004	-0.239129300329196	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	0.0141778331929672	-0.107921230404513	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	0.131761759791062	0.00286951719307156	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	0.131761027906525	0.00286931051164595	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	0.131761759791062	0.00286951719307156	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	0.131761027906525	0.00286931051164595	Methionine and cysteine metabolism		NA	[m]
4ABUTtm	0.0538017538729868	0.00278696177398623	Transport, mitochondrial		NA	intercompartmental
4HGLSDm	0.00685424435783791	-0.294231412377056	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
4HOXPACDOX_NADP_	0.016682974339114	-0.0456770212926808	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	NA	[c]
4MOPt2im	0.0102469873401388	-0.0613282423869878	Transport, mitochondrial		NA	intercompartmental
5ADTSTSTERONESte	0.131761959792239	0.00286931454473772	Transport, extracellular		NA	intercompartmental
5ADTSTSTERONEte	0.131761959792239	0.00286931454473772	Transport, extracellular		NA	intercompartmental
5MTHFt	0.157134807232017	0.931747926167799	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental
5MTHFt2	0.157134807232017	0.931747926167799	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
5THFtm	0.0494482605451726	0.00192983782282449	Transport, mitochondrial		NA	intercompartmental
7DHCHSTEROLtr	0.0136666812949444	-0.00270512945559712	Transport, endoplasmic reticular		NA	intercompartmental
7DHFtl	0.0808507413884628	0.00247236457686858	Transport, lysosomal		NA	intercompartmental
7THFtl	0.0858290382728066	0.00255673426050607	Transport, lysosomal		NA	intercompartmental
A_MANASEly	0.131761959790272	0.00286931454475789	N-glycan degradation	4125.1	NA	[l]
A4GALTg	0.131761959792157	0.0028693145447713	Sphingolipid metabolism	53947.1	NA	[g]
AACTtm	0.026238755021931	0.001686249116611	Transport, mitochondrial		NA	intercompartmental
AATAi	0.0820450109138882	0.00251264989184203	Lysine metabolism	51166.1 or 51166.2	NA	[c]
ABTArm	0.0538017538729868	0.00278696177398623	Glutamate metabolism	18.1 or 18.2	GABA aminotransferase	[m]
ABTD	0.131761959792239	0.00286931454473772	Pentose phosphate pathway		NA	[c]
ABUTt2rL	0.0948956671678722	0.00341260234941025	Transport, lysosomal	206358.1	NA	intercompartmental
ABUTt4_2_r	0.304309883998725	4.69775158705481	Transport, extracellular	6529.1 or 6538.1 or 6540.1 or 6539.1	NA	intercompartmental
ACACT10m	0.0943117972018137	0.00261981033521154	Valine, leucine, and isoleucine metabolism	38.1 or 3032.1 or 10449.1	isoleucine metabolism	[m]
