del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.0741611368809085	0.00676907193702304	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.0741611368809085	0.00676907193702304	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.0585435255560664	1.35728302422145	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.0881518705469226	0.00412090021158171	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	0.095148993702558	0.00416601049824602	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.231432703327095	4.83896845741017	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.0194313433583815	-0.163628252032457	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2MCITt	0.0780518690826507	0.00392292435502944	Transport, extracellular		NA	intercompartmental
2OXOADOXm	0.0872154060792278	0.0040057074053063	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.0618342274951244	0.00888363893381833	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.0951489936947517	0.00416601049819028	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.0951489936947517	0.00416601049819028	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.092825558911384	0.00413334071861436	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.0951489936941094	0.00416601049819406	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.051003188291803	0.616099086171698	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.050531380096221	0.610788663790556	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.0951489936947517	0.00416601049819028	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.0992447841819361	0.0163100522929282	Ubiquinone synthesis		NA	[m]
3AIBTm	0.0932966515549387	0.00412496318235505	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	0.0932966515549387	0.00412496318235505	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
3DSPHR	-0.00633033371066773	-0.0108817245816261	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.0951489936945165	0.00416601049819081	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.0715256796977049	0.00645230505101841	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOX4HOXPGALDOX	0.0951489936947517	0.00416601049819028	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	0.0569708745082259	0.0277115389582913	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	0.0947330303117228	0.00415930277482042	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	0.0951170032469063	0.00416417144210751	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	0.0947330303117228	0.00415930277482042	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	0.0951170032469063	0.00416417144210751	Methionine and cysteine metabolism		NA	[m]
4ABUTtm	0.0921902677856919	0.192231734336726	Transport, mitochondrial		NA	intercompartmental
4HGLSDm	0.329465356082534	1.13199590216862	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
