del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF6GLUtm	0.0442217271196472	0.00218271710132285	Transport, mitochondrial		NA	intercompartmental
10FTHF7GLUtl	0.0442217271196472	0.00218271710132285	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.0442217271196472	0.00218271710132285	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.0540500214055885	2.52988629091178	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.0988095194219869	0.00252644711927856	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	0.0591851811628362	0.00197278024892053	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.0313609264034287	0.182968255076192	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.00402682070001427	-0.383017811287423	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2MCITt	0.0253083713980115	0.000891492086541212	Transport, extracellular		NA	intercompartmental
2OXOADOXm	0.0988095194073865	0.00252644711882128	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.0988095194095968	0.00252644711888495	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHPHAMT	0.0426673920214218	0.00177348893454085	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.0988095194334787	0.00252644711987957	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.0138848936646547	-0.0512343355461397	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.0128516557979265	-0.0596046284886048	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX	0.0138951757941004	-0.0566413289282311	Tyrosine metabolism	221.1 or 218.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHXMANDACOX_NADP_	0.0138951757941004	-0.0566413289282311	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	-0.00446601330348013	-0.00347437150279561	Ubiquinone synthesis		NA	[m]
35CGMPtn	0.0605439616646073	0.00207063210724122	Transport, nuclear		NA	intercompartmental
3AIBTm	0.0460908061554854	0.00174008797656808	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	0.0460908061554854	0.00174008797656808	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
3DSPHR	0.0986017221165712	0.00252365841793598	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.0988095193586106	0.00252644711451379	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.0897719091229757	0.00305688574804752	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3M4HDXPAC	0.0988095193958101	0.00252644711880486	Tyrosine metabolism	218.1 or 221.1 or 222.1 or 220.1	NA	[c]
3MOBt2im	0.0200557917831266	-0.00553541362802371	Transport, mitochondrial		NA	intercompartmental
3MOPt2im	0.0177339885631465	-0.0243375203956967	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	0.0127791913270574	-0.186543145648763	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	0.0127791913270574	-0.186543145648763	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOXTYROX	0.0988095193958101	0.00252644711880486	Tyrosine metabolism	4128.1 or 4129.1	NA	[c]
3SALAASPm	0.0132225445560817	-0.042963729023923	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	0.0988095193912366	0.00252644712069073	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	0.0988095196834139	0.00252644713411401	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	0.0988095193912366	0.00252644712069073	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	0.0988095196834139	0.00252644713411401	Methionine and cysteine metabolism		NA	[m]
4ABUTtm	0.049735547240701	0.0568090721644252	Transport, mitochondrial		NA	intercompartmental
4HGLSDm	0.332611167761924	3.27514073463883	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
