del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.4140499364689	3.15954465844807	Transport, lysosomal		NA	intercompartmental
10FTHF7GLUtm	0.4140499364689	3.15954465844807	Transport, mitochondrial		NA	intercompartmental
10FTHFtl	0.4140499364689	3.15954465844807	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.0822103981452166	2.19851974810207	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.415366851254025	3.16015983780017	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2DR1PP	0.415227758057644	3.16051317928332	Pyrimidine catabolism		pyrimidine catabolism, cytosol	[c]
2HBO	0.414312718173496	3.15866553103014	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.413547034106242	3.22085548132227	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.395650206948357	3.24054383888987	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.414857629496657	3.15936441250868	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.410671174795881	3.15947445337993	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.415366851254023	3.16015983780018	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.415366851254023	3.16015983780018	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.415366851254013	3.16015983780013	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.415366851254008	3.16015983780026	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.115692952043051	2.59279320675866	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.115692952043051	2.59279320675866	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.415366851254023	3.16015983780018	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.413871007442732	3.16210978919229	Ubiquinone synthesis		NA	[m]
3AIBTm	0.414272129397813	3.16035110278717	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	0.414272129397813	3.16035110278717	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
3DSPHR	0.415401041745081	3.16015921619588	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.415366851254021	3.16015983780026	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.41413017087043	3.17044337114812	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOBt2im	0.393140958638784	3.14185075517689	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	0.14229430076054	2.75752804711131	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	0.14229430076054	2.75752804711131	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	0.406826730312027	3.15297292344894	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	0.415366851254054	3.16015983780018	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	0.415581618480836	3.16043444413718	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	0.415366851254054	3.16015983780018	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	0.415581618480836	3.16043444413718	Methionine and cysteine metabolism		NA	[m]
4ABUTtm	0.412095742242816	3.1678000184002	Transport, mitochondrial		NA	intercompartmental
4HGLSDm	0.115357502707604	2.36400889553153	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
4HOXPACDOX_NADP_	0.149215962135907	2.78951370652472	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	NA	[c]
4MOPt2im	0.384495646523871	3.13232891993993	Transport, mitochondrial		NA	intercompartmental
5ADTSTSTERONESte	0.41536685125359	3.16015983780042	Transport, extracellular		NA	intercompartmental
5ADTSTSTERONEte	0.41536685125359	3.16015983780042	Transport, extracellular		NA	intercompartmental
5AOPtm	0.411489738038844	3.15090309118216	Heme synthesis		NA	intercompartmental
5MTHFt	0.356207079777559	2.68084718588657	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental
5MTHFt2	0.0350194985600995	0.0786733537831372	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
7DHCHSTEROLtr	0.386558671167507	3.14600372045221	Transport, endoplasmic reticular		NA	intercompartmental
7DHFtl	0.414363362957354	3.15978908362756	Transport, lysosomal		NA	intercompartmental
