del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.106013422254173	0.00410142197645346	Transport, lysosomal		NA	intercompartmental
10FTHF7GLUtm	0.106013422254173	0.00410142197645346	Transport, mitochondrial		NA	intercompartmental
10FTHFtl	0.106013422254173	0.00410142197645346	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.040005964705616	-0.191763494520012	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.118950932056972	0.00447897743937696	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2DR1PP	0.114371874037711	0.00437621562964229	Pyrimidine catabolism		pyrimidine catabolism, cytosol	[c]
2HBO	0.0842719246796828	0.00822981424592772	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.00273366144277139	-0.29764549162391	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	-0.182011664346735	-0.897578358334832	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.111550352143518	0.0042955392994794	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.0410725619380689	-0.00180166575404449	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.118950932048901	0.00447897743913329	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.118950932048901	0.00447897743913329	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.118950932048944	0.00447897743913443	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.118950932048993	0.00447897743914686	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	-0.00208867388736033	-0.206477460243579	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	-0.00208867388736033	-0.206477460243579	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.118950932048901	0.00447897743913329	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.0840974338220622	0.00311044808609557	Ubiquinone synthesis		NA	[m]
3AIBTm	0.0740566881927482	0.0025764364686083	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	0.0740566881927482	0.0025764364686083	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
3DSPHR	0.118950932049435	0.00447897743916047	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.118950932048616	0.00447897743911335	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.130245785732472	0.00682364039917546	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOBt2im	0.0283785486330651	-0.00705560296130228	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	-0.00909361606838621	-0.409209274748655	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	-0.00909361606838621	-0.409209274748655	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	0.0289498172411106	-0.00501804978998684	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
