del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	59.3728482389155	2.0129359252428	Transport, lysosomal		NA	intercompartmental
10FTHF7GLUtm	59.3728482389155	2.0129359252428	Transport, mitochondrial		NA	intercompartmental
10FTHFtl	59.3728482389155	2.0129359252428	Transport, lysosomal		NA	intercompartmental
10FTHFtm	-0.0771417108736072	-2.04591125343189	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	0.351848063091092	0.00556829404234128	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2DR1PP	53.3670573791713	1.51088525115205	Pyrimidine catabolism		pyrimidine catabolism, cytosol	[c]
2HBO	16.5031021537373	1.51148435593545	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.0344917329090354	-0.338297372070241	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.6091799467034	1.70979031685003	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	62.1256369139474	1.51076121027396	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	17.2938914185343	2.00763099228312	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	68.8395163530186	1.51160422046675	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	68.8395163530186	1.51160422046675	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.338857736180877	0.00528265236310078	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	91.6665686780708	2.01356846354694	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	2.10185362653724	6.91005420305612	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	2.10185362653724	6.91005420305612	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	68.8395163530186	1.51160422046675	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	41.277700888136	1.51044994063367	Ubiquinone synthesis		NA	[m]
3AIBTm	37.2068170493965	1.50883778991577	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	37.2068170493965	1.50883778991577	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
3DSPHR	0.352094619312825	0.00559222982696415	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.337620937775808	0.00525544199280814	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	57.9882041234173	1.50710026292442	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOBt2im	6.26143547293619	1.48780775862582	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	0.375452382196183	1.12398602979974	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	0.375452382196183	1.12398602979974	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	0.117193292389793	0.00214235689933042	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	68.8286337361072	1.51159103801813	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	68.7907020954453	1.5113208970229	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	68.8286337361072	1.51159103801813	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	68.7907020954453	1.5113208970229	Methionine and cysteine metabolism		NA	[m]
4ABUTtm	3.48215001751006	1.92280809938504	Transport, mitochondrial		NA	intercompartmental
4HGLSDm	0.526727165782046	1.00788811105748	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
4HOXPACDOX_NADP_	1.854783725195	8.27600861462367	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	NA	[c]
