del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	103.312193472583	5.03565608583582	Transport, lysosomal		NA	intercompartmental
10FTHF7GLUtm	103.312193472583	5.03565608583582	Transport, mitochondrial		NA	intercompartmental
10FTHFtl	103.312193472583	5.03565608583582	Transport, lysosomal		NA	intercompartmental
10FTHFtm	2.35404033646321	6.17362637206896	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	60.6480261529142	2.69029536633848	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	69.847534384067	9.56304665172485	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	NaN	NaN	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.933808154127407	1.50744663003892	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	77.3187267478028	3.4502019464881	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	80.175856474563	5.03885008062406	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	60.6487858813421	2.69032891616553	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	60.6487858813421	2.69032891616553	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	101.040196336786	4.50754368814972	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	4.33008008377007	5.86311906431429	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX_NADP_	24.0511621889231	1.09831955896328	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	60.4978862024027	2.6836178886609	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	195.822588925241	9.57887896449187	Ubiquinone synthesis		NA	[m]
35CGMPtn	99.9889088283053	4.59294710982643	Transport, nuclear		NA	intercompartmental
3AIBTm	106.613943883251	6.17202217485609	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	106.613943883251	6.17202217485609	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
