del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	136.153200148006	7.14604086714612	Transport, lysosomal		NA	intercompartmental
10FTHF7GLUtm	136.153200148006	7.14604086714612	Transport, mitochondrial		NA	intercompartmental
10FTHFtl	136.153200148006	7.14604086714612	Transport, lysosomal		NA	intercompartmental
10FTHFtm	1.45295846856037	7.52662285132168	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	141.272473697951	6.30788895666591	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	63.636265039378	6.13328968349561	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	4.86210176915555	6.90487814477733	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	5.54616153984353	6.01999262391069	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	135.444768632187	6.13534796895926	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	107.052439625621	6.25615806419555	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	159.278215431273	7.11274252841243	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	159.278215431273	7.11274252841243	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	91.3250162028863	4.12234865746773	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	6.05765384975982	4.53097930078181	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX_NADP_	144.84152575738	6.72080842187609	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	159.2799543331	7.11282025660526	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	130.791492720653	7.06265771908442	Ubiquinone synthesis		NA	[m]
35CGMPtn	158.691743246466	7.64326792270395	Transport, nuclear		NA	intercompartmental
3AIBTm	131.079685932131	7.72649740949522	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	131.079685932131	7.72649740949522	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
3DSPHR	125.429997096213	6.84390407113819	Sphingolipid metabolism	2531.1	new to recon	[c]
