del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.13739702297834	0.00506682264625123	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.13739702297834	0.00506682264625123	Transport, lysosomal		NA	intercompartmental
13DAMPPOX	0.172989428813955	0.00523510206027661	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2AMACHYD	0.172989428781607	0.00523510205948344	Glycine, serine, alanine, and threonine metabolism	10993.1	glycine metabolism	[c]
2DR1PP	0.1731109960252	0.00523581293830365	Pyrimidine catabolism		pyrimidine catabolism, cytosol	[c]
2HBO	0.0566523617245174	0.00482059872172363	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.0308779041010619	0.0935103124264025	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	0.00560444426032623	-0.184958646690064	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2MCITt	0.0823361301081356	0.00440204225247084	Transport, extracellular		NA	intercompartmental
2OXOADOXm	0.172989428738437	0.0052351020592348	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.172989428779023	0.00523510205947391	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.172989428778034	0.00523510205946839	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.172989428778034	0.00523510205946839	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.172989428775628	0.00523510205944522	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.172989428781607	0.00523510205948344	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.00573341924123058	-0.655560206170509	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.00573341924123058	-0.655560206170509	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.172989428778034	0.00523510205946839	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.0884951740842716	0.0106091681490561	Ubiquinone synthesis		NA	[m]
3DSPHR	0.0183302951410373	-0.00473590445758582	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.172989428781832	0.00523510205949737	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.172989428756119	0.00523510205920107	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOBt2im	0.058565401299842	0.00415384304630442	Transport, mitochondrial		NA	intercompartmental
3MOPt2im	0.0460040190155364	0.00309550168033205	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	0.00624894799946337	-0.198991444320469	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	0.00624894799946337	-0.198991444320469	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	0.0515492292428225	0.00349670188646275	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	0.150155888474834	0.00513598013933877	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	0.171302335638268	0.00522702252305739	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	0.150155888474834	0.00513598013933877	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	0.171302335638268	0.00522702252305739	Methionine and cysteine metabolism		NA	[m]
4HGLSDm	-0.331114582039035	-3.26329060756464	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
4HOXPACDOX_NADP_	0.00727007534793095	-0.361006372967654	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	NA	[c]
5ADTSTSTERONESte	0.172989428781607	0.00523510205948344	Transport, extracellular		NA	intercompartmental
5ADTSTSTERONEte	0.172989428781607	0.00523510205948344	Transport, extracellular		NA	intercompartmental
5AOPtm	0.0500815940813026	0.00515839688697649	Heme synthesis		NA	intercompartmental
5MTHFt	-0.00415747907640922	-0.82538178142075	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental
5MTHFt2	0.00137168582024611	-0.606059618889614	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
7DHCHSTEROLtr	-0.00885593134692926	-0.0301057837952006	Transport, endoplasmic reticular		NA	intercompartmental
7DHFtl	0.122174753583489	0.00496378538760216	Transport, lysosomal		NA	intercompartmental
7THFtl	0.136254528007547	0.00498511971972156	Transport, lysosomal		NA	intercompartmental
7THFtm	0.0478901903256827	0.00285529522600772	Transport, mitochondrial		NA	intercompartmental
A_MANASEly	0.172989428774069	0.00523510205942531	N-glycan degradation	4125.1	NA	[l]
A4GALTg	0.172989428786698	0.00523510205954284	Sphingolipid metabolism	53947.1	NA	[g]
AATAi	0.172989428781607	0.00523510205948344	Lysine metabolism	51166.1 or 51166.2	NA	[c]
ABTD	0.172989428781607	0.00523510205948344	Pentose phosphate pathway		NA	[c]
ABUTt2rL	0.0576696163489141	0.0136256525019139	Transport, lysosomal	206358.1	NA	intercompartmental
ABUTt4_2_r	0.27544135819859	1.15453444073574	Transport, extracellular	6529.1 or 6538.1 or 6540.1 or 6539.1	NA	intercompartmental
ACACT10m	0.0117922845003006	-0.00278335198137024	Valine, leucine, and isoleucine metabolism	38.1 or 3032.1 or 10449.1	isoleucine metabolism	[m]
ACACT1rm	-0.00504478527975341	-0.306403293619488	Tryptophan metabolism	(3030.1 and 3032.1) or 38.1	NA	[m]
ACACT1x	0.135216357966419	0.00530394002335243	Cholesterol metabolism	39.1	NA	[x]
ACACt2m	-0.0138805287369949	-0.184506371523783	Transport, mitochondrial	6566.1	NA	intercompartmental
ACACT4p	0.169900509211081	0.00510981733042933	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT5p	0.173085846336619	0.00523707080196261	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT6p	0.173085846333224	0.00523707080195639	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT7p	0.173085846333224	0.00523707080195639	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT8p	0.00216699795930878	-0.00449202110350149	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT9p	0.172989428779298	0.00523510205947328	Fatty acid oxidation	30.1	betaoxidation	[x]
ACALDtm	0.0922859484082875	0.00433388359133218	Transport, mitochondrial		NA	intercompartmental
ACCOACm	-0.0174038139808618	-0.24392008357471	Fatty acid oxidation	32.1	fatty acid synthesis & elongation	[m]
ACCOAtn	0.000761658132013198	-0.15746792856	Transport, nuclear		NA	intercompartmental
ACCOAtr	0.005970283893453	-0.497847720619407	Transport, endoplasmic reticular	9197.1	NA	intercompartmental
ACETONEt2	0.049771816125689	0.00399000133994591	Transport, extracellular	6566.1 or 9123.1 or 9194.1	NA	intercompartmental
ACETONEt2m	0.049771816125689	0.00399000133994591	Transport, mitochondrial	6566.1	NA	intercompartmental
ACGALtly	0.172989428781605	0.00523510205948517	Transport, lysosomal		NA	intercompartmental
ACGAM6PSi	0.172989428781607	0.00523510205948344	Aminosugar metabolism	64841.1	amino sugar metabolism	[c]
ACGAMPM	0.172989428781607	0.00523510205948344	Aminosugar metabolism	5238.1	amino sugar metabolism	[c]
ACGAMtly	0.0002823725997467	-0.439032752661216	Transport, lysosomal		NA	intercompartmental
ACGPID	0.172989428781147	0.00523510205946998	Phosphatidylinositol phosphate metabolism	9487.1	NA	[c]
ACHtn	0.000761658132013198	-0.15746792856	Transport, nuclear		NA	intercompartmental
ACN13ACNGALGBSIDEte	0.172989428786698	0.00523510205954284	Transport, extracellular		NA	intercompartmental
ACN13ACNGALGBSIDEtg	0.172989428786698	0.00523510205954284	Transport, golgi apparatus		NA	intercompartmental
ACNAMlt	0.172989428777246	0.00523510205943638	Transport, lysosomal	26503.1	NA	intercompartmental
ACNAMtn	0.0719868617292995	0.00431798391320224	Transport, nuclear		NA	intercompartmental
ACNMLr	0.172989428686149	0.0052351020593863	Aminosugar metabolism		NA	[c]
ACOAD10m	0.0117922845002091	-0.0027833519813976	Valine, leucine, and isoleucine metabolism	36.1 or 34.1	isoleucine metabolism	[m]
ACOAD1fm	0.0385791418328222	0.002432266535046	Butanoate metabolism	80724.1 or 36.1 or 35.1 or 34.1 or 84129.1 or 27034.1 or 28976.1	NA	[m]
ACOAD8m	0.172989428761403	0.00523510205937387	Valine, leucine, and isoleucine metabolism	3712.1	leucine metabolism	[m]
ACOAD9m	0.172989428756119	0.00523510205920107	Valine, leucine, and isoleucine metabolism	34.1 or 27034.1	valine metabolism	[m]
ACOAO7p	0.173085846333224	0.00523707080195639	Fatty acid oxidation	51.1 or 51.2	betaoxidation	[x]
ACONTm	0.0401491826121329	0.00385517881213418	Citric acid cycle	50.1 or 48.1	TCA cycle, mitochondria	[m]
ACP1_FMN_	0.16565509772696	0.00520770685466254	Vitamin B2 metabolism	52.1 or 52.3 or 52.2 or 55.1 or 51205.1 or 54.1	vitamin b2 metabolism	[c]
ACRNtm	0.0145857374065861	-0.0981188558450611	Transport, mitochondrial	788.1	NA	intercompartmental
ACS2	0.172989428784149	0.00523510205947384	Propanoate metabolism	55902.1 or 65985.1 or 55902.2	fatty acid activation, cytosol	[c]
ACt2m	0.0196328394960171	-0.00803807566176319	Transport, mitochondrial		NA	intercompartmental
ACt2r	0.0302131904850315	0.302193446693942	Transport, extracellular		NA	intercompartmental
ACtg	0.172989428770155	0.00523510205914524	Transport, golgi apparatus		NA	intercompartmental
ADK1m	0.0119595714797349	-0.0222109625185208	Nucleotide interconversion	205.3 or 205.1 or 204.1 or 204.3 or 204.2 or 205.2	adenylate kinase	[m]
ADK3	-0.0455427117831771	-1.01730697885494	Nucleotide interconversion	26289.1 or 26289.2	purine synthesis, cytosol	[c]
ADK3m	-0.0195358350603945	-0.106487251208593	Nucleotide interconversion	50808.1	purine synthesis, cytosol	[m]
ADKd	0.00957507581386445	-0.217633861381893	Nucleotide interconversion	26289.2 or 26289.1	purine synthesis, cytosol	[c]
ADNCYC	0.0813033743385153	0.00440281382385712	Nucleotide interconversion	112.1 or 55811.1 or 109.1 or 112.2 or 114.1 or 108.1 or 113.1 or 107.1 or 196883.1 or 115.1 or 111.1	purine synthesis, cytosol	[c]
ADNtm	0.0841920366653002	0.00531277726794587	Transport, mitochondrial	2030.1	NA	intercompartmental
ADPtx	0.00265964775615574	-0.0412831970709314	Transport, peroxisomal		NA	intercompartmental
ADRNCOAtx	0.172989428780498	0.00523510205950215	Transport, peroxisomal		NA	intercompartmental
ADRNCPT1	0.167797031905723	0.00522756532999795	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	carnitine shuttle	[c]
