del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.194855281425894	0.00539614740175382	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.194855281425894	0.00539614740175382	Transport, lysosomal		NA	intercompartmental
13DAMPPOX	0.2055103808969	0.00553151059826709	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	0.205974585655476	0.00552469680623207	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.212227413572706	0.742768556641104	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	3.99260564549082	0.715817721357202	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.205974585655056	0.00552469680621289	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.205974585655507	0.00552469680622056	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.205974585654951	0.00552469680620981	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.205974585654951	0.00552469680620981	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	0.136037811142065	0.00563633830561234	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.205974585655274	0.00552469680622631	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	0.0117504646352134	-0.414444013489848	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	0.0110840136567648	-0.417423283265968	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX_NADP_	0.205974585654951	0.00552469680620981	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.126490558671467	0.00810734076463508	Ubiquinone synthesis		NA	[m]
3DSPHR	0.204342039802436	0.00547863628981919	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.205974585655766	0.00552469680623913	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.20597458565522	0.00552469680621332	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3HLYTCL	0.205974585657363	0.00552469680625849	Tyrosine metabolism	1644.1	tyrosine metabolism, cytosol/ DOPA decarboxylase	[c]
3MOBt2im	0.129978625629025	0.00639059470652726	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	0.0122637818956949	-0.413304523000326	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	0.0122637818956949	-0.413304523000326	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	0.199727876191035	0.00543368927143002	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALAOX	0.106201854745306	0.00420916645047943	Taurine and hypotaurine metabolism		NA	[c]
3SALATAi	0.2040774979177	0.00549644028440179	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
