del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF6GLUtm	94.7300007544788	5.64594679348849	Transport, mitochondrial		NA	intercompartmental
10FTHF7GLUtl	94.7300007544788	5.64594679348849	Transport, lysosomal		NA	intercompartmental
10FTHFtl	94.7300007544788	5.64594679348849	Transport, lysosomal		NA	intercompartmental
10FTHFtm	0.892491138536409	4.18351927224676	Transport, mitochondrial		NA	intercompartmental
2DR1PP	109.304394998488	5.64553749827506	Pyrimidine catabolism		pyrimidine catabolism, cytosol	[c]
2HBO	76.6047966115627	5.64557286421386	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	NaN	NaN	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	11.1375985019925	4.46159553814148	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	90.57473057033	5.21460108901021	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	27.0018261037574	5.62396331786675	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	109.233824036601	5.64558980404876	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	109.233824036601	5.64558980404876	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	92.8855537515352	5.64570297451904	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	109.231598330245	5.64547463544622	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX	NaN	NaN	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]
34DHPLACOX_NADP_	3.08540341515431	3.85821835044965	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX	NaN	NaN	Tyrosine metabolism	221.1 or 218.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHXMANDACOX_NADP_	0.608839469893562	1.20598508057493	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	82.2273004466127	5.56749896250811	Ubiquinone synthesis		NA	[m]
3AIBTm	64.2060720237489	4.23018071233993	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]
3AIBtmi	64.2060720237489	4.23018071233993	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental
3DSPHR	67.2490217518908	4.22797411788511	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	84.8239675960998	5.78637380562489	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	44.779214999143	4.23147422977036	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3M4HDXPAC	109.231716231308	5.64548073620935	Tyrosine metabolism	218.1 or 221.1 or 222.1 or 220.1	NA	[c]
3MLDAt	NaN	NaN	Transport, extracellular		histidine metabolism, cytosol	intercompartmental
3MOBt2im	84.1932352430037	5.79233063973105	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	4.50036758584689	4.53331503660693	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	4.50036758584689	4.53331503660693	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOXTYROX	109.231716231308	5.64548073620935	Tyrosine metabolism	4128.1 or 4129.1	NA	[c]
3SALAASPm	75.3057417413682	5.2172784121734	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	100.901370383214	5.21442913507903	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	109.229786019044	5.64538085787088	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	100.901370383214	5.21442913507903	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	109.229786019044	5.64538085787088	Methionine and cysteine metabolism		NA	[m]
41R1H2MAE12BOOX	109.229786019001	5.64538085787075	Tyrosine metabolism	4128.1 or 4129.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
41R2A1H12BOOX	109.231716231319	5.64548073620938	Tyrosine metabolism	4128.1 or 4129.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
42A12BOOX	109.229786019001	5.64538085787075	Tyrosine metabolism	4129.1 or 8639.1 or 26.1 or 314.2 or 314.1 or 4128.1	NA	[c]
4ABUTtm	69.2437877730584	5.20010711112575	Transport, mitochondrial		NA	intercompartmental
4HGLSDm	3.94031231982894	5.95378843079821	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
4HOXPACDOX_NADP_	109.229786019001	5.64538085787075	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	NA	[c]
4MOPt2im	76.5655074616876	5.20072425965343	Transport, mitochondrial		NA	intercompartmental
5ADTSTSTERONESte	109.229786019001	5.64538085787075	Transport, extracellular		NA	intercompartmental
5ADTSTSTERONEte	109.229786019001	5.64538085787075	Transport, extracellular		NA	intercompartmental
5AOPtm	3.83091093851195	5.04808851025309	Heme synthesis		NA	intercompartmental
5HOXINOXDA	109.230891259332	5.64543804824684	Tryptophan metabolism	4128.1 or 4129.1	tryptophan degradation, cytosol/ tryptophan decarboxylase	[c]
5MTHFt	14.173247618948	5.44036915227969	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental
5MTHFt2	2.43047530910746	4.40123490886925	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
5THFtm	89.4749995668947	5.21494332760217	Transport, mitochondrial		NA	intercompartmental
7DHCHSTEROLtr	46.0086504017756	5.6212437281334	Transport, endoplasmic reticular		NA	intercompartmental
7DHFtl	67.0832546776341	5.21022078389519	Transport, lysosomal		NA	intercompartmental
7THFtl	100.605868930459	5.64465416402107	Transport, lysosomal		NA	intercompartmental
A_MANASEly	109.231736307041	5.64548177502228	N-glycan degradation	4125.1	NA	[l]
AATAi	58.1481359438109	5.63816611885069	Lysine metabolism	51166.1 or 51166.2	NA	[c]
ABTArm	69.2437877730584	5.20010711112575	Glutamate metabolism	18.1 or 18.2	GABA aminotransferase	[m]
ABTti	109.229786019001	5.64538085787075	Transport, extracellular		NA	intercompartmental
ABUTt2rL	5.19749721596374	4.18868802430203	Transport, lysosomal	206358.1	NA	intercompartmental
ABUTt4_2_r	3.66322520091211	5.25208384071613	Transport, extracellular	6529.1 or 6538.1 or 6540.1 or 6539.1	NA	intercompartmental
ACACT10m	78.2538005052823	5.64134730306854	Valine, leucine, and isoleucine metabolism	38.1 or 3032.1 or 10449.1	isoleucine metabolism	[m]
ACACT1rm	NaN	NaN	Tryptophan metabolism	(3030.1 and 3032.1) or 38.1	NA	[m]
ACACT1x	99.4359968826855	5.21385323290594	Cholesterol metabolism	39.1	NA	[x]
ACACt2m	12.5704915848421	5.26258609605774	Transport, mitochondrial	6566.1	NA	intercompartmental
ACACT4p	11.4721323179871	5.13609637430661	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT5p	101.28875830272	5.2143127812163	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT6p	101.291125950354	5.21443482267445	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT7p	101.291125950354	5.21443482267445	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT8p	NaN	NaN	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT9p	109.231736306974	5.64548177502232	Fatty acid oxidation	30.1	betaoxidation	[x]
ACCOAgt	109.229786019001	5.64538085787075	Transport, extracellular	9197.1	NA	intercompartmental
ACCOAtn	108.927294239141	5.62972849859836	Transport, nuclear		NA	intercompartmental
ACCOAtr	2.3670422136867	5.02327790927615	Transport, endoplasmic reticular	9197.1	NA	intercompartmental
ACGALtly	109.229786019001	5.64538085787075	Transport, lysosomal		NA	intercompartmental
ACGAMK	NaN	NaN	Aminosugar metabolism	55577.1	NA	[c]
ACGAMPM	NaN	NaN	Aminosugar metabolism	5238.1	amino sugar metabolism	[c]
ACGAMtly	4.01243239025499	5.60921594706586	Transport, lysosomal		NA	intercompartmental
ACGPID	118.340973939614	6.11683693099471	Phosphatidylinositol phosphate metabolism	9487.1	NA	[c]
ACGSm	70.004038974989	5.21963032281676	Urea cycle	162417.1	NA	[m]
ACHtn	108.927294239141	5.62972849859836	Transport, nuclear		NA	intercompartmental
ACNAMlt	109.234806248787	5.64564062836261	Transport, lysosomal	26503.1	NA	intercompartmental
ACNAMtn	109.229786019001	5.64538085787075	Transport, nuclear		NA	intercompartmental
ACNMLr	109.229806094842	5.64538189668406	Aminosugar metabolism		NA	[c]
ACOAD10m	101.836509664986	5.78982326072938	Valine, leucine, and isoleucine metabolism	36.1 or 34.1	isoleucine metabolism	[m]
ACOAD1fm	100.85746757869	5.21447571046171	Butanoate metabolism	80724.1 or 36.1 or 35.1 or 34.1 or 84129.1 or 27034.1 or 28976.1	NA	[m]
ACOAD9m	29.7938030638126	5.64427374967729	Valine, leucine, and isoleucine metabolism	34.1 or 27034.1	valine metabolism	[m]
ACOAO7p	108.995234056826	5.64548049106521	Fatty acid oxidation	51.1 or 51.2	betaoxidation	[x]
ACONTm	3.20590767674766	4.99217869500453	Citric acid cycle	50.1 or 48.1	TCA cycle, mitochondria	[m]
ACP1_FMN_	108.838733723196	5.64559093908368	Vitamin B2 metabolism	52.1 or 52.3 or 52.2 or 55.1 or 51205.1 or 54.1	vitamin b2 metabolism	[c]
ACRNtm	2.66919356838884	5.36951087127081	Transport, mitochondrial	788.1	NA	intercompartmental
ACt2r	1.16770205425696	3.91258605074317	Transport, extracellular		NA	intercompartmental
ADK1m	12.0179429550091	5.73353506584266	Nucleotide interconversion	205.3 or 205.1 or 204.1 or 204.3 or 204.2 or 205.2	adenylate kinase	[m]
ADK3	2.90116919358179	6.13717058249984	Nucleotide interconversion	26289.1 or 26289.2	purine synthesis, cytosol	[c]
ADK3m	NaN	NaN	Nucleotide interconversion	50808.1	purine synthesis, cytosol	[m]
ADNCYC	95.3509862932222	5.21016501683725	Nucleotide interconversion	112.1 or 55811.1 or 109.1 or 112.2 or 114.1 or 108.1 or 113.1 or 107.1 or 196883.1 or 115.1 or 111.1	purine synthesis, cytosol	[c]
ADNtm	34.6094351091247	5.80170443618405	Transport, mitochondrial	2030.1	NA	intercompartmental
ADPtx	1.07256056588756	4.5441865430805	Transport, peroxisomal		NA	intercompartmental
ADRNCOAtx	NaN	NaN	Transport, peroxisomal		NA	intercompartmental
ADRNCPT1	73.5638860007863	5.63928253671117	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	carnitine shuttle	[c]
ADRNCPT2	67.9505792110323	5.20821879866712	Fatty acid oxidation	1376.1	carnitine shuttle	[m]
ADRNCRNt	3.28501424496191	4.83756761568805	Fatty acid oxidation	788.1 or 788.1	carnitine shuttle	intercompartmental
ADRNt	5.09687185828468	7.16606310295104	Transport, extracellular		NA	intercompartmental
ADSL2	38.2045974504036	5.21394143513963	Purine synthesis	158.1 or 158.2	purine synthesis, cytosol	[c]
AGTim	NaN	NaN	Alanine and aspartate metabolism	64902.1 or 64850.1	NA	[m]
AGTix	66.4515892647893	3.43925728948615	Alanine and aspartate metabolism	189.1	NA	[x]
AHCYStr	7.00604623493895	5.17141158657171	Transport, endoplasmic reticular		NA	intercompartmental
AHEXASE2ly	109.229786019001	5.64538085787075	N-glycan degradation	3073.1 or 3074.1 or (3073.1 and 3074.1)	NA	[l]
AHEXASEly	109.229786019001	5.64538085787075	N-glycan degradation	3073.1 or 3074.1 or (3073.1 and 3074.1)	NA	[l]
AIRCr	38.2045974504036	5.21394143513963	Purine synthesis	10606.1	purine synthesis, cytosol	[c]
AKGMALtm	2.04340238285983	5.31764792499899	Transport, mitochondrial	8402.1 or 1468.1	malate-aspartate shuttle	intercompartmental
AKGt4_3	NaN	NaN	Transport, extracellular	64849.1 or 64849.2	NA	intercompartmental
AKGtp	5.92398852971276	5.67063218039047	Transport, peroxisomal		NA	intercompartmental
AKR1C41	4.05211868788352	7.80407348474733	Bile acid synthesis	1109.1	bile acid synthesis, cytosol	[c]
AKR1C42	NaN	NaN	Bile acid synthesis	1109.1	bile acid synthesis, cytosol	[c]
ALADGLNexR	0.942414358020777	4.50590603965267	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental
ALADGLYexR	4.82748396602343	5.08115369808645	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental
ALAGLNexR	28.1575822257153	4.27711391567147	Transport, extracellular	6520.1 and 56301.1	NA	intercompartmental
ALAGLYexR	6.82699010656202	5.58124102914044	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental
ALAt4	15.1955793694805	5.04383581428756	Transport, extracellular	54407.1 or 6542.1 or 11254.1 or 6541.1 or 81539.1 or 55089.1 or 84889.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental
ALATA_L	2.05506030315651	5.3434284169416	Glutamate metabolism	2875.1 or 84706.1	alanine transaminase, cytosol	[c]
ALAtN1	18.3096717609095	5.37038713673095	Transport, extracellular	92745.1 or 10991.1	NA	intercompartmental
ALCD21_D	NaN	NaN	Pyruvate metabolism	127.1 or 284273.2 or 125.1 or 128.1 or 131.1 or (125.1 and 124.1) or 124.1 or 130.1 or 137872.1 or (125.1 and 126.1) or (126.1 and 124.1) or 284273.1 or 126.1	NA	[c]
ALCD21_L	74.4452202324884	5.18798578522493	Pyruvate metabolism	130.1 or 125.1 or 125.1 and 124.1 or 128.1 or 126.1 or 284273.2 or 137872.1 or 127.1 or 124.1 or (126.1 and 124.1) or 284273.1 or (125.1 and 126.1) or 131.1	NA	[c]
ALCD22_D	0.627903105515162	3.10382806013108	Pyruvate metabolism	126.1 or 137872.1 or (126.1 and 124.1) or 127.1 or 130.1 or 284273.1 or (125.1 and 124.1) or 128.1 or 124.1 or 125.1 or 284273.2 or 131.1 or (125.1 and 126.1)	NA	[c]
ALCD2if	109.229786019001	5.64538085787075	Glycolysis/gluconeogenesis	(125.1 and 126.1) or 137872.1 or (125.1 and 124.1) or 127.1 or 130.1 or 284273.1 or 126.1 or 124.1 or 128.1 or 125.1 or 126.1 or 284273.2 or 131.1 or (126.1 and 124.1)	NA	[c]
ALDD20x	109.229786019001	5.64538085787075	Tryptophan metabolism	216.1 or 8854.2 or 501.1 or 8854.1 or 223.1 or 224.1 or 8854.3	NA	[c]
ALDD20xm	109.229786019001	5.64538085787075	Tryptophan metabolism	219.1 or 8659.1 or 217.1 or 8659.2	NA	[m]
ALDD21	0.496102680873659	4.33969193304926	Fatty acid oxidation	224.1	alpha oxidation	[c]
