del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF5GLUtm	0.000797919512425878	-0.000957138630364287	Transport, mitochondrial		NA	intercompartmental
10FTHF7GLUtl	0.000797919512425878	-0.000957138630364287	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.000797919512425878	-0.000957138630364287	Transport, lysosomal		NA	intercompartmental
10FTHFtm	-0.00441817166299915	-2.02350859877278	Transport, mitochondrial		NA	intercompartmental
13DAMPPOX	-0.000919495613262773	-1.49615337102515e-12	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
1PPDCRp	0.0080135327868788	-3.50870606808211e-13	Lysine metabolism		lysine metabolism	[x]
2HBO	0.00229094192822224	-7.40927897602284e-05	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	-0.0871467364728422	-6.53114348136867	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	-0.0240409093884454	-0.135114956153704	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2MCITt	0.00530982802471815	-8.67059217247918e-05	Transport, extracellular		NA	intercompartmental
2OXOADOXm	-0.0179890259318292	-7.15011555765904e-12	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.00268729033094684	-8.79912082725173e-13	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHOXPEGOX	0.00082693216931035	-1.1179775919571e-12	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHOXPEGt	0.00082693216931035	-1.1179775919571e-12	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental
34DHPHAMT	-0.0151174463346516	-0.00338934688655305	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.00248787630772838	-8.96521863319938e-13	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX_NADP_	-0.0177065334246982	-0.00783401465575281	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX	-0.000905720773208333	-1.03466486020044	Tyrosine metabolism	221.1 or 218.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHXMANDACOX_NADP_	-0.000905720773208333	-1.03466486020044	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.0164742143290994	0.00189313380901721	Ubiquinone synthesis		NA	[m]
3DSPHR	0.0027716516065275	-5.90652076877902e-05	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.000853579750336381	-1.18703693167897e-12	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.00412914230472346	-7.99141707755362e-13	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOPt2im	-0.00603940659187089	-0.00913099568540065	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX_NADP_	0.00282329249903635	-1.01679306416032e-12	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	-0.000877575889731266	-1.56151381742272e-12	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	-0.00612912724224301	-2.68844268635355e-12	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	-0.000877575889731266	-1.56151381742272e-12	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	-0.00612912724224301	-2.68844268635355e-12	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	-0.000877575889731266	-1.56151381742272e-12	Methionine and cysteine metabolism		NA	[m]
4HGLSDm	-0.00901618171959354	-0.422142889728161	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
5ADTSTSTERONESte	0.00282329249903635	-1.01679306416032e-12	Transport, extracellular		NA	intercompartmental
5ADTSTSTERONEte	0.00282329249903635	-1.01679306416032e-12	Transport, extracellular		NA	intercompartmental
5AOPtm	0.0127290013911639	0.000883534246055261	Heme synthesis		NA	intercompartmental
5MTHFt	-0.0192315613868748	-2.07697809391996	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental
5MTHFt2	-0.0264753788213526	-4.83141242744252	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
7DHCHSTEROLtr	-0.000509955593545091	-0.0314666830006073	Transport, endoplasmic reticular		NA	intercompartmental
7DHFtl	0.00651603941560723	-0.000281501280281985	Transport, lysosomal		NA	intercompartmental
7THFtl	0.00514497285962752	-0.00040069935769089	Transport, lysosomal		NA	intercompartmental
A_MANASEly	0.00173162184205691	-1.09059250530853e-12	N-glycan degradation	4125.1	NA	[l]
