del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization
10FTHF7GLUtl	0.111563177753261	0.00479865220327818	Transport, lysosomal		NA	intercompartmental
10FTHFtl	0.111563177753261	0.00479865220327818	Transport, lysosomal		NA	intercompartmental
13DAMPPOX	0.112498175012925	0.00481349687529609	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]
2HBO	0.112498174944966	0.00481349687416212	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]
2HBt2	0.127259417843792	1.93089808025586	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental
2HCO3_NAt	-0.0783925311801452	-0.73757490602766	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental
2OXOADOXm	0.112498175008054	0.0048134968751521	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]
2OXOADPTm	0.112498175042696	0.00481349687565432	Tryptophan metabolism	89874.1	NA	intercompartmental
34DHPHAMT	0.0920349157070891	0.00452516606144252	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]
34DHPHEt	0.112498175007752	0.00481349687512595	Transport, extracellular	117247.1	NA	intercompartmental
34DHPLACOX_NADP_	0.0687775876025934	0.00396987224787239	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]
34DHXMANDACOX	0.0286802746257009	-0.0151468441867446	Tyrosine metabolism	221.1 or 218.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34DHXMANDACOX_NADP_	0.0286802746257009	-0.0151468441867446	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
34HPLFM	0.124521002947009	0.00744829395019952	Ubiquinone synthesis		NA	[m]
3DSPHR	0.00918728549773767	-0.0117819369330964	Sphingolipid metabolism	2531.1	new to recon	[c]
3HBCDm	0.112498174973819	0.00481349687452021	Butanoate metabolism	55268.1	lysine metabolism	[m]
3HBCOAHLm	0.0801731238920261	0.00514334218915051	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]
3MOBt2im	0.0619934018665055	0.0216081799292904	Transport, mitochondrial		NA	intercompartmental
3MOX4HOXPGALDOX	0.0295130534468535	-0.00280491640108346	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3MOX4HOXPGALDOX_NADP_	0.0295130534468535	-0.00280491640108346	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
3SALAASPm	0.0690750988202485	0.00490276646943782	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental
3SALATAi	0.112498178517967	0.00481349692976977	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]
3SALATAim	0.112498174999333	0.00481349687477105	Methionine and cysteine metabolism	2806.1	NA	[m]
3SPYRSP	0.112498178517967	0.00481349692976977	Methionine and cysteine metabolism		cysteine metabolism	[c]
3SPYRSPm	0.112498174999333	0.00481349687477105	Methionine and cysteine metabolism		NA	[m]
4ABUTtm	0.107123620183002	0.225785885180708	Transport, mitochondrial		NA	intercompartmental
4HGLSDm	0.325405164515101	0.481362482922085	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]
4HOXPACDOX_NADP_	0.0290406951414609	-0.00819799867867629	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	NA	[c]
5ADTSTSTERONESte	0.112498175008054	0.0048134968751521	Transport, extracellular		NA	intercompartmental
5ADTSTSTERONEte	0.112498175008054	0.0048134968751521	Transport, extracellular		NA	intercompartmental
5AOPtm	0.112321407365015	0.00483581383911554	Heme synthesis		NA	intercompartmental
5FTHFt2	0.112498175008054	0.0048134968751521	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
5MTHFt2	0.0306805184562817	0.0138042838494082	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental
7DHCHSTEROLtr	0.0194477583969181	-0.00514561130294907	Transport, endoplasmic reticular		NA	intercompartmental
7DHFtl	0.111993561566567	0.00480551314192857	Transport, lysosomal		NA	intercompartmental
7THFtl	0.111905094423568	0.00480410714112444	Transport, lysosomal		NA	intercompartmental
A_MANASEly	0.112498174950786	0.00481349687422307	N-glycan degradation	4125.1	NA	[l]
A4GALTg	0.112498175007314	0.00481349687509443	Sphingolipid metabolism	53947.1	NA	[g]
AATAi	0.112498175042696	0.00481349687565432	Lysine metabolism	51166.1 or 51166.2	NA	[c]
ABTArm	0.107123620183002	0.225785885180708	Glutamate metabolism	18.1 or 18.2	GABA aminotransferase	[m]
ABTD	0.112498175008054	0.0048134968751521	Pentose phosphate pathway		NA	[c]
ABUTt2rL	0.0439828130875415	0.0355515439879998	Transport, lysosomal	206358.1	NA	intercompartmental
ACACT10m	0.0463857570936614	0.00354690688224529	Valine, leucine, and isoleucine metabolism	38.1 or 3032.1 or 10449.1	isoleucine metabolism	[m]
ACACT1rm	0.0468653867893416	0.133815167649946	Tryptophan metabolism	(3030.1 and 3032.1) or 38.1	NA	[m]
ACACT1x	0.104314312184313	0.00490524689016617	Cholesterol metabolism	39.1	NA	[x]
ACACt2m	0.0488572068672929	0.0581183080478928	Transport, mitochondrial	6566.1	NA	intercompartmental
ACACT4p	-0.00543824523014328	-0.0335563853775839	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT5p	0.11315721429519	0.00483866076768444	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT6p	0.113157214305068	0.00483866076795518	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT7p	0.113157214305068	0.00483866076795518	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT8p	0.112498174955424	0.00481349687427304	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACT9p	0.112498174959979	0.00481349687427002	Fatty acid oxidation	30.1	betaoxidation	[x]
ACACtx	0.0374751780408027	0.010941624625057	Transport, peroxisomal		NA	intercompartmental
ACALDtm	0.114076120683601	0.00571076734106097	Transport, mitochondrial		NA	intercompartmental
ACCOACm	0.0305136419166968	0.00228596422691577	Fatty acid oxidation	32.1	fatty acid synthesis & elongation	[m]
ACCOAtn	0.00455759980311202	-0.12414674507655	Transport, nuclear		NA	intercompartmental
ACCOAtr	0.0124578362486023	-0.0253203452198332	Transport, endoplasmic reticular	9197.1	NA	intercompartmental
ACETONEt2	0.059293083261188	0.00543349060045771	Transport, extracellular	6566.1 or 9123.1 or 9194.1	NA	intercompartmental
