del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
ICDHxm	2.78401325653747	7.28087289489252	Citric acid cycle	( 3421.2 and 3420.3 and 3419.1 ) or ( 3420.1 and 3421.1 and 3419.1 ) or ( 3420.1 and 3421.1 and 3419.1 ) or ( 3420.3 and 3421.1 and 3419.1 ) or ( 3421.1 and 3419.1 and 3420.2 ) or ( 3421.2 and 3419.1 and 3420.2 )	TCA cycle, mitochondria	[m]	100
ABUTt2r	1.03848366753342	1.06010240292729	Transport, extracellular	206358.1	NA	intercompartmental	99.9838370777437
DALAt2r	1.0048594856788	4.95045866973957	Transport, extracellular	206358.1	NA	intercompartmental	99.9676741554873
r0754	0.99224875831776	6.82904521811682	Miscellaneous	221.1 or 218.1 or 222.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[m]	99.951511233231
r0755	0.99224875831776	6.82904521811682	Miscellaneous	221.1 or 218.1 or 222.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[m]	99.951511233231
r0752	0.991649096972373	6.33473177061954	Miscellaneous	221.1 or 218.1 or 222.1 or 220.1	NA	[m]	99.9191853887183
r0753	0.991649096972373	6.33473177061954	Miscellaneous	221.1 or 218.1 or 222.1 or 220.1	NA	[m]	99.9191853887183
RE3010M	0.991157983358464	5.97983808046704	Eicosanoid metabolism	10901.1	NA	[m]	99.8868595442056
HMR_1102	0.991157983358464	5.97983808046704	Leukotriene metabolism	10901.1 or 873.1 or 874.1	NA	[m]	99.8868595442056
4TMEABUTNt1	0.981669337274993	2.86158151097252	Transport, extracellular		NA	intercompartmental	99.8545336996929
4TMEABUTNt2	0.981669337274993	2.86158151097252	Transport, extracellular		NA	intercompartmental	99.8545336996929
RE2626M	0.964870719742241	1.49148465365848	Bile acid synthesis	1593.1	NA	[m]	99.8222078551802
SACCD4m	0.953632441800959	6.53319034592166	Lysine metabolism	10157.1	lysine metabolism	[m]	99.8060449329239
PRODt2r	0.89592817561002	2.79311704137192	Transport, extracellular	206358.1	NA	intercompartmental	99.7898820106675
PRO_Dtde	0.89592817561002	2.79311704137192	Transport, extracellular		NA	intercompartmental	99.7898820106675
