del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
HMR_0298	66.4012430074979	3.30941001085766	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	100
FACOAL260	66.3717224228427	3.30932723277872	Fatty acid oxidation	2180.1	fatty acid activation, cytosol	[c]	99.9838579499596
HMR_0342	66.371722422763	3.30932723277873	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.9677158999193
HMR_0238	65.7234484550054	3.30975196321207	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.9515738498789
C14STRr	65.6896217032894	3.31081524923074	Cholesterol metabolism	7108.1	cholesterol synthesis	[r]	99.9354317998386
C3STDH1Pr	65.6896217032894	3.31081524923074	Cholesterol metabolism	50814.1	cholesterol synthesis	[r]	99.9354317998386
C3STKR2r	65.6896217032894	3.31081524923074	Cholesterol metabolism	3295.1	cholesterol synthesis	[r]	99.9354317998386
C4STMO1r	65.6896217032894	3.31081524923074	Cholesterol metabolism	6307.1	cholesterol synthesis	[r]	99.9354317998386
C4STMO2r	65.6896217032894	3.31081524923074	Cholesterol metabolism	6307.1 or 50814.1	NA	[r]	99.9354317998386
CO2ter	65.6896217032894	3.31081524923074	Transport, endoplasmic reticular		NA	intercompartmental	99.9354317998386
DHCR241r	65.6896217032894	3.31081524923074	Cholesterol metabolism	1718.1	cholesterol synthesis	[r]	99.9354317998386
EBP2r	65.6896217032894	3.31081524923074	Cholesterol metabolism	10682.1	cholesterol synthesis	[r]	99.9354317998386
FORtr	65.6896217032894	3.31081524923074	Transport, endoplasmic reticular		NA	intercompartmental	99.9354317998386
r0781	65.6896217032894	3.31081524923074	Cholesterol metabolism	1595.1	cholesterol synthesis	[r]	99.9354317998386
HMR_0293	64.7143862253133	3.3106884809371	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.774011299435
HMR_0280	64.320336446239	3.31029477615133	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.7578692493947
RE0344C	63.6908573948655	3.31058002059147	Fatty acid synthesis	641372.1 or 641371.1 or 570.1	fatty acid synthesis & elongation	[c]	99.7417271993543
CDSm	63.3086285436197	3.31063506572539	Glycerophospholipid metabolism	1040.1 or 8760.1	new to recon	[m]	99.725585149314
CHLtm	63.3086285436197	3.31063506572539	Transport, mitochondrial		NA	intercompartmental	99.725585149314
CYTK1m	63.3086285436197	3.31063506572539	Nucleotide interconversion	129607.1 	NA	[m]	99.725585149314
NDPK3m	63.3086285436197	3.31063506572539	Nucleotide interconversion	4833.1 or 10201.1	NA	[m]	99.725585149314
PCHOLPm_hs	63.3086285436197	3.31063506572539	Glycerophospholipid metabolism	5337.1	NA	[m]	99.725585149314
PETOHMm_hs	63.3086285436197	3.31063506572539	Glycerophospholipid metabolism	10400.2 or 10400.1 or 10400.3	phospholipid metabolism, phospho-ethanolamine, cytosol	[m]	99.725585149314
PSDm_hs	63.3086285436197	3.31063506572539	Glycerophospholipid metabolism	23761.1	phospholipid metabolism/phosphatidyl-ethanolamine synthesis, mitochondria	[m]	99.725585149314
PSFLIPm	63.3086285436197	3.31063506572539	Transport, mitochondrial	10396.1 or 57194.1	NA	intercompartmental	99.725585149314
HMR_0582	63.3086285436197	3.31063506572539	Glycerophospholipid metabolism	9489.1	NA	[m]	99.725585149314
HMR_0290	63.1790406377288	3.31048765146619	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.5803066989508
FAOXC226C205m	63.0978760608506	3.31065975893105	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	betaoxidation	[m]	99.5641646489104
FAOXC226C227m	63.0978760608506	3.31065975893105	Fatty acid oxidation	37.1	betaoxidation	[m]	99.5641646489104
FAOXC226m	63.0978760608506	3.31065975893105	Fatty acid oxidation	1632.1	betaoxidation	[m]	99.5641646489104
FAOXC227C226m	63.0978760608506	3.31065975893105	Fatty acid oxidation	1666.1	betaoxidation	[m]	99.5641646489104
FAOXTC182TC162m	63.0246520414132	3.31060866291542	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	betaoxidation	[m]	99.499596448749
HEXDTRm	62.9667539619996	3.31060186843814	Fatty acid oxidation	10965.1 or 11332.1 or 10005.1 or 55856.1	NA	[m]	99.4834543987086
HEXDTRtm	62.9667539619996	3.31060186843814	Transport, mitochondrial	7350.1	NA	intercompartmental	99.4834543987086
HEXDTRte	62.9667539619996	3.31060186843814	Transport, extracellular		NA	intercompartmental	99.4834543987086
EX_hexdtr[e]	62.9667539619996	3.31060186843814	Exchange/demand reaction		NA	[e]	99.4834543987086
EX_orn[e]	62.9141169508262	3.32708035619716	Exchange/demand reaction		NA	[e]	99.4188861985472
EX_pe_hs[e]	62.9081647421213	3.32702643468411	Exchange/demand reaction		NA	[e]	99.4027441485069
PEt	62.9081647421213	3.32702643468411	Transport, extracellular		NA	intercompartmental	99.4027441485069
DESAT24_1	62.9079869314457	3.32713359592903	Fatty acid synthesis	9415.1	fatty acid synthesis & elongation	[c]	99.3704600484261
EX_tethex3[e]	62.9079869314457	3.32713359592903	Exchange/demand reaction		NA	[e]	99.3704600484261
HMR_0374	62.9079869314457	3.32713359592903	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.3704600484261
HMR_0375	62.9079869314457	3.32713359592903	Transport, extracellular	19.1	NA	intercompartmental	99.3704600484261
HMR_2286	62.9079869271022	3.32713359592999	Fatty acid synthesis	6319.1 or 79966.1	NA	[c]	99.3058918482647
HISTASE	62.9079869270612	3.32713359592997	Histidine metabolism	26.1 or 314.1 or 314.2	histidine metabolism, cytosol	[c]	99.2897497982244
IMACTD	62.9079869270612	3.32713359592997	Histidine metabolism	216.1 or 8854.1 or 224.1 or 8854.2 or 223.1 or 501.1 or 8854.3	histidine metabolism, cytosol	[c]	99.2897497982244
IM4ACte	62.9079869270612	3.32713359592997	Transport, extracellular		NA	intercompartmental	99.2897497982244
EX_im4ac[e]	62.9079869270612	3.32713359592997	Exchange/demand reaction		NA	[e]	99.2897497982244
PEDH15_HSPLA2	62.9079869265558	3.32713359592993	Glycerophospholipid metabolism	8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1	NA	[c]	99.2251815980629
PE15_HSABCt	62.9079869265558	3.32713359592993	Transport, extracellular	23250.1 or 286410.1	NA	intercompartmental	99.2251815980629
CHLPCTD	62.9076040790018	3.32713225858061	Glycerophospholipid metabolism	5130.1 or 9468.1	phospholipid metabolism, phosphatidylcholine synthesis, cytosol	[c]	99.1928974979822
HMR_0597	62.9076040790018	3.32713225858061	Glycerophospholipid metabolism	8611.1 or 9663.1 or 64748.1 or 9890.1 or 79948.1 or 64900.1 or 23175.1 or 8612.1 or 84513.1 or 8613.1 or 196051.1	NA	[c]	99.1928974979822
HMR_0625	62.9076040790018	3.32713225858061	Glycerophospholipid metabolism	56994.1 or 10390.1	NA	[c]	99.1928974979822
HMR_0629	62.9076040790018	3.32713225858061	Glycerophospholipid metabolism	5337.1 or 23646.1 or 5338.1 or 122618.1 or 201164.1	NA	[c]	99.1928974979822
r1529	62.9069741507843	3.32707997662703	Transport, extracellular	19.1	NA	intercompartmental	99.1283292978208
PGS	62.9069741507693	3.32707997662705	Eicosanoid metabolism	5743.1 or 5742.1	prostaglandin synthesis, cytosol	[c]	99.1121872477805
GALASE15ly	62.9069741507473	3.32707997662704	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	NA	[l]	99.0960451977401
EX_odecrn[e]	62.9069741507107	3.32707997662708	Exchange/demand reaction		NA	[e]	99.0799031476998
ODECRNtr	62.9069741507107	3.32707997662708	Transport, extracellular		transport, extracellular	intercompartmental	99.0799031476998
RE3011M	62.9069741506087	3.32707997662703	Eicosanoid metabolism	137872.1	NA	[m]	99.0476190476191
RE3012M	62.9069741506087	3.32707997662703	Eicosanoid metabolism	217.1 or 219.1 or 501.1	NA	[m]	99.0476190476191
RE3597C	62.9069741506087	3.32707997662703	Eicosanoid metabolism	874.1 or 873.1	NA	[c]	99.0476190476191
RE3597M	62.9069741506087	3.32707997662703	Eicosanoid metabolism	10901.1	NA	[m]	99.0476190476191
HMR_1127	62.9069741506087	3.32707997662703	Leukotriene metabolism	57834.1 or 126410.1 or 8529.1 or 11283.1 or 4051.1	NA	[m]	99.0476190476191
HMR_1243	62.9069741506087	3.32707997662703	Transport, mitochondrial		NA	intercompartmental	99.0476190476191
GALASE10ly	62.9069741505576	3.32707997662579	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	NA	[l]	98.9507667473769
NACHEX16ly	62.9069741505576	3.32707997662579	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	NA	[l]	98.9507667473769
HMR_0793	62.9069741503214	3.32707997662773	Glycosphingolipid metabolism	2581.1	NA	[l]	98.9184826472962
DHBPTt	62.9069741501942	3.32707997662702	Transport, extracellular		NA	intercompartmental	98.9023405972559
EX_dhbpt[e]	62.9069741501942	3.32707997662702	Exchange/demand reaction		NA	[e]	98.9023405972559
EX_CE5026[e]	62.9069741499831	3.32707997662698	Miscellaneous		NA	[e]	98.8700564971751
Coqe	62.9069741499541	3.32707997662699	Transport, extracellular		NA	intercompartmental	98.8539144471348
EX_q10[e]	62.9069741499541	3.32707997662699	Exchange/demand reaction		NA	[e]	98.8539144471348
EX_pe15_hs[e]	62.9069741499502	3.32707997662699	Exchange/demand reaction		NA	[e]	98.8216303470541
EX_gthrd[e]	62.9069741499277	3.32707997662699	Exchange/demand reaction		NA	[e]	98.8054882970137
EX_dhdascb[e]	62.9069741499177	3.32707997662699	Exchange/demand reaction		NA	[e]	98.7893462469734
EX_leuktrE4[e]	62.906974149903	3.32707997662698	Exchange/demand reaction		NA	[e]	98.773204196933
EX_pe12_hs[e]	62.9069741499017	3.32707997662699	Exchange/demand reaction		NA	[e]	98.7570621468927
THBPTt	62.9069741489929	3.32707997662686	Transport, extracellular		NA	intercompartmental	98.7409200968523
EX_thbpt[e]	62.9069741489929	3.32707997662686	Exchange/demand reaction		NA	[e]	98.7409200968523
GALASE11ly	62.9069741469154	3.32707997662532	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	NA	[l]	98.7086359967716
NACHEX17ly	62.9069741469154	3.32707997662532	Keratan sulfate degradation	3073.1 or 3074.1 or (3073.1 and 3074.1)	NA	[l]	98.7086359967716
EX_acgal[e]	62.9059613801811	3.32702635732577	Exchange/demand reaction		NA	[e]	98.6763518966909
HMR_0415	62.9059613753334	3.32702635732492	Transport, extracellular	19.1	NA	intercompartmental	98.6602098466505
GALASE8ly	62.9059613741473	3.32702635732407	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	NA	[l]	98.6440677966102
NACHEX14ly	62.9059613741473	3.32702635732407	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	NA	[l]	98.6440677966102
r1516	62.9059613740813	3.32702635732409	Transport, extracellular	19.1	NA	intercompartmental	98.6117836965295
HMR_0239	62.9059613740641	3.32702635732407	Transport, extracellular	19.1	NA	intercompartmental	98.5956416464891
EX_4hpro[e]	62.9059613740333	3.32702635732416	Exchange/demand reaction		NA	[e]	98.5794995964488
GALASE17ly	62.9059613739934	3.32702635732408	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	NA	[l]	98.5633575464084
HMR_0253	62.9059613738829	3.32702635732407	Transport, extracellular	19.1	NA	intercompartmental	98.547215496368
ACNAMlt	62.905961373436	3.32702635732403	Transport, lysosomal	26503.1	NA	intercompartmental	98.5310734463277
HSD17B4x	62.90596137343	3.32702635732405	Bile acid synthesis	3295.1	bile acid synthesis, cytosol	[x]	98.5149313962873
HMR_2284	62.9059613734064	3.32702635732405	Fatty acid synthesis	6319.1 or 79966.1	NA	[c]	98.498789346247
NACHEX25ly	62.9059613733682	3.32702635732402	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	NA	[l]	98.4826472962066
EX_xyl_D[e]	62.9059613733529	3.32702635732404	Exchange/demand reaction		NA	[e]	98.4665052461663
XYLt	62.9059613733529	3.32702635732404	Transport, extracellular	6515.1	NA	intercompartmental	98.4665052461663
ESTRADIOLt	62.9059613733443	3.32702635732404	Transport, extracellular		NA	intercompartmental	98.4342211460855
EX_estradiol[e]	62.9059613733443	3.32702635732404	Exchange/demand reaction		NA	[e]	98.4342211460855
FAOXC160	62.8955112124093	3.32702373898106	Fatty acid oxidation	34.1 or 35.1	betaoxidation	[m]	98.4019370460048
HMR_0197	62.87870328182	3.30967940151702	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	98.3857949959645
C14769td1	62.8694273671536	3.31060923284188	Transport, extracellular		NA	intercompartmental	98.3696529459241
EX_C14769[e]	62.8694273671536	3.31060923284188	Exchange/demand reaction		NA	[e]	98.3696529459241
HMR_0946	62.8694273671536	3.31060923284188	Arachidonic acid metabolism	64816.1 or 1565.1 or 1577.1 or 1562.1 or 1571.1 or 1573.1 or 1588.1 or 1545.1 or 1559.1 or 1558.1 or 1543.1 or 1544.1 or 1580.1 or 113612.1 or 1576.1 or 1551.1 or 1557.1 or 29785.1 or 57834.1 or 199974.1 or 66002.1 or 260293.1 or 11283.1 or 1555.1 or 1572.1 or 1553.1 or 1549.1 or 1548.1	NA	[c]	98.3696529459241
C14768td	62.8672842118042	3.3106093728543	Transport, extracellular		NA	intercompartmental	98.3212267958031
EX_C14768[e]	62.8672842118042	3.3106093728543	Exchange/demand reaction		NA	[e]	98.3212267958031
HMR_0942	62.8672842118042	3.3106093728543	Arachidonic acid metabolism	64816.1 or 1565.1 or 1577.1 or 1562.1 or 1571.1 or 1573.1 or 1588.1 or 1545.1 or 1559.1 or 1558.1 or 1543.1 or 1544.1 or 1580.1 or 113612.1 or 1576.1 or 1551.1 or 1557.1 or 29785.1 or 57834.1 or 199974.1 or 66002.1 or 260293.1 or 11283.1 or 1555.1 or 1572.1 or 1553.1 or 1549.1 or 1548.1	NA	[c]	98.3212267958031
HMR_0414	62.8468899624324	3.30865874544209	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	98.272800645682
EX_gluside_hs[e]	62.8455119380705	3.32702314594212	Exchange/demand reaction		NA	[e]	98.2566585956416
C14826td	62.8157212820589	3.31060102697855	Transport, extracellular		lipid metabolism	intercompartmental	98.2405165456013
EX_C14826[e]	62.8157212820589	3.31060102697855	Exchange/demand reaction		NA	[e]	98.2405165456013
HMR_2457	62.8157212820589	3.31060102697855	Linoleate metabolism	64816.1 or 1565.1 or 1577.1 or 1562.1 or 1571.1 or 1573.1 or 1588.1 or 1545.1 or 1559.1 or 1558.1 or 1543.1 or 1544.1 or 1580.1 or 113612.1 or 1576.1 or 1551.1 or 1557.1 or 29785.1 or 57834.1 or 199974.1 or 66002.1 or 260293.1 or 11283.1 or 1555.1 or 1572.1 or 1553.1 or 1549.1 or 1548.1	NA	[c]	98.2405165456013
HMR_0370	62.7709216152675	3.31069625660739	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	98.1920903954802
HMR_0422	62.7688904565382	3.31058901800046	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	98.1759483454399
HMR_3426	62.7586682208224	3.32701806639097	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	NA	[m]	98.1598062953995
PCHOLMYR_HSPLA2	62.5979448130125	3.31071907549673	Glycerophospholipid metabolism	8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1	NA	[c]	98.1436642453592
PCHOLAR_HSPLA2	62.5979448130125	3.31071907549673	Glycerophospholipid metabolism	8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1	NA	[c]	98.1436642453592
