del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
NAt	18.840538279775	0.667904111261025	Transport, extracellular	6526.1 or 6523.1 or 6528.1	NA	intercompartmental	100
HMR_0433	16.903312577882	0.571557464108231	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.982782369146
HMR_0309	16.8739393558793	0.571621497707241	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.965564738292
HMR_0310	16.8739393558793	0.571621497707241	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.965564738292
HMR_0297	16.8081634143845	0.571743047188027	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.931129476584
HMR_0298	16.8081634143845	0.571743047188027	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.931129476584
HMR_0206	16.803312860772	0.571758305562625	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.896694214876
HMR_0301	16.7832307108655	0.571784445435468	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.879476584022
HMR_0302	16.7832307108655	0.571784445435468	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.879476584022
FACOAL2042	16.7753335496046	0.57179656778847	Fatty acid oxidation	2180.1	fatty acid activation, cytosol	[c]	99.8450413223141
FACOAL2252	16.7219221597122	0.571873508423956	Fatty acid oxidation	2180.1	fatty acid activation, cytosol	[c]	99.8278236914601
HMR_0366	16.7219221594537	0.571873508423978	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.8106060606061
HMR_0214	16.6926784498253	0.571912429987168	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.7933884297521
HMR_0385	16.687060024724	0.571919688702274	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.7761707988981
HMR_0386	16.6870600221371	0.571919688701779	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.7589531680441
HMR_0192	16.6661759669935	0.571946206714257	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.7417355371901
HMR_0193	16.6661759669935	0.571946206714257	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.7417355371901
HMR_0267	16.6586461123267	0.571022783362306	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.7073002754821
HMR_0268	16.6586461123267	0.571022783362306	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.7073002754821
HMR_0381	16.6486992829496	0.571968016966955	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.6728650137741
HMR_0382	16.6486992829496	0.571968016966955	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.6728650137741
HMR_0279	16.6193355597063	0.572003448249491	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	99.6384297520661
HMR_0280	16.6193355597063	0.572003448249491	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	NA	[c]	99.6384297520661
