del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
ALADGLYexR	1.94693657494906	2.33798411544602	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	100
r1552	0.725653936808801	5.87584175576187	Transport, extracellular	8140.1	NA	intercompartmental	99.9830966869506
r1564	0.498691444839798	0.901959155974629	Transport, extracellular	8140.1	NA	intercompartmental	99.9661933739013
GLYt4	0.388947196161067	2.2323242305455	Transport, extracellular	81539.1 or 11254.1 or 54407.1 or 55089.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental	99.9492900608519
r1549	0.388082051455939	3.3567476332241	Transport, extracellular	8140.1	NA	intercompartmental	99.9323867478026
SERGLYexR	0.381110946061588	1.23820040736896	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	99.9154834347532
THRGLYexR	0.372538556402101	3.83720924239533	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	99.8985801217038
r1553	0.366829858742669	3.5439770503061	Transport, extracellular	8140.1	NA	intercompartmental	99.8816768086545
r1547	0.366251128564867	1.75400137391531	Transport, extracellular	8140.1	NA	intercompartmental	99.8647734956051
SERt4	0.365832717345782	4.72945217527674	Transport, extracellular	81539.1 or 11254.1 or 54407.1 or 55089.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental	99.8478701825558
r1548	0.364360959564687	3.05382596809922	Transport, extracellular	8140.1	NA	intercompartmental	99.8309668695064
CYSt4	0.352087610513478	1.44403554983385	Transport, extracellular	11254.1 or 54407.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental	99.8140635564571
CYSGLYexR	0.348886190199555	4.66300582204852	Transport, extracellular	(6520.1 and 23428.1) or (6520.1 and 23428.2) or (56301.1 and 6520.1)	NA	intercompartmental	99.7971602434077
r2140	0.337778548896431	3.19499510616133	Transport, extracellular	6579.1	NA	intercompartmental	99.7802569303583
SERGLNexR	0.334379533856657	3.98999499727089	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	99.763353617309
CYStec	0.333746253596032	3.14306153238741	Transport, extracellular	124935.1	NA	intercompartmental	99.7464503042596
r2526	0.329560297511519	1.09066465886374	Transport, extracellular	8501.1	NA	intercompartmental	99.7295469912103
r1586	0.318700501758822	1.54004817762678	Transport, extracellular	8140.1	NA	intercompartmental	99.7126436781609
r1914	0.314066327726472	5.24586513619258	Transport, extracellular	9057.1	NA	intercompartmental	99.6957403651116
r1593	0.314035883154805	3.22284971423861	Transport, extracellular	8140.1	NA	intercompartmental	99.6788370520622
r1590	0.312548278253463	0.666366494375059	Transport, extracellular	8140.1	NA	intercompartmental	99.6619337390128
ABUTt4_2_r	0.310293445517239	2.61520761659634	Transport, extracellular	6529.1 or 6538.1 or 6540.1 or 6539.1	NA	intercompartmental	99.6450304259635
r1589	0.296677474962582	1.2063522199073	Transport, extracellular	8140.1	NA	intercompartmental	99.6281271129141
r1596	0.283252919072848	0.104102116527548	Transport, extracellular	8140.1	NA	intercompartmental	99.6112237998648
