del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	mta_score_prctile
DMATT	226.040715337293	10.5088723855955	Cholesterol metabolism	9453.1	cholesterol synthesis	[c]	100
GRTT	226.040715337293	10.5088723855955	Cholesterol metabolism	9453.1	cholesterol synthesis	[c]	100
CYTK5n	213.596340228765	12.7190906785686	Nucleotide interconversion	51727.1	NA	[n]	99.9662447257384
HMR_1536	213.040965265287	10.6004609603942	Cholesterol metabolism	1595.1	NA	[c]	99.9493670886076
HMR_1538	213.040965265287	10.6004609603942	Cholesterol metabolism	1595.1	NA	[c]	99.9493670886076
HMR_1539	213.040965265287	10.6004609603942	Cholesterol metabolism	1595.1	NA	[c]	99.9493670886076
CYTK14n	202.546296693934	12.0606535684025	Nucleotide interconversion	51727.1	NA	[n]	99.8987341772152
CYTK6	197.884319385292	11.7828611006334	Nucleotide interconversion	51727.1	NA	[c]	99.8818565400844
UMPK4n	192.55007220139	11.465010198882	Nucleotide interconversion	51727.1	NA	[n]	99.8649789029536
CYTK4n	192.224758535089	11.4456257872994	Nucleotide interconversion	51727.1	NA	[n]	99.8481012658228
RE2410C	190.694933129769	10.5862736067207	Cholesterol metabolism		NA	[c]	99.831223628692
HMR_1516	190.694933129769	10.5862736067207	Cholesterol metabolism	6309.1	NA	[c]	99.831223628692
HMR_1526	190.694933129769	10.5862736067207	Cholesterol metabolism	1718.1	NA	[c]	99.831223628692
CYTK12n	187.555132149331	11.1673775352102	Nucleotide interconversion	51727.1	NA	[n]	99.7805907172996
CYTK3n	181.044214458265	10.7794125631096	Nucleotide interconversion	51727.1	NA	[n]	99.7637130801688
PEDH15_HSPLA2	180.403021546595	10.5858204690424	Glycerophospholipid metabolism	8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1	NA	[c]	99.746835443038
PE15_HSABCt	180.403021546595	10.5858204690424	Transport, extracellular	23250.1 or 286410.1	NA	intercompartmental	99.746835443038
PEDH12_HSPLA2	180.396751475312	10.5854522601534	Glycerophospholipid metabolism	8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1	NA	[c]	99.7130801687764
PE12_HSABCt	180.396751475312	10.5854522601534	Transport, extracellular	23250.1 or 286410.1	NA	intercompartmental	99.7130801687764
TRDR3	179.447459728055	10.5991938726368	Miscellaneous	7296.4 or 7296.1 or 7296.3 or 7296.2	NA	[c]	99.6793248945148
RE3525M	179.139209659628	10.5989180443566	Arachidonic acid metabolism		NA	[m]	99.662447257384
HMR_0962	179.139209659628	10.5989180443566	Transport, mitochondrial		NA	intercompartmental	99.662447257384
HMR_0963	179.139209659628	10.5989180443566	Arachidonic acid metabolism	2882.1 or 9588.1 or 493869.1 or 2879.1 or 2877.1 or 257202.1 or 2878.1 or 2880.1 or 2876.1	NA	[m]	99.662447257384
HMR_0380	178.995554390307	10.5973732964543	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	NA	intercompartmental	99.6118143459916
HMR_0383	178.995554390307	10.5973732964543	Transport, extracellular	19.1	NA	intercompartmental	99.6118143459916
HMR_0296	178.993539156384	10.5973584235146	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	NA	intercompartmental	99.57805907173
HMR_0299	178.993539156384	10.5973584235146	Transport, extracellular	19.1	NA	intercompartmental	99.57805907173
C161CPT1	178.991154251042	10.6570772056957	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	carnitine shuttle	[c]	99.5443037974684
UDPGALtg	178.989019570703	10.6569500066555	Transport, golgi apparatus	7355.1	NA	intercompartmental	99.5274261603376
HMR_0347	178.980539298454	10.5976388865632	Transport, extracellular	19.1	NA	intercompartmental	99.5105485232068
HMR_0436	178.936662923207	10.5978026904133	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	NA	intercompartmental	99.4936708860759
