del_rxnID_KO	prctile_CP	prctile_PC	prctile_CB	prctile_BC	prctile_CBR	prctile_BRC	prctile_CBNR	prctile_BNRC	subSystem_CP	subSystem_PC	subSystem_CB	subSystem_BC	subSystem_CBR	subSystem_BRC	subSystem_CBNR	subSystem_BNRC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CB	MetabolicUnits_BC	MetabolicUnits_CBR	MetabolicUnits_BRC	MetabolicUnits_CBNR	MetabolicUnits_BNRC	Localization_CP	Localization_PC	Localization_CB	Localization_BC	Localization_CBR	Localization_BRC	Localization_CBNR	Localization_BNRC
KYNATEtr2	76.154342912496	19.7334256534533	35.4640839386602	92.7825108503456	89.2066569720472	13.8516243736868	69.3834732085216	79.9159120310479	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_i[e]	75.783015821763	21.5682880387745	54.2534301856336	93.6183893264748	61.5285183389885	93.32471310813	69.3834732085216	69.5504527813713	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
NAIt	75.783015821763	21.5682880387745	54.2534301856336	93.6183893264748	61.5285183389885	93.32471310813	69.3834732085216	69.5504527813713	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
HMR_6854	75.783015821763	24.1821014367319	54.2534301856336	81.5785243529979	61.5285183389885	93.32471310813	69.3834732085216	69.5504527813713	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
r0360	74.9596383597029	33.1660031158041	49.6529459241324	91.3357981031988	89.2228146711908	75.658639081946	66.8011620400258	70.650064683053	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
r0361	74.9596383597029	45.3176389129306	54.3987086359968	91.4804693779135	99.1597996445306	73.4928074995959	70.9812782440284	70.650064683053	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
r1516	74.8789150791088	51.2376666089666	98.6117836965295	47.4682526924932	82.4850541282921	53.9679974139324	58.505487411233	58.748382923674	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
HMR_2657	74.765902486277	74.2253764929894	77.5141242937853	27.3428709210738	80.1745031507513	37.6596088572814	62.3950936087799	51.9404915912031	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
LCADim	73.7810784630287	29.9290289077376	35.7869249394673	71.8694743610352	74.5677815479076	97.3331178277032	62.8954163976759	0.905562742561449	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[m]
HMR_8505	73.7810784630287	29.9290289077376	35.7869249394673	71.8694743610352	74.5677815479076	97.3331178277032	62.8954163976759	0.905562742561449	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
UDPGLCURtr	73.7326444946723	44.8156482603427	95.9644874899112	93.5540909821572	69.946679592826	90.9002747696784	72.869593285991	67.8201811125485	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_udpglcur[e]	73.7326444946723	44.8156482603427	95.9644874899112	93.5540909821572	69.946679592826	90.9002747696784	72.869593285991	67.8201811125485	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
CYTDK1	72.4087826929286	12.2381859096417	52.0096852300242	62.4658415045813	58.4585555016966	95.6036851462744	72.869593285991	60.9152652005175	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
INSTt4_2	71.5369712625121	68.0976285269171	78.3373688458434	58.7043883619997	56.8266278881887	95.1511233230968	61.8302130406714	61.901681759379	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_prpp[e]	71.181788827898	54.422710749524	92.3325262308313	57.1773026844559	55.4693811601228	95.2804267011476	59.2156229825694	59.6377749029754	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
r0051	71.181788827898	54.422710749524	92.3325262308313	57.1773026844559	55.4693811601228	95.2804267011476	59.2156229825694	59.6377749029754	Purine catabolism	Purine catabolism	Purine catabolism	Purine catabolism	Purine catabolism	Purine catabolism	Purine catabolism	Purine catabolism	purine salvage	purine salvage	purine salvage	purine salvage	purine salvage	purine salvage	purine salvage	purine salvage	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
CYSO	70.9234743299968	65.5184351739657	78.2243744955609	77.7688474521781	99.9030538051382	59.7704865039599	68.7217559715946	63.6642949547219	Taurine and hypotaurine metabolism	Taurine and hypotaurine metabolism	Taurine and hypotaurine metabolism	Taurine and hypotaurine metabolism	Taurine and hypotaurine metabolism	Taurine and hypotaurine metabolism	Taurine and hypotaurine metabolism	Taurine and hypotaurine metabolism	cysteine and CoA metabolism	cysteine and CoA metabolism	cysteine and CoA metabolism	cysteine and CoA metabolism	cysteine and CoA metabolism	cysteine and CoA metabolism	cysteine and CoA metabolism	cysteine and CoA metabolism	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
O2Stm	70.3745560219567	44.6598580578155	51.81598062954	58.2382253656968	57.1336241719179	90.1244545013738	58.6184635248547	59.7994825355757	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_adn[e]	70.1485308362932	23.4723905141077	34.592413236481	56.1163800032149	80.4491840361932	95.1187974785841	62.4919302775984	59.4922380336352	Exchange	Exchange/demand reaction	Exchange	Exchange/demand reaction	Exchange	Exchange/demand reaction	Exchange	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
P45027A16m	69.9547949628673	53.6956898043967	49.7013720742534	NA	88.7542413960252	NA	65.2840542285345	NA	Bile acid synthesis	Bile acid synthesis	Bile acid synthesis	NA	Bile acid synthesis	NA	Bile acid synthesis	NA	cholesterol metabolism	cholesterol metabolism	cholesterol metabolism	NA	cholesterol metabolism	NA	cholesterol metabolism	NA	[m]	[m]	[m]	NA	[m]	NA	[m]	NA
MLTG1	69.341298030352	44.6598580578155	56.9168684422922	66.8220543321009	98.8204879625141	90.1244545013738	66.4138153647514	79.8673997412678	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	glycogen metabolism	glycogen metabolism	glycogen metabolism	glycogen metabolism	glycogen metabolism	glycogen metabolism	glycogen metabolism	glycogen metabolism	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
RE0915C	69.341298030352	44.6598580578155	56.9168684422922	93.7791351872689	98.8204879625141	90.1244545013738	66.4138153647514	79.8673997412678	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
RE0926E	69.341298030352	44.6598580578155	56.9168684422922	81.4017039061244	98.8204879625141	90.1244545013738	66.4138153647514	79.8673997412678	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
RE0944E	69.341298030352	44.6598580578155	56.9168684422922	81.4017039061244	98.8204879625141	90.1244545013738	66.4138153647514	79.8673997412678	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
EX_malthp[e]	69.341298030352	44.6598580578155	49.5399515738499	81.4017039061244	98.8204879625141	90.1244545013738	66.4138153647514	79.8673997412678	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
MALTTTRt	69.341298030352	44.6598580578155	56.9168684422922	93.7791351872689	98.8204879625141	90.1244545013738	66.4138153647514	79.8673997412678	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
