del_rxnID_KO	prctile_CP	prctile_PC	prctile_CB	prctile_BC	prctile_CBR	prctile_BRC	prctile_CBNR	prctile_BNRC	subSystem_CP	subSystem_PC	subSystem_CB	subSystem_BC	subSystem_CBR	subSystem_BRC	subSystem_CBNR	subSystem_BNRC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CB	MetabolicUnits_BC	MetabolicUnits_CBR	MetabolicUnits_BRC	MetabolicUnits_CBNR	MetabolicUnits_BNRC	Localization_CP	Localization_PC	Localization_CB	Localization_BC	Localization_CBR	Localization_BRC	Localization_CBNR	Localization_BNRC
CRTSLt	79.7899778924097	20.8051016341172	69.7126013264554	91.5829145728643	77.2836316663591	70.9766415302557	74.0829493087558	96.6415856120389	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_crtsl[e]	79.7899778924097	20.8051016341172	69.7126013264554	91.5829145728643	77.2836316663591	70.9766415302557	74.0829493087558	96.6415856120389	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
r0541	79.7899778924097	67.3575129533679	85.280029476787	70.4414931801866	77.2836316663591	71.0502115137024	88.4055299539171	NA	Tryptophan metabolism	Tryptophan metabolism	Tryptophan metabolism	Tryptophan metabolism	Tryptophan metabolism	Tryptophan metabolism	Tryptophan metabolism	NA	lysine metabolism	lysine metabolism	lysine metabolism	lysine metabolism	lysine metabolism	lysine metabolism	lysine metabolism	NA	[m]	[m]	[m]	[m]	[m]	[m]	[m]	NA
BGAL1e	79.7899778924097	23.3758469509765	69.7126013264554	91.5829145728643	77.2836316663591	37.9621114585249	74.0829493087558	82.3270324830244	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	Sphingolipid metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
r0023	65.7516580692704	55.7791948983659	55.3610906411201	34.2785355348169	62.336224395645	65.054257862792	82.9861751152074	32.9234721967333	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
r0671	65.4384672070744	38.7604623355919	52.5239498894621	61.7372577171572	55.6560250968813	62.0194960456134	59.4101382488479	82.8041842539916	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	CoA synthesis	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
FACOAL245_1	65.2173913043478	68.6927062574731	51.105379513633	41.6367552045944	54.4380882081565	40.261173441236	88.1658986175115	37.4013580473481	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
PRDX	65.1989683124539	55.0617776006377	55.858511422255	63.6396267049533	58.793135264809	64.1162405738459	97.0138248847926	81.5929528353826	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
HMR_7628	65.0147383935151	56.317257871662	57.3691967575534	64.7882268485284	63.2219966783539	63.5092882104102	98.5990783410138	65.6450724903652	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
HMR_7756	65.0147383935151	56.317257871662	57.3691967575534	64.7882268485284	63.2219966783539	63.5092882104102	98.5990783410138	65.6450724903652	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	Phenylalanine metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
C226CPT2	64.5357406042741	43.8222399362296	88.9830508474576	7.39411342426418	58.7746816755859	32.4259702041567	97.8433179723502	29.7669297118737	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[m]
FACOAL181i	64.3146647015475	34.037465125548	73.3971997052321	59.2964824120603	62.6868425908839	NA	97.7511520737327	87.153606166269	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
EX_chsterol[e]	64.2962417096536	50.3985651654045	54.6610169491525	63.3165829145729	61.2474626314818	60.272208938753	87.741935483871	58.909891723252	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
r1050	64.2962417096536	63.8501394978079	54.6610169491525	63.3165829145729	61.2474626314818	60.272208938753	87.741935483871	58.909891723252	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
CYST_Ltr	64.0198968312454	36.2495017935432	84.3957258658806	58.9195979899497	45.5619117918435	60.5480963766783	96.9769585253456	91.6498440080749	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_cyst_L[e]	64.0198968312454	36.2495017935432	84.3957258658806	58.9195979899497	45.5619117918435	60.5480963766783	96.9769585253456	91.6498440080749	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
