del_rxnID_KO	prctile_CP	prctile_PC	prctile_CB	prctile_BC	prctile_CBR	prctile_BRC	prctile_CBNR	prctile_BNRC	subSystem_CP	subSystem_PC	subSystem_CB	subSystem_BC	subSystem_CBR	subSystem_BRC	subSystem_CBNR	subSystem_BNRC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CB	MetabolicUnits_BC	MetabolicUnits_CBR	MetabolicUnits_BRC	MetabolicUnits_CBNR	MetabolicUnits_BNRC	Localization_CP	Localization_PC	Localization_CB	Localization_BC	Localization_CBR	Localization_BRC	Localization_CBNR	Localization_BNRC
ABUTt2rL	79.9695740365112	52.9957805907173	91.7699724517906	25.9353741496599	67.7413640389725	26.1757638173704	66.1426639621366	51.9701086956522	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
sink_4abut[l]	79.9695740365112	52.9957805907173	91.7699724517906	25.9353741496599	67.7413640389725	26.1757638173704	66.1426639621366	51.9701086956522	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]	[l]	[l]
A_MANASEly	79.8174442190669	65.1814345991561	95.5406336088154	68.8945578231292	89.5128432240921	62.4957088911775	91.5314401622718	71.8919836956522	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	NA	NA	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]	[l]	[l]
B_MANNASEly	79.8174442190669	70.0253164556962	94.6797520661157	81.1904761904762	67.0682019486271	85.4788877445932	71.9574036511156	71.9259510869565	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	NA	NA	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]	[l]	[l]
MANtly	79.8174442190669	70.0253164556962	94.6797520661157	81.1904761904762	67.0682019486271	85.4788877445932	71.9574036511156	71.9259510869565	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
DCSPTN1CPT2	79.7498309668695	64.2194092827004	60.3477961432507	83.7074829931973	NA	69.3614830072091	73.9858012170385	75.6114130434783	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[m]
EX_q10h2[e]	79.7329276538202	77.1476793248945	98.2438016528926	81.7857142857143	66.3241806908769	84.8438036388603	92.1906693711967	97.6732336956522	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
Q10H2e	79.7329276538202	77.1476793248945	98.2438016528926	81.7857142857143	66.3241806908769	84.8438036388603	92.1906693711967	97.6732336956522	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
Coqe	79.6991210277214	78.0590717299578	94.8002754820937	73.3843537414966	66.8201948627104	81.9258496395469	96.9235970250169	97.5373641304348	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_q10[e]	79.6991210277214	78.0590717299578	94.8002754820937	73.3843537414966	66.8201948627104	81.9258496395469	96.9235970250169	97.5373641304348	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
