del_rxnID_KO	prctile_CP	prctile_PC	prctile_CB	prctile_BC	prctile_CBR	prctile_BRC	prctile_CBNR	prctile_BNRC	subSystem_CP	subSystem_PC	subSystem_CB	subSystem_BC	subSystem_CBR	subSystem_BRC	subSystem_CBNR	subSystem_BNRC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CB	MetabolicUnits_BC	MetabolicUnits_CBR	MetabolicUnits_BRC	MetabolicUnits_CBNR	MetabolicUnits_BNRC	Localization_CP	Localization_PC	Localization_CB	Localization_BC	Localization_CBR	Localization_BRC	Localization_CBNR	Localization_BNRC
B_MANNASEly	79.8174442190669	70.0253164556962	94.6797520661157	81.1904761904762	67.0682019486271	85.4788877445932	71.9574036511156	71.9259510869565	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	N-glycan degradation	NA	NA	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]	[l]	[l]
MANtly	79.8174442190669	70.0253164556962	94.6797520661157	81.1904761904762	67.0682019486271	85.4788877445932	71.9574036511156	71.9259510869565	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
FAOXC183C163Gm	79.6653144016227	55.0717299578059	40.2031680440771	40.187074829932	57.555358724535	95.5544112598696	66.9033130493577	66.8817934782609	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	betaoxidation	betaoxidation	betaoxidation	betaoxidation	betaoxidation	betaoxidation	betaoxidation	betaoxidation	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[m]
HMR_3349	79.5300878972279	77.1139240506329	66.9938016528926	70.6632653061224	73.1975199291408	91.0230003432887	71.6024340770791	76.8002717391304	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	NA	NA	NA	NA	NA	NA	NA	NA	[x]	[x]	[x]	[x]	[x]	[x]	[x]	[x]
HMR_3448	79.394861392833	62.3459915611814	67.0110192837465	59.4047619047619	91.5677590788308	49.9485066941298	70.2332657200811	54.3817934782609	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	NA	NA	NA	NA	NA	NA	NA	NA	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[m]
HMR_3339	79.3779580797836	76.9789029535865	96.6425619834711	96.6326530612245	61.8954827280779	90.9543426021284	75.8113590263692	71.5353260869565	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	NA	NA	NA	NA	NA	NA	NA	NA	[x]	[x]	[x]	[x]	[x]	[x]	[x]	[x]
EX_idp[e]	78.6511156186613	61.957805907173	60.8643250688705	80.3571428571429	66.2887511071745	93.254376930999	75.9296822177147	70.2615489130435	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
r0181	78.6511156186613	61.957805907173	60.8643250688705	80.3571428571429	66.2887511071745	93.254376930999	75.9296822177147	70.2615489130435	Purine catabolism	Purine catabolism	Purine catabolism	Purine catabolism	Purine catabolism	Purine catabolism	Purine catabolism	Purine catabolism	purine catabolism, cytosol	purine catabolism, cytosol	purine catabolism, cytosol	purine catabolism, cytosol	purine catabolism, cytosol	purine catabolism, cytosol	purine catabolism, cytosol	purine catabolism, cytosol	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
HMR_7898	78.6511156186613	61.957805907173	60.8643250688705	80.3571428571429	66.2887511071745	93.254376930999	75.9296822177147	70.2615489130435	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
DOPAMT	78.6004056795132	67.2067510548523	93.0440771349862	80.2891156462585	62.0549158547387	87.1438379677309	67.6808654496281	73.6243206521739	Tyrosine metabolism	Tyrosine metabolism	Tyrosine metabolism	Tyrosine metabolism	Tyrosine metabolism	Tyrosine metabolism	Tyrosine metabolism	Tyrosine metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
