del_rxnID_KO	prctile_CP	prctile_PC	prctile_CB	prctile_BC	prctile_CBR	prctile_BRC	prctile_CBNR	prctile_BNRC	subSystem_CP	subSystem_PC	subSystem_CB	subSystem_BC	subSystem_CBR	subSystem_BRC	subSystem_CBNR	subSystem_BNRC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CB	MetabolicUnits_BC	MetabolicUnits_CBR	MetabolicUnits_BRC	MetabolicUnits_CBNR	MetabolicUnits_BNRC	Localization_CP	Localization_PC	Localization_CB	Localization_BC	Localization_CBR	Localization_BRC	Localization_CBNR	Localization_BNRC
KYNATEtr2	76.154342912496	19.7334256534533	35.4640839386602	92.7825108503456	89.2066569720472	13.8516243736868	69.3834732085216	79.9159120310479	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
NAIt	75.783015821763	21.5682880387745	54.2534301856336	93.6183893264748	61.5285183389885	93.32471310813	69.3834732085216	69.5504527813713	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
r0360	74.9596383597029	33.1660031158041	49.6529459241324	91.3357981031988	89.2228146711908	75.658639081946	66.8011620400258	70.650064683053	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
r0361	74.9596383597029	45.3176389129306	54.3987086359968	91.4804693779135	99.1597996445306	73.4928074995959	70.9812782440284	70.650064683053	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
r1516	74.8789150791088	51.2376666089666	98.6117836965295	47.4682526924932	82.4850541282921	53.9679974139324	58.505487411233	58.748382923674	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
UDPGLCURtr	73.7326444946723	44.8156482603427	95.9644874899112	93.5540909821572	69.946679592826	90.9002747696784	72.869593285991	67.8201811125485	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
INSTt4_2	71.5369712625121	68.0976285269171	78.3373688458434	58.7043883619997	56.8266278881887	95.1511233230968	61.8302130406714	61.901681759379	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
MLTG1	69.341298030352	44.6598580578155	56.9168684422922	66.8220543321009	98.8204879625141	90.1244545013738	66.4138153647514	79.8673997412678	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	glycogen metabolism	glycogen metabolism	glycogen metabolism	glycogen metabolism	glycogen metabolism	glycogen metabolism	glycogen metabolism	glycogen metabolism	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
RE0915C	69.341298030352	44.6598580578155	56.9168684422922	93.7791351872689	98.8204879625141	90.1244545013738	66.4138153647514	79.8673997412678	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	NA	NA	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]	[c]	[c]
RE0926E	69.341298030352	44.6598580578155	56.9168684422922	81.4017039061244	98.8204879625141	90.1244545013738	66.4138153647514	79.8673997412678	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	alpha-amylase, glucose, extracellular space	[e]	[e]	[e]	[e]	[e]	[e]	[e]	[e]
