rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization	RxnFormula
3SALATAi	Methionine and cysteine metabolism	2805.1	20	35	0.571428571428571	H	cysteine metabolism	[c]	h[c] + akg[c] + 3sala[c]  -> glu_L[c] + 3snpyr[c] 
3SALATAim	Methionine and cysteine metabolism	2806.1	20	35	0.571428571428571	H	NA	[m]	h[m] + akg[m] + 3sala[m]  -> glu_L[m] + 3snpyr[m] 
3SPYRSP	Methionine and cysteine metabolism		20	35	0.571428571428571	H	cysteine metabolism	[c]	h2o[c] + 3snpyr[c]  -> h[c] + pyr[c] + so3[c] 
3SPYRSPm	Methionine and cysteine metabolism		20	35	0.571428571428571	H	NA	[m]	h2o[m] + 3snpyr[m]  -> h[m] + pyr[m] + so3[m] 
5AOPt	Transport, extracellular		377.076433386037	225	1.6758952594935	L	NA	intercompartmental	2 h[c] + 5aop[c]  <=> 2 h[e] + 5aop[e] 
5AOPtm	Heme synthesis		397.489570570045	225	1.76662031364464	L	NA	intercompartmental	5aop[c]  <=> 5aop[m] 
ASNCYSCYSr	Peptide metabolism		10	20	0.5	H	NA	[c]	2 h2o[c] + asncyscys[c]  <=> asn_L[c] + 2 cys_L[c] 
ASNCYSCYSt	Transport, extracellular	6564.1 or 6565.1	10	20	0.5	H	NA	intercompartmental	h[e] + asncyscys[e]  <=> h[c] + asncyscys[c] 
BGAL1e	Sphingolipid metabolism	2720.1	119.823745064862	180.114213197969	0.665265349898622	H	NA	[e]	h2o[e] + galgluside_hs[e]  -> gal[e] + gluside_hs[e] 
C06314t	Transport, extracellular		0	20	0	H	NA	intercompartmental	h[c] + C06314[c]  <=> h[e] + C06314[e] 
C06315t	Transport, extracellular		0	20	0	H	NA	intercompartmental	h[c] + C06315[c]  <=> h[e] + C06315[e] 
CE2510ABCt	Transport, extracellular	376497.1 or 11001.1 or 11000.1 or 10999.1 or 10998.1 or 28965.1	0	346.099830795262	0	H	NA	intercompartmental	h2o[c] + atp[c] + CE2510[e]  -> h[c] + adp[c] + pi[c] + CE2510[c] 
CE4890te	Transport, extracellular	222962.1	2000	0	Inf	L	NA	intercompartmental	h[c] + CE4890[c]  <=> h[e] + CE4890[e] 
CERT1rt	Transport, endoplasmic reticular	10087.1	123.712633953749	180.11421319797	0.686856588145948	H	NA	intercompartmental	crm_hs[c]  <=> crm_hs[r] 
CRVNCtr	Transport, extracellular		2000	20	100	L	NA	intercompartmental	crvnc[e]  <=> crvnc[c] 
CYSCYSr	Peptide metabolism		10	20	0.5	H	NA	[c]	h2o[c] + cyscys[c]  <=> 2 cys_L[c] 
CYSCYSt	Transport, extracellular	6564.1 or 6565.1	10	20	0.5	H	NA	intercompartmental	h[e] + cyscys[e]  <=> h[c] + cyscys[c] 
CYSO	Taurine and hypotaurine metabolism	1036.1	20	35	0.571428571428571	H	cysteine and CoA metabolism	[c]	o2[c] + cys_L[c]  -> 2 h[c] + 3sala[c] 
CYSTA	Methionine and cysteine metabolism	2805.1	20	37.5	0.533333333333333	H	NA	[c]	akg[c] + cys_L[c]  <=> glu_L[c] + mercppyr[c] 
DM_Lcystin	Exchange/demand reaction		10	20	0.5	H	NA	[c]	Lcystin[c]  -> 
DURAD2	Pyrimidine catabolism	1806.1	0	20	0	H	pyrimidine synthesis/ de novo	[c]	nadp[c] + 56dthm[c]  <=> h[c] + nadph[c] + thym[c] 
EX_5aop[e]	Exchange/demand reaction		377.076433386036	225	1.67589525949349	L	NA	[e]	5aop[e]  -> 
EX_C06314[e]	Exchange/demand reaction		0	20	0	H	NA	[e]	C06314[e]  -> 
