subSystem	n.x	n.y	p.val	p.val.fdr
Transport, extracellular	16	1338	0.979714054015019	0.979714054015019
Fatty acid synthesis	2	185	0.848794417618882	0.898723501008228
Transport, mitochondrial	4	245	0.643527103622368	0.723967991575164
Transport, endoplasmic reticular	2	111	0.594112530816728	0.712935036980073
Bile acid synthesis	1	36	0.478288791002481	0.614942731288904
Exchange/demand reaction	19	982	0.389353947119639	0.539105465242577
Vitamin A metabolism	1	23	0.339803341220206	0.509705011830309
Peptide metabolism	6	242	0.263342229679707	0.430923648566793
Glutamate metabolism	1	13	0.20902145081949	0.376238611475081
Heme synthesis	1	10	0.16500178669796	0.376238611475081
NAD metabolism	1	12	0.194609788395739	0.376238611475081
Pyrimidine synthesis	1	12	0.194609788395739	0.376238611475081
Triacylglycerol synthesis	1	5	0.0861819181665511	0.376238611475081
Tyrosine metabolism	2	39	0.153218757720026	0.376238611475081
Transport, peroxisomal	3	87	0.202770347304544	0.376238611475081
Miscellaneous	4	107	0.123661145469108	0.376238611475081
Oxidative phosphorylation	2	7	0.00625575092337482	0.0563017583103734
Fatty acid oxidation	37	767	3.82501797164437e-09	6.88503234895987e-08
