rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization	RxnFormula
ABTD1	Pentose phosphate pathway		0	45	0	H	HMP shunt	[c]	nad[c] + abt_D[c]  <=> h[c] + nadh[c] + xylu_L[c] 
C160CPT2	Fatty acid oxidation	1376.1 or 1374.1	60	95	0.631578947368421	H	carnitine shuttle	[m]	coa[m] + pmtcrn[m]  <=> crn[m] + pmtcoa[m] 
C60CPT1	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	2000	108.465313028765	18.4390746142926	L	carnitine shuttle	[c]	crn[c] + hxcoa[c]  <=> coa[c] + c6crn[c] 
DGULND	Pentose phosphate pathway		0	45	0	H	vitamin c metabolism, cytosol	[c]	h[c] + 3dhguln[c]  <=> co2[c] + xylu_L[c] 
FAOXC10C10OHm	Fatty acid oxidation	34.1 and 1892.1	415.05329153605	552.25	0.751567752894613	H	betaoxidation	[m]	h2o[m] + fad[m] + dcacoa[m]  -> fadh2[m] + 3hdcoa[m] 
FAOXC12C12OHm	Fatty acid oxidation	34.1 and 1892.1	415.05329153605	552.25	0.751567752894613	H	betaoxidation	[m]	h2o[m] + fad[m] + ddcacoa[m]  -> fadh2[m] + 3hddcoa[m] 
FAOXC162C142m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	32	20	1.6	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + hexddcoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + tetdecdicoa[m] 
FAOXC182806m	Fatty acid oxidation	34.1 or 35.1	32	20	1.6	L	betaoxidation	[m]	5 h2o[m] + 5 nad[m] + 5 coa[m] + 3 fad[m] + lnlccoa[m]  -> 5 h[m] + 5 nadh[m] + 5 accoa[m] + 3 fadh2[m] + occoa[m] 
FAOXC182C162m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	32	20	1.6	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + lnlccoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + hexddcoa[m] 
FAOXC204	Fatty acid oxidation	35.1 or 35.1 or 34.1 or 34.1	25	10	2.5	L	betaoxidation	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 5 fad[m] + arachdcoa[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 5 fadh2[m] 
GULN3D	Pentose phosphate pathway		0	45	0	H	glucuronic acid metabolism, cytosol	[c]	nad[c] + guln[c]  <=> h[c] + nadh[c] + 3dhguln[c] 
HMR_3070	Fatty acid oxidation	8310.1 or 51.1	0	90	0	H	NA	[x]	o2[x] + arachcoa[x]  -> h2o2[x] + CE2243[x] 
HMR_3071	Fatty acid oxidation	1962.1	0	90	0	H	NA	[x]	h2o[x] + CE2243[x]  -> CE2247[x] 
HMR_3072	Fatty acid oxidation	1962.1 or 3295.1	0	90	0	H	NA	[x]	nad[x] + CE2247[x]  -> h[x] + nadh[x] + CE2251[x] 
HMR_3073	Fatty acid oxidation	30.1 or 4645.1	0	90	0	H	NA	[x]	coa[x] + CE2251[x]  -> accoa[x] + stcoa[x] 
