del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula
10FTHF6GLUtm	308.248363367636	16.7201308816129	Transport, mitochondrial		NA	intercompartmental	
10FTHF7GLUtl	308.248363367636	16.7201308816129	Transport, lysosomal		NA	intercompartmental	
10FTHFtl	308.248363367636	16.7201308816129	Transport, lysosomal		NA	intercompartmental	
10FTHFtm	NaN	NaN	Transport, mitochondrial		NA	intercompartmental	
13DAMPPOX	218.742590073345	7.18851615028417	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]	
2AMACHYD	443.112594618693	14.385330326548	Glycine, serine, alanine, and threonine metabolism	10993.1	glycine metabolism	[c]	
2HBO	401.407513518715	13.0311055186025	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]	
2HBt2	261.083475251113	16.9855846468775	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental	
2HCO3_NAt	19.2622576467697	15.7814514235491	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	
2OXOADOXm	161.94956690109	7.18889625024047	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]	
2OXOADPTm	284.274781424987	21.6445272272534	Tryptophan metabolism	89874.1	NA	intercompartmental	
34DHOXPEGOX	321.055002139705	10.4219422845415	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHOXPEGt	321.055002139705	10.4219422845415	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental	
34DHPHAMT	386.749494757439	13.4006421875451	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]	
34DHPHEt	443.112594622892	14.385330326548	Transport, extracellular	117247.1	NA	intercompartmental	
34DHPLACOX	1.77425208110231	12.0132141492966	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]	
34DHPLACOX_NADP_	1.46783851143244	9.86667286900426	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]	
34DHXMANDACOX_NADP_	443.112594619162	14.3853303265479	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34HPLFM	206.092624379488	12.6094281651633	Ubiquinone synthesis		NA	[m]	
3AIBTm	NaN	NaN	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]	
3AIBtmi	NaN	NaN	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental	
3DSPHR	26.4071933453355	6.72109667088758	Sphingolipid metabolism	2531.1	new to recon	[c]	
3HBCDm	412.794345399013	13.4008525568912	Butanoate metabolism	55268.1	lysine metabolism	[m]	
3HBCOAHLm	225.070942452767	12.6060337676636	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]	
3M4HDXPAC	321.055002146917	10.4219422845416	Tyrosine metabolism	218.1 or 221.1 or 222.1 or 220.1	NA	[c]	
3MLDAt	622.050955766265	20.2214245908852	Transport, extracellular		histidine metabolism, cytosol	intercompartmental	
3MOBt2im	13.5699381704183	20.0920218273265	Transport, mitochondrial		NA	intercompartmental	
3MOX4HOXPGALDOX	1.12458005842805	8.6225674613267	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
3MOX4HOXPGALDOX_NADP_	1.12458005842805	8.6225674613267	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
3MOXTYROX	321.055002146917	10.4219422845416	Tyrosine metabolism	4128.1 or 4129.1	NA	[c]	
3SALAASPm	16.9939752399206	11.7089921136259	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental	
3SALATAi	354.09030953846	12.1921695882397	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]	
3SALATAim	250.618725590339	8.87120124209628	Methionine and cysteine metabolism	2806.1	NA	[m]	
3SPYRSP	354.09030953846	12.1921695882397	Methionine and cysteine metabolism		cysteine metabolism	[c]	
3SPYRSPm	250.618725590339	8.87120124209628	Methionine and cysteine metabolism		NA	[m]	
41R1H2MAE12BOOX	443.112594618693	14.385330326548	Tyrosine metabolism	4128.1 or 4129.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
