del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula
10FTHF5GLUtm	0.00354650305240227	0.00413120197392264	Transport, mitochondrial		NA	intercompartmental	
10FTHF7GLUtl	0.00354650305240227	0.00413120197392264	Transport, lysosomal		NA	intercompartmental	
10FTHFtl	0.00354650305240227	0.00413120197392264	Transport, lysosomal		NA	intercompartmental	
10FTHFtm	0.000972049631031662	-0.841267641539968	Transport, mitochondrial		NA	intercompartmental	
13DAMPPOX	0.152053265991063	0.00808734127169178	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]	
2HBO	0.15205345085335	0.00808734138655414	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]	
2HBt2	0.00125685830210275	-0.0287419015414132	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental	
2HCO3_NAt	0.00884498403732356	1.91752269739706	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	
2OXOADOXm	0.152056596875389	0.00808734334126105	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]	
2OXOADPTm	0.00154885602557025	-0.00165222673060226	Tryptophan metabolism	89874.1	NA	intercompartmental	
34DHOXPEGOX	0.152056416800987	0.00808734322937823	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHOXPEGt	0.152056416800987	0.00808734322937823	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental	
34DHPHAMT	0.152058087804471	0.00808734426758657	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]	
34DHPHEt	0.152053265991063	0.00808734127169178	Transport, extracellular	117247.1	NA	intercompartmental	
34DHPLACOX	-0.000579350553067351	-0.235921566105604	Tyrosine metabolism	218.1 or 222.1 or 220.1 or 221.1	NA	[c]	
34DHPLACOX_NADP_	-0.000579350553067351	-0.235921566105604	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]	
34DHXMANDACOX	-0.000334894369534716	-0.787241416717127	Tyrosine metabolism	221.1 or 218.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHXMANDACOX_NADP_	-0.000334894369534716	-0.787241416717127	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34HPLFM	0.00616959799983776	0.00581044682598941	Ubiquinone synthesis		NA	[m]	
3AIBTm	0.00124033558874329	-0.00134011166363961	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]	
3AIBtmi	0.00124033558874329	-0.00134011166363961	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental	
3DSPHR	-0.00372749820613319	-0.0531469934751826	Sphingolipid metabolism	2531.1	new to recon	[c]	
