del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula
10FTHF7GLUtl	143.303743102827	6.71038096189465	Transport, lysosomal		NA	intercompartmental	
10FTHF7GLUtm	143.303743102827	6.71038096189465	Transport, mitochondrial		NA	intercompartmental	
10FTHFtl	143.303743102827	6.71038096189465	Transport, lysosomal		NA	intercompartmental	
10FTHFtm	1.331245102212	5.64829290573505	Transport, mitochondrial		NA	intercompartmental	
13DAMPPOX	133.421584775176	5.58955792466652	Beta-Alanine metabolism	8639.1 or 26.1 or 314.2 or 314.1	NA	[c]	
2HBO	NaN	NaN	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]	
2HBt2	7.0134792049579	7.08462104132359	Transport, extracellular	9123.1 or 9194.1 or 6566.1	NA	intercompartmental	
2HCO3_NAt	8.4917522659005	4.10544760314229	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	
2OXOADOXm	148.631177219793	6.3047228773666	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]	
2OXOADPTm	111.65865408994	6.00959395810274	Tryptophan metabolism	89874.1	NA	intercompartmental	
34DHOXPEGOX	160.149963561031	6.71083054468576	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHOXPEGt	160.149963561031	6.71083054468576	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental	
34DHPHAMT	170.659456750992	7.24873157695435	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]	
34DHPHEt	8.44873696064466	4.78986091501454	Transport, extracellular	117247.1	NA	intercompartmental	
34DHPLACOX_NADP_	224.651275252326	9.77985471712256	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]	
34DHXMANDACOX_NADP_	133.421584776008	5.58955792466648	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34HPLFM	73.8544056937283	3.61911070897578	Ubiquinone synthesis		NA	[m]	
35CGMPtn	133.103900143308	5.72007348498621	Transport, nuclear		NA	intercompartmental	
3AIBTm	116.742391106983	6.01526379808137	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]	
3AIBtmi	116.742391106983	6.01526379808137	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental	
3DSPHR	151.466299839447	7.22166989407592	Sphingolipid metabolism	2531.1	new to recon	[c]	
3HBCDm	115.993678617846	4.94839275465909	Butanoate metabolism	55268.1	lysine metabolism	[m]	
3HBCOAHLm	119.876180265988	5.65123480773861	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]	
3M4HDXPAC	110.168911453084	4.61409337634952	Tyrosine metabolism	218.1 or 221.1 or 222.1 or 220.1	NA	[c]	
3MLDAt	121.916597258643	5.10907256239878	Transport, extracellular		histidine metabolism, cytosol	intercompartmental	
3MOBt2im	11.1324661575299	6.29746604863688	Transport, mitochondrial		NA	intercompartmental	
3MOX4HOXPGALDOX	9.11808595026392	5.93578314836342	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
3MOX4HOXPGALDOX_NADP_	9.11808595026392	5.93578314836342	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
3MOXTYROX	110.168911453084	4.61409337634952	Tyrosine metabolism	4128.1 or 4129.1	NA	[c]	
3SALAASPm	11.5533532901903	5.71827504499329	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental	
3SALATAi	132.24159282938	5.54005650621999	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]	
3SALATAim	158.61000117403	6.64754864224122	Methionine and cysteine metabolism	2806.1	NA	[m]	
3SPYRSP	132.24159282938	5.54005650621999	Methionine and cysteine metabolism		cysteine metabolism	[c]	
3SPYRSPm	158.61000117403	6.64754864224122	Methionine and cysteine metabolism		NA	[m]	
41R1H2MAE12BOOX	133.421584775176	5.58955792466652	Tyrosine metabolism	4128.1 or 4129.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
41R2A1H12BOOX	163.459063433378	6.84964940511794	Tyrosine metabolism	4128.1 or 4129.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
42A12BOOX	133.552162188559	5.59503573084727	Tyrosine metabolism	4129.1 or 8639.1 or 26.1 or 314.2 or 314.1 or 4128.1	NA	[c]	
4ABUTtm	26.7965690727282	5.7155933408601	Transport, mitochondrial		NA	intercompartmental	
4HGLSDm	4.97615099205051	7.5518664424633	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]	
4HOXPACDOX_NADP_	6.60452564536101	5.9488589168553	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	NA	[c]	
5ADTSTSTERONESte	133.421584775176	5.58955792466652	Transport, extracellular		NA	intercompartmental	
5ADTSTSTERONEte	133.421584775176	5.58955792466652	Transport, extracellular		NA	intercompartmental	
5AOPtm	109.0364171311	6.81544645061609	Heme synthesis		NA	intercompartmental	
5HOXINOXDA	133.552162189303	5.59503573084723	Tryptophan metabolism	4128.1 or 4129.1	tryptophan degradation, cytosol/ tryptophan decarboxylase	[c]	
5MTHFt	22.2507819239239	6.3625907900428	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental	
5MTHFt2	24.9848314971846	7.25380364357423	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental	
6THFtm	129.64322861717	5.88526116220086	Transport, mitochondrial		NA	intercompartmental	
7DHCHSTEROLtr	55.6743347891011	6.00009752392937	Transport, endoplasmic reticular		NA	intercompartmental	
7DHFtl	127.568091695934	6.01066765242878	Transport, lysosomal		NA	intercompartmental	
7THFtl	134.805526843632	6.01101263245404	Transport, lysosomal		NA	intercompartmental	
A_MANASEly	125.670693667555	5.26440307522751	N-glycan degradation	4125.1	NA	[l]	
A4GALTg	171.330896566709	7.17987785002778	Sphingolipid metabolism	53947.1	NA	[g]	
AATAi	165.405976611309	7.24815828955795	Lysine metabolism	51166.1 or 51166.2	NA	[c]	
ABO9g	145.239607594643	6.08533155587867	Blood group synthesis	28.1	NA	[g]	
ABTArm	26.7965690727282	5.7155933408601	Glutamate metabolism	18.1 or 18.2	GABA aminotransferase	[m]	
ABTD	133.421584775176	5.58955792466652	Pentose phosphate pathway		NA	[c]	
ABUTt2rL	50.9398286009353	7.23885405785863	Transport, lysosomal	206358.1	NA	intercompartmental	
ABUTt4_2_r	4.99588744545514	4.74984757713449	Transport, extracellular	6529.1 or 6538.1 or 6540.1 or 6539.1	NA	intercompartmental	
ACACT10m	44.4810390548313	5.69718863553604	Valine, leucine, and isoleucine metabolism	38.1 or 3032.1 or 10449.1	isoleucine metabolism	[m]	
ACACT1rm	7.13513207467311	8.06176329886685	Tryptophan metabolism	(3030.1 and 3032.1) or 38.1	NA	[m]	
ACACT1x	149.448309413565	6.21766865281333	Cholesterol metabolism	39.1	NA	[x]	
ACACt2m	88.6769499721456	4.61551006428871	Transport, mitochondrial	6566.1	NA	intercompartmental	
ACACT4p	17.9457529163124	5.66077960304906	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACT5p	NaN	NaN	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACT6p	143.690253678554	6.01151384790996	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACT7p	143.690253678554	6.01151384790996	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACT8p	120.536580060565	7.17154100580085	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACT9p	133.552162188279	5.5950357308473	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACtx	53.5862005732043	7.59120330032197	Transport, peroxisomal		NA	intercompartmental	
ACALDtm	NaN	NaN	Transport, mitochondrial		NA	intercompartmental	
ACCOACm	20.5389391436754	5.97827712529272	Fatty acid oxidation	32.1	fatty acid synthesis & elongation	[m]	
ACCOAtn	2.03425809297342	5.61767074456416	Transport, nuclear		NA	intercompartmental	
ACETONEt2	14.6489709840458	8.22406168272117	Transport, extracellular	6566.1 or 9123.1 or 9194.1	NA	intercompartmental	
ACETONEt2m	14.6489709840458	8.22406168272117	Transport, mitochondrial	6566.1	NA	intercompartmental	
ACGALK	151.126218464749	6.21643649276837	Aminosugar metabolism		NA	[c]	
ACGALtly	137.529422174543	5.7200892435383	Transport, lysosomal		NA	intercompartmental	
ACGAM6PSi	16.9944583096903	9.65309253300641	Aminosugar metabolism	64841.1	amino sugar metabolism	[c]	
ACGAMPM	16.9944583096903	9.65309253300641	Aminosugar metabolism	5238.1	amino sugar metabolism	[c]	
ACGAMtly	2.83076449669829	5.33763954622682	Transport, lysosomal		NA	intercompartmental	
ACGPID	173.656323905644	7.2431648794003	Phosphatidylinositol phosphate metabolism	9487.1	NA	[c]	
ACHtn	2.03425809297342	5.61767074456416	Transport, nuclear		NA	intercompartmental	
ACITL	NaN	NaN	Citric acid cycle	47.1 or 47.2	ATP-citrate lyase, cytosol	[c]	
ACNACNGAL14ACGLCGALGLUSIDEte	136.532691536098	5.72007084711815	Transport, extracellular		NA	intercompartmental	
ACNACNGAL14ACGLCGALGLUSIDEtg	170.580014458419	7.14837786431671	Transport, golgi apparatus		NA	intercompartmental	
ACNACNGALGBSIDEte	171.330896566709	7.17987785002778	Transport, extracellular		NA	intercompartmental	
ACNACNGALGBSIDEtg	171.330896566709	7.17987785002778	Transport, golgi apparatus		NA	intercompartmental	
ACNAMlt	10.1500216439357	5.95172963054282	Transport, lysosomal	26503.1	NA	intercompartmental	
ACNAMtn	127.712686646736	6.01125117693944	Transport, nuclear		NA	intercompartmental	
ACNGALACGLCGAL14ACGLCGALGLUSIDEte	148.270036241031	6.2124599798281	Transport, extracellular		NA	intercompartmental	
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg	143.479461808665	6.01149231214376	Transport, golgi apparatus		NA	intercompartmental	
ACNMLr	12.3334142050414	7.12312573069252	Aminosugar metabolism		NA	[c]	
ACOAD10m	91.742725337706	5.7168873324642	Valine, leucine, and isoleucine metabolism	36.1 or 34.1	isoleucine metabolism	[m]	
ACOAD1fm	157.780271879272	6.61307696965241	Butanoate metabolism	80724.1 or 36.1 or 35.1 or 34.1 or 84129.1 or 27034.1 or 28976.1	NA	[m]	
ACOAD8m	144.132120764909	6.07981434019741	Valine, leucine, and isoleucine metabolism	3712.1	leucine metabolism	[m]	
ACOAD9m	102.30722114866	7.24809886685261	Valine, leucine, and isoleucine metabolism	34.1 or 27034.1	valine metabolism	[m]	
ACOAO7p	143.690253678554	6.01151384790996	Fatty acid oxidation	51.1 or 51.2	betaoxidation	[x]	
ACONTm	2.25659637739061	5.27344152177675	Citric acid cycle	50.1 or 48.1	TCA cycle, mitochondria	[m]	
ACP1_FMN_	100.028752423651	6.71444648503938	Vitamin B2 metabolism	52.1 or 52.3 or 52.2 or 55.1 or 51205.1 or 54.1	vitamin b2 metabolism	[c]	
ACS2	140.701094398464	5.89126705848598	Propanoate metabolism	55902.1 or 65985.1 or 55902.2	fatty acid activation, cytosol	[c]	
ACt2m	16.0093933446729	5.57678652281822	Transport, mitochondrial		NA	intercompartmental	
ACt2r	1.90887588235045	4.19695298899905	Transport, extracellular		NA	intercompartmental	
ACtg	143.348884394767	6.00601450596296	Transport, golgi apparatus		NA	intercompartmental	
ADCim	14.6489709840458	8.22406168272117	Propanoate metabolism		ketogenesis	[m]	
ADEt	30.82890417092	5.70745317474126	Transport, extracellular	3177.1	NA	intercompartmental	
ADK1m	3.11940014299761	5.3747791266953	Nucleotide interconversion	205.3 or 205.1 or 204.1 or 204.3 or 204.2 or 205.2	adenylate kinase	[m]	
ADK3	1.49869776456821	5.7538195140313	Nucleotide interconversion	26289.1 or 26289.2	purine synthesis, cytosol	[c]	
ADK3m	3.54464499157484	5.76405784530576	Nucleotide interconversion	50808.1	purine synthesis, cytosol	[m]	
ADKd	2.64991016527036	5.38871307250422	Nucleotide interconversion	26289.2 or 26289.1	purine synthesis, cytosol	[c]	
ADNCYC	199.926594167979	7.87960700632661	Nucleotide interconversion	112.1 or 55811.1 or 109.1 or 112.2 or 114.1 or 108.1 or 113.1 or 107.1 or 196883.1 or 115.1 or 111.1	purine synthesis, cytosol	[c]	
ADNt	15.0857267034259	8.66075864200702	Transport, extracellular	3177.1 or 2030.1	NA	intercompartmental	
ADNtl	84.686324308562	6.1414442798462	Transport, lysosomal	55315.1	NA	intercompartmental	
ADNtm	35.6399455824286	5.87824023372885	Transport, mitochondrial	2030.1	NA	intercompartmental	
ADPtx	3.9437415316905	6.41650740566859	Transport, peroxisomal		NA	intercompartmental	
ADRNCOAtx	131.681407991192	5.51655639329041	Transport, peroxisomal		NA	intercompartmental	
ADRNCPT1	139.97748870324	6.01157631193331	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	carnitine shuttle	[c]	
ADRNCPT2	118.992177467332	5.10916341341722	Fatty acid oxidation	1376.1	carnitine shuttle	[m]	
ADRNCRNt	3.11404041349118	4.56412767043676	Fatty acid oxidation	788.1 or 788.1	carnitine shuttle	intercompartmental	
ADRNt	72.284723888265	9.65049965521609	Transport, extracellular		NA	intercompartmental	
ADSK	9.87964363735237	5.89508001123812	Nucleotide interconversion	9060.1 or 9061.1	NA	[c]	
ADSL1	6.22892236371271	6.18259807971232	Nucleotide interconversion	158.1 or 158.2	purine synthesis, cytosol	[c]	
ADSL2	85.0654067949017	6.61327052685405	Purine synthesis	158.1 or 158.2	purine synthesis, cytosol	[c]	
AG13T16g	125.152600852378	8.94364922703021	Keratan sulfate synthesis	79369.1 or 10678.1 or 11041.1 or 146712.1 or 374907.1 or 93010.1 or 374907.2 or 10678.2 or 10331.1	NA	[g]	
AG13T17g	125.152600852378	8.94364922703021	Keratan sulfate synthesis	10678.2 or 11041.1 or 10678.1 or 374907.2 or 93010.1 or 374907.1 or 146712.1 or 79369.1 or 10331.1	NA	[g]	
AG13T18g	125.152600852725	8.94364922703021	Keratan sulfate synthesis	10678.2 or 11041.1 or 10678.1 or 374907.2 or 93010.1 or 374907.1 or 146712.1 or 79369.1 or 10331.1	NA	[g]	
AG13T1g	89.4100104684283	6.00509110572328	Keratan sulfate synthesis	11041.1 or 10678.1 or 93010.1 or 374907.2 or 374907.1 or 146712.1 or 10331.1 or 10678.2 or 79369.1	NA	[g]	
AG13T2g	89.4100104684283	6.00509110572328	Keratan sulfate synthesis	79369.1 or 374907.1 or 11041.1 or 146712.1 or 374907.2 or 93010.1 or 10331.1 or 10678.1 or 10678.2	NA	[g]	
AG13T3g	87.5523009100581	5.88006869785503	Keratan sulfate synthesis	10331.1 or 11041.1 or 374907.2 or 10678.1 or 79369.1 or 374907.1 or 10678.2 or 93010.1 or 146712.1	NA	[g]	
AGPAT1	83.5026139339299	4.61444732455333	Triacylglycerol synthesis	10555.1 or 137964.1 or 56895.1 or 56894.2 or 56894.1 or 55326.1 or 10554.1 or 129642.1	triglyceride synthesis, cytosol	[c]	
AGTim	NaN	NaN	Alanine and aspartate metabolism	64902.1 or 64850.1	NA	[m]	
AGTix	115.995284943233	4.90950302139136	Alanine and aspartate metabolism	189.1	NA	[x]	
AHEXASE2ly	133.421584775176	5.58955792466652	N-glycan degradation	3073.1 or 3074.1 or (3073.1 and 3074.1)	NA	[l]	
AHEXASEly	133.421584775176	5.58955792466652	N-glycan degradation	3073.1 or 3074.1 or (3073.1 and 3074.1)	NA	[l]	
AIRCr	85.0654067949017	6.61327052685405	Purine synthesis	10606.1	purine synthesis, cytosol	[c]	
AKGDm	45.3636443059399	5.70501129070027	Citric acid cycle	( 4967.2 and 1738.1 and 8050.1 and 1743.1 ) or ( 4967.1 and 1738.1 and 8050.1 and 1743.1 )	TCA cycle, mitochondria	[m]	
AKGMALtm	1.15658597914252	4.95323966779102	Transport, mitochondrial	8402.1 or 1468.1	malate-aspartate shuttle	intercompartmental	
AKGt4_3	32.0293543686603	6.81829858372768	Transport, extracellular	64849.1 or 64849.2	NA	intercompartmental	
AKGtp	7.56137582357058	7.11875295717338	Transport, peroxisomal		NA	intercompartmental	
AKR1D	136.402114125272	5.71459304093753	Bile acid synthesis	6718.1	bile acid synthesis, cytosol	[c]	
AKR1D2	200.976775765608	8.41667928790951	Bile acid synthesis	6718.1	bile acid synthesis, cytosol	[c]	
ALADGLNexR	20.3904016706483	5.87013547762854	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	
ALADGLYexR	32.5979869531506	5.993475521099	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	
ALAGLNexR	11.9955410619013	5.75985141466599	Transport, extracellular	6520.1 and 56301.1	NA	intercompartmental	
ALAGLYexR	206.302566320063	9.91193034307836	Transport, extracellular	56301.1 and 6520.1	NA	intercompartmental	
ALASm	NaN	NaN	Glycine, serine, alanine, and threonine metabolism	212.1 or 23464.1 or 211.2 or 211.1	heme synthesis	[m]	
ALAt4	76.6269626223517	3.2145288249225	Transport, extracellular	54407.1 or 6542.1 or 11254.1 or 6541.1 or 81539.1 or 55089.1 or 84889.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental	
ALATA_L	5.37813558956424	8.44902552918162	Glutamate metabolism	2875.1 or 84706.1	alanine transaminase, cytosol	[c]	
ALAtN1	16.2917456883104	4.91646928235258	Transport, extracellular	92745.1 or 10991.1	NA	intercompartmental	
ALCD21_D	19.3284501472941	6.82543637915626	Pyruvate metabolism	127.1 or 284273.2 or 125.1 or 128.1 or 131.1 or (125.1 and 124.1) or 124.1 or 130.1 or 137872.1 or (125.1 and 126.1) or (126.1 and 124.1) or 284273.1 or 126.1	NA	[c]	
ALCD21_L	139.508151346489	6.21803729655486	Pyruvate metabolism	130.1 or 125.1 or 125.1 and 124.1 or 128.1 or 126.1 or 284273.2 or 137872.1 or 127.1 or 124.1 or (126.1 and 124.1) or 284273.1 or (125.1 and 126.1) or 131.1	NA	[c]	
ALDD20x	133.421584775176	5.58955792466652	Tryptophan metabolism	216.1 or 8854.2 or 501.1 or 8854.1 or 223.1 or 224.1 or 8854.3	NA	[c]	
ALDD20xm	133.421584775176	5.58955792466652	Tryptophan metabolism	219.1 or 8659.1 or 217.1 or 8659.2	NA	[m]	
ALDD21	1.08838081114549	5.38411558497691	Fatty acid oxidation	224.1	alpha oxidation	[c]	
ALDD2xm	NaN	NaN	Glycolysis/gluconeogenesis	219.1 or 217.1	NA	[m]	
ALDD2y	139.540404968998	5.88595918312542	Glycolysis/gluconeogenesis	223.1 or 221.1 or 218.1 or 8854.1 or 8854.3 or 222.1 or 8854.2 or 224.1 or 219.1	NA	[c]	
ALR2	139.508151346489	6.21803729655486	Pyruvate metabolism	10327.2 or 8574.1 or 10327.1 or 231.1	NA	[c]	
ALR3	139.508151346489	6.21803729655486	Pyruvate metabolism	10327.2 or 8574.1 or 10327.1 or 231.1	NA	[c]	
AMCOXO	133.421584775176	5.58955792466652	Tryptophan metabolism		NA	[c]	
AMETt2m	2.58898975883753	6.68421905326756	Transport, mitochondrial	115286.3 or 115286.2 or 115286.1	NA	intercompartmental	
AMPDA	10.2767206622995	8.22622969587504	Nucleotide interconversion	271.2 or 270.1 or 271.1 or 272.1 or 271.3	purine synthesis, cytosol	[c]	
AMPtp	17.6487992923404	5.96352827253373	Transport, peroxisomal		NA	intercompartmental	
ANDRSTRNte	142.571538935908	7.24850434179061	Transport, extracellular		NA	intercompartmental	
APAT2rm	139.633474968543	5.85275272026755	Beta-Alanine metabolism	18.1 or 18.2	NA	[m]	
APOCF	133.073318800381	5.71988964437885	Biotin metabolism		NA	[c]	
APOCFm	135.48440702911	5.71997589645934	Biotin metabolism		NA	[m]	
APOC_LYS_BTNP	133.073318800381	5.71988964437885	Biotin metabolism		NA	[c]	
APOC_LYS_BTNPm	135.48440702911	5.71997589645934	Biotin metabolism		NA	[m]	
APRTO2	139.353810228024	5.82239360539924	Arginine and proline metabolism	4128.1 or 4129.1	NA	[c]	
AQCOBALt	133.421584775176	5.58955792466652	Transport, extracellular		NA	intercompartmental	
ARAB_Lt	133.421584775176	5.58955792466652	Transport, extracellular		NA	intercompartmental	
ARABR	133.421584775176	5.58955792466652	Pentose phosphate pathway	10327.2 or 8574.1 or 10327.1 or 231.1	NA	[c]	
ARACHCOAtx	110.835966181539	6.71100046249429	Transport, peroxisomal		NA	intercompartmental	
ARACHCPT1	135.357681874481	6.64634668640483	Fatty acid oxidation	1375.3 or 1374.1 or 1375.2 or 1375.4 or 1375.1 or 126129.1	carnitine shuttle	[c]	
ARACHCPT2	126.519077316317	6.21177381098143	Fatty acid oxidation	1376.1	carnitine shuttle	[m]	
ARACHCRNt	5.47041737651035	5.48678999190312	Fatty acid oxidation	788.1	carnitine shuttle	intercompartmental	
ARACHDt2	20.1046539386872	8.67843287723892	Transport, extracellular	10998.1	NA	intercompartmental	
ARACHDtr	1.58659485290656	5.38654359736244	Transport, endoplasmic reticular		NA	intercompartmental	
ARACHt	4.15740656208547	5.67632924662171	Transport, extracellular		NA	intercompartmental	
ARGtm	10.4903074138956	5.80459678978006	Transport, mitochondrial	83884.1 or 10166.1	NA	intercompartmental	
ARSA	124.720194305158	5.19725009784948	Sphingolipid metabolism	410.1	NA	[l]	
R_group_phosphotase_3	141.6917201104	6.00601994339991	Miscellaneous		fatty acid activation, cytosol	[c]	
ARTFR208	12.119151648663	5.76544875968072	R group synthesis		NA	intercompartmental	
ARTPLM3m	170.949632216275	7.24858652507806	R group synthesis		NA	[m]	
ASAH1	NaN	NaN	Sphingolipid metabolism	427.1 or 427.2	NA	[l]	
ASCBt	3.76031587154914	6.42323308813966	Transport, extracellular		NA	intercompartmental	
ASCBt4	2.83646331916892	4.85883249762155	Transport, extracellular	9962.2 or 9963.1 or 9962.1 or 9963.2	NA	intercompartmental	
ASNNm	170.465303345629	7.21627930933206	Alanine and aspartate metabolism	80150.1	NA	[m]	
ASNt4	5.56104378857563	9.2025418605205	Transport, extracellular	81539.1 or 11254.1 or 54407.1 or 55089.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1)	NA	intercompartmental	
ASNtm	170.465303345629	7.21627930933206	Transport, mitochondrial		NA	intercompartmental	
ASNtN1	2.46785597656481	3.52850409204619	Transport, extracellular	92745.1 or 10991.1	NA	intercompartmental	
ASPCTr	133.421584775176	5.58955792466652	Pyrimidine synthesis	790.1	pyrimidine synthesis/ de novo	[c]	
ASPDt6	133.421584775176	5.58955792466652	Transport, extracellular	6511.1 or 6505.1 or 6507.1 or 6506.1 or 6512.1	NA	intercompartmental	
ASPDxt	133.421584775176	5.58955792466652	Transport, peroxisomal		NA	intercompartmental	
ASPGLUm	11.0251875482407	6.74352945043458	Transport, mitochondrial	8604.1 or 10165.1	malate-aspartate shuttle	intercompartmental	
ASPt6	129.193693718833	7.30444120964898	Transport, extracellular	6511.1 or 6505.1 or 6507.1 or 6506.1 or 6512.1	NA	intercompartmental	
ASPTAm	2.85686080826186	5.70456833992655	Alanine and aspartate metabolism	2806.1	malate-aspartate shuttle	[m]	
ATP1ter	127.827537248348	6.01103898007339	Transport, endoplasmic reticular		NA	intercompartmental	
ATP2ter	34.5534849347754	6.01520909915772	Transport, endoplasmic reticular		NA	intercompartmental	
ATPH1e	134.902826771832	6.22379405915783	Nucleotide interconversion	954.1 or 954.2 or 953.1 or 956.1 or 955.1 or 957.1	purine catabolism, cytosol	[e]	
ATPH2e	133.421584775176	5.58955792466652	Nucleotide interconversion	954.2 or 954.1 or 953.1 or 956.1 or 955.1 or 957.1 or 377841.1	purine catabolism, cytosol	[e]	
ATPtm	0.937990623559333	5.97549987043447	Transport, mitochondrial	291.1 or 293.1 or 292.1	NA	intercompartmental	
