del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula
10FTHF7GLUtl	0.0239438411594999	0.00632662315051565	Transport, lysosomal		NA	intercompartmental	
10FTHFtl	0.0239438411594999	0.00632662315051565	Transport, lysosomal		NA	intercompartmental	
10FTHFtm	0.0504844097744192	0.00694348861302284	Transport, mitochondrial		NA	intercompartmental	
2AMACHYD	0.0504793109076651	0.00694343240034167	Glycine, serine, alanine, and threonine metabolism	10993.1	glycine metabolism	[c]	
2HBO	0.00885236407520821	0.00432625469698297	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]	
2HCO3_NAt	0.000800724978243533	-0.17782899170271	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	
2OXOADPTm	0.00634616369268904	0.0111791191549651	Tryptophan metabolism	89874.1	NA	intercompartmental	
34DHOXPEGOX	0.0504793109076651	0.00694343240034167	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHOXPEGt	0.0504793109076651	0.00694343240034167	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental	
34DHPHAMT	0.00614442147068562	0.00334714811496269	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]	
34DHPHEt	0.0504846743215214	0.00694349152922417	Transport, extracellular	117247.1	NA	intercompartmental	
34DHPLACOX_NADP_	0.00351382097242986	-0.000992316610772962	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]	
34DHXMANDACOX	0.0504793109076651	0.00694343240034167	Tyrosine metabolism	221.1 or 218.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
