del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula
10FTHF7GLUtl	801.596176943456	24.3573763833506	Transport, lysosomal		NA	intercompartmental	
10FTHFtl	801.596176943456	24.3573763833506	Transport, lysosomal		NA	intercompartmental	
10FTHFtm	860.583838037361	21.0246295088552	Transport, mitochondrial		NA	intercompartmental	
2AMACHYD	536.92909907342	13.4640754990396	Glycine, serine, alanine, and threonine metabolism	10993.1	glycine metabolism	[c]	
2HBO	213.875648778488	10.2767251315957	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]	
2HCO3_NAt	4.08200923471872	24.3500385460252	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	
2OXOADPTm	97.5845042659936	17.0170744806301	Tryptophan metabolism	89874.1	NA	intercompartmental	
34DHOXPEGOX	536.92909907342	13.4640754990396	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHOXPEGt	536.92909907342	13.4640754990396	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental	
34DHPHAMT	226.792616295017	25.0307420748663	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]	
34DHPHEt	828.957680394538	20.7883978010966	Transport, extracellular	117247.1	NA	intercompartmental	
34DHPLACOX_NADP_	82.0566630842406	15.0267696940794	Tyrosine metabolism	222.1 or 221.1 or 218.1	NA	[c]	
34DHXMANDACOX	536.92909907342	13.4640754990396	Tyrosine metabolism	221.1 or 218.1 or 220.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
3AIBTm	234.283268956789	20.7867899981745	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]	
3AIBtmi	234.283268956789	20.7867899981745	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental	
3HBCDm	516.613244295526	12.9545367834243	Butanoate metabolism	55268.1	lysine metabolism	[m]	
3HBCOAHLm	582.042259709698	20.794392246656	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]	
3MOPt2im	53.446982125464	23.9842885464466	Transport, mitochondrial		NA	intercompartmental	
3MOX4HOXPGALDOX	1.47382149903251	18.2963910054883	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
